,created_at,username,tweet,language,replies_count,retweets_count,likes_count
103,2021-08-17 02:29:43 India Standard Time,abhishekthirtha,"I received a world record certificate today 🙏🏻 .😍😍  Fastest speed painting on "" Save The Earth "" . Spreading Awareness About COVID-19 pandemic and Environmental Pollution's  https://t.co/zRfUuTV6cr",en,1,0,0
105,2021-08-17 01:57:34 India Standard Time,arrafiq,@worldonalert What off Corona Virus? #covid19,en,0,0,0
109,2021-08-17 00:27:26 India Standard Time,jagannkaushik,"@swetamishraa @sureshseshadri1 @sbk1963 @Murali76133156 @TicGoddess @rushiputr @SBudhiraju @shytigress @nair_hena08 @AjitsinhJagirda @AAshaRathod @neerangautam @chimnibai @kailashkaushik8 @Cook_Ricardo @ArunDeshpande20 @SanskarBarot @_ankahi @Ravichiruvolu1 @macharajarao @keeranl @Savitritvs @Visalmama @FireFly53647402 @Drsunandambal @surewrap @shitul905 @4mSingh @Bhagirath1965 @Ravisha23624235 @ResurgentIndia @witnessconscio1 @panditsripathak @raaga31280 @arunp131 @Am_dilip1 @Rajesh201963 @KishorTrivedi7 @GenPanwar @Geoscan @ajayacharya @LevinaNeythiri @Ugrabhatah Covid-19 Pandemic killed abt 7 lakhs people in US alone, just prior US Presidential Elections! It was a shocker to the richest &amp; the most powerful country in the world ie USA! Unbelievable happened. President Donald Trump lost the elections, sending celebratory signals to China.  https://t.co/Nap0XKLS0D",en,1,4,4
125,2021-08-16 20:53:48 India Standard Time,rafzantomomi,@RAFZANTOMOMI: I'm Positive COVID-19.  https://t.co/bHsLD1OJXM,en,0,0,1
133,2021-08-16 18:50:10 India Standard Time,pragatiodisha,"Our childline subcentre team members are connecting people and stakeholders during outreach awareness programme, sensitizing them on children related issues and their role towards care &amp; protection of children during this COVID 19 pandemic period. #dcpubhadrak  #Childline1098  https://t.co/ZxQhwNKaIl",en,0,0,1
141,2021-08-16 16:42:46 India Standard Time,mooto68051929,"New findings! A different version of the #COVID-19 virus may have been circulating in northern Italy, as early as late summer 2019. COVID-19 #origintracing is a complex scientific issue and should be conducted through worldwide collaborative efforts.   https://t.co/jFfg3WgbnU",en,0,0,0
153,2021-08-16 15:43:06 India Standard Time,beinghuman0304,@AshishZBiz Now going forward #COVID #Covid_19 mother China will start big game in Afghanistan..,en,0,0,0
163,2021-08-16 15:21:56 India Standard Time,erannaulidra,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp,en,0,0,0
164,2021-08-16 15:20:55 India Standard Time,qwintessentwit,"So many deaths in my friends, family and neighbourhood circle. Devastating. 2021 has been horrible so far. #COVID19  Please get vaccinated.",en,0,0,0
179,2021-08-22 02:14:20 India Standard Time,faisaljamil15,@ahmen9m @ZaeemZia @DhoIslamabad Flt. Lt. Dr Mahnoor Farzand left this world fighting with COVID-19 in CMH malir. Her 8 month baby born dead. 😭  Inna lillahi wa inna ilayhi raji'un ALLAH Pak Maghfrat farmaye aur Janat-ul-Fardos ata kerain. Ameen!  https://t.co/gpxQ7pU9wW,en,1,0,2
182,2021-08-22 01:43:54 India Standard Time,jai_hind41,"@aajtak @ABPNews @indiatvnews @IndiaToday  Covid 3rd wave getting postponed due to Afghan crisis....all media houses are  focusing on Afghan and have forgotten covid-3rd wave. .  COVID-19 variants are very angry now, as their launch dates have been postponed / rescheduled...",en,0,0,0
188,2021-08-21 23:56:20 India Standard Time,rajyuvi121,"@ShahnawazBJP Sir lekin mujhe job abhi tak nahi mila.Due to covid -19 pendamic company had taken forcefully resigned.Last 5 months try to searching job.Sir if you will recommend me ,May be I will get job.Pls sir help me.",en,0,0,0
193,2021-08-21 23:21:11 India Standard Time,dulichbattrang,"Hanoi: Reached 92% of the plan for the second large-scale testing, 49 positive samples were found #Vietnam  #lockdown #Covid_19 #CovidVaccine  https://t.co/Pzslxnxwxx",en,0,0,0
198,2021-08-21 22:24:42 India Standard Time,_rodahidup,New Zealand extends lockdown as Covid-19 outbreak widens  https://t.co/EhDsEleeut,en,0,0,0
200,2021-08-21 22:16:30 India Standard Time,_rodahidup,"New Zealand reports 21 local Covid-19 cases, more expected  https://t.co/P6XvpL0TxT",en,0,0,0
209,2021-08-21 21:28:00 India Standard Time,rchanakyapillai,#LatePost Was glad to do #FlagHoisting &amp; #BookLaunch of #RealStoriesOfPandemic written by front line warriors of #COVID19 of #HinduSabhaHospital Ghatkopar on 15th August 🇮🇳 Thank you Dr. Vaibhav Deogirkar &amp; hospital team for Inviting me as Chief Guest for such an amazing event.  https://t.co/GFinmotI0f,en,0,0,12
215,2021-08-27 04:54:05 India Standard Time,abdulrahimwahab,"Surprising facts,  Only  abt 24% of aussies and 20% of new zeleanders are vaxed.  And the Covid19 are up and around.   https://t.co/VL2K6acfmg",en,0,0,0
217,2021-08-27 03:39:59 India Standard Time,chungakabasil,What a coincidence cos this reminds me of the spike in daily new Covid19 clusters here  https://t.co/eM8cFDLqk6,en,0,0,0
221,2021-08-27 01:47:56 India Standard Time,urmila92531581,"Took me one whole evening to pack the items for distribution in 2 districts in Manipur. Physically exhausting to work without my team because of the curfew,pandemic. Thankfully my family very supportive I am going to carry this out with their help #COVID19 #community  #manipur  https://t.co/bq2FtDxKNw",en,1,0,3
226,2021-08-27 01:00:01 India Standard Time,wkagyina,You got alot of dollars 💵 from rainbow 🌈 project gay guys whom have you shared with or help in this had situation as we battle covid19 so we can't allow this kind of intimidation we shall remain vigilant to resist protect defend our country you continue with ur propaganda,en,0,0,2
227,2021-08-27 00:49:04 India Standard Time,satyaraaj7,@airarabiagroup Do i need to be quarantined if I will come there sarjah  ( after I can travel dubai also ) as a visitor? Please note that I am having Indian passport and having valid US visa on it and already vaccinated for COVID 19,en,1,0,0
228,2021-08-27 00:42:12 India Standard Time,shameer63558235,Covid -19  https://t.co/FLlneuAt91,en,0,0,1
230,2021-08-26 23:58:54 India Standard Time,lolita_tnie,Details of #COVID19 status in diff parts of Karnataka:  https://t.co/YIjbxgBj4i,en,0,0,5
236,2021-08-29 04:31:39 India Standard Time,oisheikh,Salam Everyone! So my friend’s father is in hospital now. He tested positive for COVID-19. I need everyone of you to pray for his father’s fastest recovery. Just do pray by saying “Asad’s father”  Let’s do pray for uncle.  Thank you so much friends.,en,0,0,0
237,2021-08-29 04:07:43 India Standard Time,abhi_2123,I urge everyone to take the ‘YuWaah Warriors’ Pledge and commit themselves to encourage people join the fight against COVID-19. I’ve taken the pledge. Have you? @mygovindia,en,0,1,1
242,2021-08-28 23:49:12 India Standard Time,_prabus,"COVID-19: India adds 44,658 new cases  https://t.co/TGCytLdiGh",en,0,0,0
249,2021-08-28 20:42:39 India Standard Time,shaharbeen,Be ready on ground for next challenge of COVID-19: DGP to officials  https://t.co/6Oz19ZYpN7,en,0,0,0
250,2021-08-28 19:25:28 India Standard Time,shaharbeen,"J&amp;K Reports 166 New Covid-19 Cases, One Death  https://t.co/nnNtiQgerg",en,0,0,0
251,2021-08-28 19:23:11 India Standard Time,syk_8282,"Mr. Suhail Khandwani, Mng. Trustee of @MahimTrust®️ &amp; Trustee of @hajialidargah_t®️ Welcomes Dr.@DrRajeshdere Dean-BKC Jumbo &amp; Nesco Jumbo 2, Nodal Cordinator - All MCGM.  Prof. &amp; HoD Forensic, Sion Hospital You're services to save lives is highly appreciated in #COVID19 pandemic  https://t.co/GCa3ojJqcN",en,2,2,25
262,2021-08-28 18:52:50 India Standard Time,c_sajio,@freddyflipflop Hi I am Covid-19 😁,en,0,0,0
