,tweet,clean_tweet,hastags,attherate,urls,emojis,label
89,"@indianposten @DEBKANCHAN @ParveenKader @sibtehasan20 @twilightfairy @Tapan_999 @EmpoweringGoa @aayeff1 @MukandRita @iraniShenaz1958 @Tamil1947 @Ekam_Anekam @GandhianJumlas @RohanPandey__ @asmatasleem11 @Aafrin7866 @Nehasamee1 @mat_jane_de_yar @Jasminesmileyy @Joyjiyo @MrsYNV @priyapyadav18 @ShababRabbani1 @RavinderKapur2 @DilMeHindustan @jerryrajrod1 @shah_jagdeep @jayantsjy @outburstindia @Bachhawat1957 @iJasOberoi @MiniMenon @kapsology @rij79 @Vndnason @iScrew @scrapravi @Nikhil_P_B @ccfx135 @SatanicJumlas @IchbinUjjaini @watdehel @kukk44 @krishpachegonkr @KPadmaRani1 @DickDarryl @geetv79 @jairajp @amms28 @myogiadityanath His well wish is working now  with the support of corona virus.,....",wish work support corona viru ,[],"['@indianposten', '@DEBKANCHAN', '@ParveenKader', '@sibtehasan20', '@twilightfairy', '@Tapan_999', '@EmpoweringGoa', '@aayeff1', '@MukandRita', '@iraniShenaz1958', '@Tamil1947', '@Ekam_Anekam', '@GandhianJumlas', '@RohanPandey__', '@asmatasleem11', '@Aafrin7866', '@Nehasamee1', '@mat_jane_de_yar', '@Jasminesmileyy', '@Joyjiyo', '@MrsYNV', '@priyapyadav18', '@ShababRabbani1', '@RavinderKapur2', '@DilMeHindustan', '@jerryrajrod1', '@shah_jagdeep', '@jayantsjy', '@outburstindia', '@Bachhawat1957', '@iJasOberoi', '@MiniMenon', '@kapsology', '@rij79', '@Vndnason', '@iScrew', '@scrapravi', '@Nikhil_P_B', '@ccfx135', '@SatanicJumlas', '@IchbinUjjaini', '@watdehel', '@kukk44', '@krishpachegonkr', '@KPadmaRani1', '@DickDarryl', '@geetv79', '@jairajp', '@amms28', '@myogiadityanath']",[],[],2
93,Waiting for moments when Corona get end my Frist status... #Corona2ndWave #Corona #SecondWave #coronavirus #COVIDー19  https://t.co/xfq8WJVXWo,wait moment corona end frist statu ,"['#Corona2ndWave', '#Corona', '#SecondWave', '#coronavirus', '#COVIDー19']",[],['https://t.co/xfq8WJVXWo'],[],2
94,This Corona Virus issue at #MySecretTerrius and now Nipah Virus in #Dr_John. I'm 😱🤯,corona viru issu nipah viru ,"['#MySecretTerrius', '#Dr_John.']",[],[],"['😱', '🤯']",2
95,Government new rule for corona test. #Corona #coronavirus #CoronavirusIndia #CoronaVirusUpdates #ICMR #BlackFungus #CoronavirusPandemic #COVID19,govern new rule corona test ,"['#Corona', '#coronavirus', '#CoronavirusIndia', '#CoronaVirusUpdates', '#ICMR', '#BlackFungus', '#CoronavirusPandemic', '#COVID19']",[],[],[],2
99,@kkc_cheemsports @HemantSorenJMM @JamshedpurFC @JharkhandCMO @BJP4Jharkhand @SevadalJH Thanks for your appreciation Karan Bhaiya Lets join hands in current situation of covid 19 &amp; fight Corona Virus Pandemic 🙏🤝👊,appreci karan bhaiya join hand current situat covid fight corona viru pandem ,[],"['@kkc_cheemsports', '@HemantSorenJMM', '@JamshedpurFC', '@JharkhandCMO', '@BJP4Jharkhand', '@SevadalJH']",[],"['🙏', '🤝', '👊']",2
100,"Attention!   Regulations for Urban areas issued on May 12 and May 15 have been extended till June 5, 2021   #Assam #Curfew #staysafe #COVID19 #coronavirus  https://t.co/EwuF1kyxFM",attent regul urban area issu extend till june ,"['#Assam', '#Curfew', '#staysafe', '#COVID19', '#coronavirus']",[],['https://t.co/EwuF1kyxFM'],[],2
101,"Indians handling corona virus varients, Fungus &amp; cyclones #cycloneyaas  https://t.co/SfzvBmn6Tj",indian handl corona viru varient fungu cyclon ,['#cycloneyaas'],[],['https://t.co/SfzvBmn6Tj'],[],2
107,@PMadhwaraj @RaghupathiBhat Liars are roaming like corona virus . Changing shape,liar roam like corona viru chang shape ,[],"['@PMadhwaraj', '@RaghupathiBhat']",[],[],2
112,@Shafqat_Mahmood himself has fallen victim to this deadly disease like corona virus. How can a person who is not immune to the disease protect himself? Make a decision for students to cancel the papers immediately. Retweet and like this tweet as much possible   #cancelboardexam  https://t.co/KDNBJ6NZuk,fall victim deadli diseas like corona viru person immun diseas protect decis student cancel paper immedi retweet like tweet possibl ,['#cancelboardexam'],['@Shafqat_Mahmood'],['https://t.co/KDNBJ6NZuk'],[],2
115,@INCIndia spread CHINESE CORONA Virus Is it not appropriate word to say?? @anamikamber @Abhishekkar_ @RahulGandhi @TheDeepak2020In @roshangjha @PrakashJavdekar @PMOIndia @MajorPoonia @priyankagandhi @INCDelhi @INCMP @INCMinority @RajaBrar_INC @RajatSharmaLive @ZeeNews @aajtak,spread chines corona viru appropri word ,[],"['@INCIndia', '@anamikamber', '@Abhishekkar_', '@RahulGandhi', '@TheDeepak2020In', '@roshangjha', '@PrakashJavdekar', '@PMOIndia', '@MajorPoonia', '@priyankagandhi', '@INCDelhi', '@INCMP', '@INCMinority', '@RajaBrar_INC', '@RajatSharmaLive', '@ZeeNews', '@aajtak']",[],[],2
