,tweet,clean_tweet,hastags,attherate,urls,emojis,label
1309,"China criticized the “politicization” by the United States of efforts to trace the origin of the coronavirus, demanding a US military laboratory be investigated, shortly before the release of a US intelligence community report on the virus.  https://t.co/0geozIHAX3",china critic politic unit state effort trace origin demand militari laboratori investig shortli releas intellig commun report viru ,[],[],['https://t.co/0geozIHAX3'],[],0
1310,"China criticized the “politicization” by the United States of efforts to trace the origin of the coronavirus, demanding a US military laboratory be investigated, shortly before the release of a US intelligence community report on the virus.  https://t.co/erwSCRkQkO",china critic politic unit state effort trace origin demand militari laboratori investig shortli releas intellig commun report viru ,[],[],['https://t.co/erwSCRkQkO'],[],0
1311,@vijayanpinarayi @CMOKerala @rammadhav_rss @OfficeOf_MM   We better lockdown the #State #Kerala for few weeks and contain the #Corona virus and put #vaccination on rocket speed.,better lockdown week contain viru rocket speed ,"['#State', '#Kerala', '#Corona', '#vaccination']","['@vijayanpinarayi', '@CMOKerala', '@rammadhav_rss', '@OfficeOf_MM']",[],[],0
1313,"Today, i took my 2nd dose of #Covishield2ndDose hurry up guys you also go and get vaccinated👍 #FullyVaccinated now✔️ #vaccineagainstcovid #maskup #coronavirus #MKStalinGovt #TNGovt #Covid19India #vaccinated_today #vaccinationday2021  https://t.co/c4u9SrJlU9",today dose hurri guy vaccin ,"['#Covishield2ndDose', '#FullyVaccinated', '#vaccineagainstcovid', '#maskup', '#coronavirus', '#MKStalinGovt', '#TNGovt', '#Covid19India', '#vaccinated_today', '#vaccinationday2021']",[],['https://t.co/c4u9SrJlU9'],"['👍', '✔️']",0
1314,Biden receives a classified intelligence report that is inconclusive about the origins of the novel coronavirus | @MSNNews |  https://t.co/FPr9KeMYO9,biden receiv classifi intellig report inconclus origin novel ,[],['@MSNNews'],['https://t.co/FPr9KeMYO9'],[],0
1315,China's #COVID Secrets. The untold story of the beginning of the coronavirus pandemic and how China responded  https://t.co/gD4fwkGHLL via @frontlinepbs,china secret untold stori begin pandem china respond ,['#COVID'],['@frontlinepbs'],['https://t.co/gD4fwkGHLL'],[],0
1316,All Economic centers islandwide will be kept open on August 28 &amp; 29 for wholesale trade: State Minister Shasheendra Rajapaksa #COVID19LK #coronavirus #lka #srilanka #sri  #COVID19SL,econom center islandwid kept open august wholesal trade state minist shasheendra rajapaksa ,"['#COVID19LK', '#coronavirus', '#lka', '#srilanka', '#sri', '#COVID19SL']",[],[],[],0
1317,"HKNR — Hundreds quarantined in Shanghai as China nears 2 billion Covid-19 vaccine doses: Fresh coronavirus cases emerge among fully vaccinated hospital and airport workers; Infections show the need to guard against complacency, city's health chief ...…  https://t.co/nlVmeIWxXD",hknr hundr quarantin shanghai china near billion covid vaccin fresh case emerg fulli vaccin hospit airport worker infect guard complac citi health chief ,[],[],['https://t.co/nlVmeIWxXD'],[],0
1318,market in Thailand @William67335893   https://t.co/l3Q3GceQ3p #Thailand #Thai #thailandnews #Bangkok #Covid_19 #COVID19 #COVID #CovidIsNotOver #Pattaya #Corona #coronavirus #pandemic #pandemiclife #pandemia #streetphotography #SocialDistance #stayhealthy #StaySafe #lockdown #trip,market thailand ,"['#Thailand', '#Thai', '#thailandnews', '#Bangkok', '#Covid_19', '#COVID19', '#COVID', '#CovidIsNotOver', '#Pattaya', '#Corona', '#coronavirus', '#pandemic', '#pandemiclife', '#pandemia', '#streetphotography', '#SocialDistance', '#stayhealthy', '#StaySafe', '#lockdown', '#trip']",['@William67335893'],['https://t.co/l3Q3GceQ3p'],[],0
1319,market in Thailand @William67335893   https://t.co/rrGlTmFFKu #Thailand #thailandnews #Thai #Bangkok #Pattaya #lockdown #photographyeveryday #photographerlife #streetphoto #Covid_19 #COVID19 #covid #pandemiclife #pandemic #pandemia #Corona #coronavirus #stayhealthy #StaySafe #mask,market thailand ,"['#Thailand', '#thailandnews', '#Thai', '#Bangkok', '#Pattaya', '#lockdown', '#photographyeveryday', '#photographerlife', '#streetphoto', '#Covid_19', '#COVID19', '#covid', '#pandemiclife', '#pandemic', '#pandemia', '#Corona', '#coronavirus', '#stayhealthy', '#StaySafe', '#mask']",['@William67335893'],['https://t.co/rrGlTmFFKu'],[],0
1320,Or may Allah protect Pakistan from a disease like Corona virus ... Amen ..!  https://t.co/oKbtSr2SJd,allah protect pakistan diseas like corona viru amen ,[],[],['https://t.co/oKbtSr2SJd'],[],0
1321,"Coronavirus Update: 37,593 Fresh COVID-19 Cases In India.  Pic- via NDTV news.  https://t.co/PePXg2O1oZ",updat fresh covid case india pic ndtv news ,[],[],['https://t.co/PePXg2O1oZ'],[],0
1322,#Pakistan #India #Bangladesh #Iran Points to ponder: 1. Is our #COVID19 reporting system truely reflecting on ground situation? 2. Are we testing enough? 2. What is so special with Pakistan? 3. What are dangers of underestimating our true #coronavirus cases?  https://t.co/DxpKASVBBi,point ponder report system trueli reflect ground situat test special pakistan danger underestim true case ,"['#Pakistan', '#India', '#Bangladesh', '#Iran', '#COVID19', '#coronavirus']",[],['https://t.co/DxpKASVBBi'],[],0
