,tweet,clean_tweet,hastags,attherate,urls,emojis,label
2020,"@atrivandi @fab_mayank Even I'm against this night curfew gimmick but why ask this ques just to one CM while almost all states have done this? K'taka announced night curfew on 24th Dec, 2020 and withdrew a day later after bars, pubs lobbied. Didn't see your ques then",night curfew gimmick ask que state ktaka announc night curfew dec withdrew day later bar pub lobbi didnt que ,[],"['@atrivandi', '@fab_mayank']",[],[],2
2021,@Arun2981 @SatyendarJain Night curfew - the biggest farce on the ppl of the country/ state. Political gimmick of the first order. Can someone in the govt. pls sugges to which class is this curfew targetted against,night curfew biggest farc ppl countri state polit gimmick order govt sugg class curfew target ,[],"['@Arun2981', '@SatyendarJain']",[],[],2
2023,"@atrivandi Maybe the CM of Gujarat, MH, Punjab, UP, etc can ans. The night curfew is everywhere",mayb gujarat punjab night curfew ,[],['@atrivandi'],[],[],2
2026,"Why night curfew. Illogical, meant to punish some, create displeasure, and keep theCovid hysteria alive.",night curfew illog meant punish creat displeasur thecovid hysteria aliv ,[],[],[],[],2
2027,"#IndiaFightsCorona Night curfew imposed in #Delhi from 10  pm to 5 am with immediate effect till 30th April, in the wake of #COVID19 situation.  #StaySafe #StayHome #Unite2FightCorona #JanAndolan @SpokespersonMoD @diprjk @PMOIndia @MoHFW_INDIA @rajnathsingh @DefenceMinIndia @ANI  https://t.co/VHvNA6JLGQ",night curfew impos immedi effect till april wake situat ,"['#IndiaFightsCorona', '#Delhi', '#COVID19', '#StaySafe', '#StayHome', '#Unite2FightCorona', '#JanAndolan']","['@SpokespersonMoD', '@diprjk', '@PMOIndia', '@MoHFW_INDIA', '@rajnathsingh', '@DefenceMinIndia', '@ANI']",['https://t.co/VHvNA6JLGQ'],[],2
2028,@ndtvfeed The street hawkers earn mostly during the 7:30pm to 9:00pm time frame n due to night curfew they will nt b able to earn their livelihood. Time of night curfew sud be extended frm 10:pm to 5am instead of 8:pm to 6am to support the small shop keepers n street hawkers to earn,street hawker earn time frame night curfew abl earn livelihood time night curfew sud extend frm instead support small shop keeper street hawker earn ,[],['@ndtvfeed'],[],[],2
2029,@MikePatelUSA @VtvGujarati @vijayrupanibjp @CMOGuj Delhi mahatastra rajsthan me night curfew chhe,delhi mahatastra rajsthan night curfew chhe ,[],"['@MikePatelUSA', '@VtvGujarati', '@vijayrupanibjp', '@CMOGuj']",[],[],2
2030,Then please impose curfew and lockdowns too only for the the ones who “need it”!   What sort of a logic is this by a serving bureaucrat at a time of raging pandemic?,impos curfew lockdown one sort logic serv bureaucrat time rag pandem ,[],[],[],[],2
2031,@ArvindKejriwal  night curfew will have no impact .,night curfew impact ,[],['@ArvindKejriwal'],[],[],2
2032,@MumbaiPolice I have to leave for inter state travel@by road. I will@be using my private car. Hope it’s permitted to leave during night curfew in Mumbai?,leav inter state travel road privat car hope permit leav night curfew mumbai ,[],['@MumbaiPolice'],[],[],2
2033,Night Curfew in Delhi from 10:00 pm to 5:00 am till 30th April 2021  Guidelines:  https://t.co/UQ1KFI8NcW  #NightCurfew #NightCurfewindelhi #COVID19India  https://t.co/fvMRSKCUSa,night curfew delhi till april guidelin ,"['#NightCurfew', '#NightCurfewindelhi', '#COVID19India']",[],"['https://t.co/UQ1KFI8NcW', 'https://t.co/fvMRSKCUSa']",[],2
2034,"When Night curfew or Lockdown is going to be imposed in Aasam, Kerala, Puducherry &amp; Tamilnadu? State assembly elections are over.",night curfew lockdown impos aasam kerala puducherri tamilnadu state assembl elect ,[],[],[],[],2
2036,Night curfew to be imposed in 20 cities of the state between 8pm to 6am from tomorrow. 100 people to be allowed at weddings. Grand events to be postponed until April 30. Govt offices to remain closed on Saturday till April 30: #Gujarat CM Vijay Rupani,night curfew impos citi state tomorrow peopl allow wed grand event postpon april govt offic remain close saturday till april vijay rupani ,['#Gujarat'],[],[],[],2
