,tweet,clean_tweet,hastags,attherate,urls,emojis,label
34,"@AskAnshul By @TimesNow #India reports 35,499 new #COVID-19 cases, 447 fatalities in past 24 hours.   https://t.co/RPTc414bzO",report new case fatal past hour ,"['#India', '#COVID-19']","['@AskAnshul', '@TimesNow']",['https://t.co/RPTc414bzO'],[],1
46,129 new COVID-19 positive cases have been reported today on 13-8-2021 in Jammu and Kashmir  https://t.co/F3b4mJely0,new covid posit case report today jammu kashmir ,[],[],['https://t.co/F3b4mJely0'],[],1
70,✳️ COVID-19 : Case Updates  https://t.co/NVdABg4DFB,covid case updat ,[],[],['https://t.co/NVdABg4DFB'],['✳️'],1
71,"JK reports 110 new positive cases, 318283 recovered so far  #SRINAGAR:  The  Government on Thursday informed that 110 new positive cases of novel Corona virus (COVID-19), 33 from Jammu division and 77 from Kashmir division, have been reported today.  https://t.co/NCaUsjBF4i",report new posit case recov far govern thursday inform new posit case novel corona viru covid jammu divis kashmir divis report today ,['#SRINAGAR:'],[],['https://t.co/NCaUsjBF4i'],[],1
116,07.08.2021 In India #Covid_19 cases in the last24hrs has seen notable fall to38628 compared to 44643y'day.  Total cases in India- 31913083;recovery-31015884 (97.36p%);fatalities-427371 (1.34%)&amp;active cases-412153 (1.29%).With 20367 #Kerala  has more than50% of India's total cases,india case lasthr notabl fall compar yday total case india recoveri pfatal ampact case with than india total case ,"['#Covid_19', '#Kerala']",[],[],[],1
174,August 17 #Dindigul - #COVID19 updates #shapeofdindigul @shapeofdindigul  New cases- 9 Discharged- 13 Active - 111 Deaths - 2 Total Covid deaths- 630 #StayHomeStaySafe,august updat new case discharg activ total covid ,"['#Dindigul', '#COVID19', '#shapeofdindigul', '#StayHomeStaySafe']",['@shapeofdindigul'],[],[],1
188,Media Release – 2021.08.17 Covid death figures reported today 2021.08.17 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/v0OLQa69sr,medium releas covid figur report today ,"['#DGI', '#Government', '#Information', '#Department', '#News', '#infodprtsl', '#Srilanka', '#Covid19', '#Coronavirus', '#StaySafe', '#SocialDistancing', '#Virus', '#Pandemic']",[],['https://t.co/v0OLQa69sr'],[],1
192,"3,555 COVID-19 cases reported so far today (17).   #LKA #SriLanka #COVID19SL #COVID19LK #COVID19 #coronavirus #CoronaVirusUpdate",covid case report far today ,"['#LKA', '#SriLanka', '#COVID19SL', '#COVID19LK', '#COVID19', '#coronavirus', '#CoronaVirusUpdate']",[],[],[],1
206,83 new COVID-19 positive cases have been reported today on 17-8-2021 in Jammu and Kashmir  https://t.co/XOCfbNUzVn,new covid posit case report today jammu kashmir ,[],[],['https://t.co/XOCfbNUzVn'],[],1
254,Media Release – 2021.08.26 Covid death figures reported today 26.08.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/cLGuwB5DCg,medium releas covid figur report today ,"['#Srilankan', '#Srilanka', '#lka', '#Lanka', '#Ceylon', '#DGI', '#Government', '#Information', '#Department', '#News', '#infodprtsl', '#Coronavirus', '#Covid', '#Corona', '#Staysafe', '#Socialdistancing', '#Virus', '#Coronav', '#Pandemic']",[],['https://t.co/cLGuwB5DCg'],[],1
295,"JK reports 145 new positive cases, 316017 recovered so far  #SRINAGAR: The Government on Sunday informed that145 new positive cases of novel Corona virus (COVID-19), 48 from Jammu division and 97 from Kashmir division.  https://t.co/iuthlab9Fm",report new posit case recov far govern sunday inform new posit case novel corona viru covid jammu divis kashmir divis ,['#SRINAGAR:'],[],['https://t.co/iuthlab9Fm'],[],1
296,@BiharHealthDept New Report in corona positive ces,new report corona posit ,[],['@BiharHealthDept'],[],[],1
300,"The number of deaths in corona in the state is zero today. The total sample test today was 7978. Total of 222 people have been affected by corona today, of the positivity rate of 2.78% and  529 people have recovered today. #Tripura  https://t.co/WLbRFI0Esb",number corona state zero today total sampl test today total affect corona today posit rate recov today ,['#Tripura'],[],['https://t.co/WLbRFI0Esb'],[],1
308,"01 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 145 new positive cases, 316017 recovered so far  https://t.co/YyzoFUvyFN",august bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/YyzoFUvyFN'],[],1
329,"246 new deaths and 15,989 new #corona positive cases. #Bangladesh",new new posit case ,"['#corona', '#Bangladesh']",[],[],[],1
364,"11 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 114 new positive cases, 317195 recovered so far  https://t.co/VBjtakE6sI",august bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/VBjtakE6sI'],[],1
374,Great news as we now have 0 Active #Corona Cases in #Jodhpur today with 0 new cases since last now 9 days in a row. This is the first time the Active Case count has gone to 0 since the start of this pandemic. #CoronaVirusUpdates,great news activ case today new case day row time activ case count start pandem ,"['#Corona', '#Jodhpur', '#CoronaVirusUpdates']",[],[],[],1
429,Meanwhile 62% of India’s daily reported #covid cases are coming from Kerala Model. #keralamodel #keralamodelfailed #keralacovidblunder #COVID19 #keralacovidblunder #libertarian #Secular_Terror #DeltaVariant #ArrestSwaraBhaskar #COVID19nsw #coronavirus #covid_19 #corona #stayhome,india daili report case kerala model ,"['#covid', '#keralamodel', '#keralamodelfailed', '#keralacovidblunder', '#COVID19', '#keralacovidblunder', '#libertarian', '#Secular_Terror', '#DeltaVariant', '#ArrestSwaraBhaskar', '#COVID19nsw', '#coronavirus', '#covid_19', '#corona', '#stayhome']",[],[],[],1
433,Media Release – 2021.08.18 Covid death figures reported today 18.08.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/LG7jXuDPMA,medium releas covid figur report today ,"['#Srilankan', '#Srilanka', '#lka', '#Lanka', '#Ceylon', '#DGI', '#Government', '#Information', '#Department', '#News', '#infodprtsl', '#Coronavirus', '#Covid', '#Corona', '#Staysafe', '#Socialdistancing', '#Virus', '#Coronav', '#Pandemic']",[],['https://t.co/LG7jXuDPMA'],[],1
495,"JK reports 126 new positive cases, 319064 recovered so far  #SRINAGAR: The  Government on Wednesday informed that 126 new positive cases of novel Corona virus (COVID-19), 26 from Jammu division and 100 from Kashmir division.  https://t.co/QvMKUw1spb",report new posit case recov far govern wednesday inform new posit case novel corona viru covid jammu divis kashmir divis ,['#SRINAGAR:'],[],['https://t.co/QvMKUw1spb'],[],1
510,"26 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 101 new positive cases, 319183 recovered so far  https://t.co/4cUCP6pX7T",august bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/4cUCP6pX7T'],[],1
525,"#Kerala Today #Corona Update -  Positive Cases - 30,007  Sample Tested - 1,66,397 Recoveries.       - 18,997  TPR.                   - 18.03% Death.                - 162  Active Cases     - 1,81,209",today updat posit case sampl test recoveri tpr activ case ,"['#Kerala', '#Corona']",[],[],[],1
571,"JK reports 105 new positive cases, 319582 recovered so far  #SRINAGAR: The  Government on Monday informed that 105 new positive cases of novel Corona virus (COVID-19), 30 from Jammu division and 75 from Kashmir division, have been reported today.  https://t.co/7hDBdKRxUP",report new posit case recov far govern monday inform new posit case novel corona viru covid jammu divis kashmir divis report today ,['#SRINAGAR:'],[],['https://t.co/7hDBdKRxUP'],[],1
652,"J&amp;K Reports 77 New Covid-19 Cases, 1 Death  https://t.co/ii9QSGt5yn",jampk report new covid case ,[],[],['https://t.co/ii9QSGt5yn'],[],1
685,"New Zealand reports 21 local Covid-19 cases, more expected  https://t.co/P6XvpL0TxT",new zealand report local covid case expect ,[],[],['https://t.co/P6XvpL0TxT'],[],1
693,Mumbai reports 397 new Covid-19 cases; BMC seals St Joseph’s home and nursery after 22 persons test positive - The Times of India  https://t.co/pIXhXF1P22,mumbai report new covid case bmc seal joseph home nurseri person test posit time india ,[],[],['https://t.co/pIXhXF1P22'],[],1
708,"COVID-19: India adds 44,658 new cases  https://t.co/TGCytLdiGh",covid india add new case ,[],[],['https://t.co/TGCytLdiGh'],[],1
