,tweet,clean_tweet,hastags,attherate,urls,emojis,label
1144,"After seeing more craze for #ZikaVirus among humans from today, Corona Virus rn :  https://t.co/LbLk23dsIo",craze human today corona viru ,['#ZikaVirus'],[],['https://t.co/LbLk23dsIo'],[],1
1159,Batting coach @grantflower_bat tested positive for Corona Virus #Corona #SLC #SLvIND  https://t.co/vxNlBgH1fL,bat coach test posit corona viru ,"['#Corona', '#SLC', '#SLvIND']",['@grantflower_bat'],['https://t.co/vxNlBgH1fL'],[],1
1169,Corona virus updates  https://t.co/JcZk7DDDSz,corona viru ,[],[],['https://t.co/JcZk7DDDSz'],[],1
1171,Corona virus updates  https://t.co/C4eMCuDXso,corona viru ,[],[],['https://t.co/C4eMCuDXso'],[],1
1172,"I am not infected with the Corona virus, thank God . 🥺😍🤲🏻 10:40 am #صباح_السعاده  #صباح_الخير",infect corona viru god ,"['#صباح_السعاده', '#صباح_الخير']",[],[],"['🥺', '😍', '🤲🏻']",1
1173,Corona virus updates  https://t.co/SDQab39cJZ  https://t.co/f8pwcnJr4X,corona viru ,[],[],"['https://t.co/SDQab39cJZ', 'https://t.co/f8pwcnJr4X']",[],1
1174,Corona virus updates  https://t.co/hmoK3lVbym,corona viru ,[],[],['https://t.co/hmoK3lVbym'],[],1
1176,Corona virus updates  https://t.co/wKDrgnXDBN,corona viru ,[],[],['https://t.co/wKDrgnXDBN'],[],1
1188,M.O.H   “ 13 new death due to Corona virus “,moh new death corona viru ,[],[],[],[],1
1229,Someone will tell that if i make a program then it will contain corona virus or anything else 😂😂🤣 #programmer #virus @PR0GRAMMERHUM0R  @Hakertow,tell program contain corona viru ,"['#programmer', '#virus']","['@PR0GRAMMERHUM0R', '@Hakertow']",[],"['😂', '😂', '🤣']",1
1230,@notmusafir Yes bro and I'm virus not corona virus....,bro viru corona viru ,[],['@notmusafir'],[],[],1
1234,Corona virus updates  https://t.co/8iNeSylt0E,corona viru ,[],[],['https://t.co/8iNeSylt0E'],[],1
1236,Corona virus updates  https://t.co/gDw3DAn2xc,corona viru ,[],[],['https://t.co/gDw3DAn2xc'],[],1
