,words,scores
458,resum,13
459,limit,13
460,paid,13
461,cowin,13
462,refer,13
463,effort,13
464,super,13
465,neg,13
466,emi,13
467,accord,12
468,ensur,12
469,agre,12
470,admit,12
471,hard,12
472,photo,12
473,mother,12
474,answer,12
475,worst,12
476,unit,12
477,east,12
478,behaviour,12
479,enjoy,12
480,event,12
481,charg,12
482,base,12
483,offer,12
484,prime,12
485,channel,12
486,word,12
487,sunday,12
488,period,12
489,tomorrow,12
490,morn,12
491,despit,12
492,shortag,12
493,fee,12
494,contribut,12
495,frontlin,12
496,experi,12
497,rice,12
498,namo,12
499,guid,12
500,usa,12
501,condit,11
502,pray,11
503,nagar,11
504,ill,11
505,there,11
506,congratul,11
507,innoc,11
508,salut,11
509,saturday,11
510,cluster,11
511,hear,11
512,move,11
513,honour,11
514,appropri,11
515,write,11
516,realiti,11
517,instead,11
518,immedi,11
519,capac,11
520,door,11
521,institut,11
522,fine,11
523,lung,11
524,central,11
525,higher,11
526,talk,11
527,regist,11
528,univers,11
529,stupid,11
530,campaign,11
531,aid,11
532,jun,11
533,fill,11
534,ground,11
535,act,11
536,focu,11
537,guy,11
538,duti,11
539,ago,11
540,initi,11
541,procur,11
542,mass,11
543,adult,11
544,role,11
545,brother,11
546,eat,11
547,needi,11
548,sanit,11
549,march,11
550,oil,11
551,bank,11
552,sport,11
553,half,11
554,bangladesh,11
555,incred,11
556,doesnt,10
557,contract,10
558,mutat,10
559,outbreak,10
560,oper,10
561,unlock,10
562,clear,10
563,chennai,10
564,critic,10
565,download,10
566,readi,10
567,low,10
568,husband,10
569,what,10
570,beat,10
571,bulletin,10
572,danger,10
573,billion,10
574,toll,10
575,yesterday,10
576,blood,10
577,guwahati,10
578,couldnt,10
579,major,10
580,icmr,10
581,messag,10
582,card,10
583,serv,10
584,park,10
585,depart,10
586,deal,10
587,april,10
588,wonder,10
589,launch,10
590,unlik,10
591,press,10
592,leadership,10
593,failur,10
594,inspir,10
595,local,10
596,form,10
597,sever,10
598,game,10
599,interest,10
600,youtub,10
601,sprinter,10
602,investig,10
603,olymp,10
604,audit,10
605,notic,9
606,physic,9
607,coffe,9
608,wuhan,9
609,amid,9
