,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
137,1406330483709931521,1406330483709931521,2021-06-20 00:48:10 India Standard Time,2021-06-20,00:48:10,530,773826932400070656,madamshettysai,Sai Krishna madamshetty,,"Dear @KTRTRS Sir, People of Telangana are against for complete unlock of lockdown. This kind of decision will be major reason for 3rd wave of Covid-19  If any chance, pls let's go for atlest night curfew  Pls consider it sir. #Hyderabad #TelanganaUnlock",en,"[{'screen_name': 'ktrtrs', 'name': 'ktr', 'id': '118787224'}]",[],[],0,2,0,"['hyderabad', 'telanganaunlock']",[],https://twitter.com/MadamshettySai/status/1406330483709931521,False,,0,,India,,,,,,[],,,,
138,1406325493834469378,1406325493834469378,2021-06-20 00:28:20 India Standard Time,2021-06-20,00:28:20,530,900517755052466176,afeeltelluri,Telluri Afeel,,@KTRTRS To the Madhapur ACP  Sir backside of Madhapur ps A man selling liquor in open place in front of our church after starting curfew this is happening from long back we informed many times in Madhapur PS but there is no response from them pleas check belo links for videos,en,[],[],[],10,0,0,[],[],https://twitter.com/AfeelTelluri/status/1406325493834469378,False,,0,,India,,,,,,[],,,,
139,1406296930611728386,1406296930611728386,2021-06-19 22:34:50 India Standard Time,2021-06-19,22:34:50,530,1314526862710775808,bjp4panaji,BJP4Panaji,,#Goa Govt extends #Curfew by one more week till 7 am of June 28. #goafightscovid #COVID19 @goacm,en,"[{'screen_name': 'goacm', 'name': 'cmo goa', 'id': '3241053882'}]",[],[],0,5,13,"['goa', 'curfew', 'goafightscovid', 'covid19']",[],https://twitter.com/Bjp4Panaji/status/1406296930611728386,False,,0,,India,,,,,,[],,,,
140,1406277084343783426,1406277084343783426,2021-06-19 21:15:58 India Standard Time,2021-06-19,21:15:58,530,1395282958882205696,sayyadmohdtayy1,SAYYAD MOHD TAYYAB,,#Telangana : Total Lockdown  https://t.co/fd4sTW7X3e Night Curfew Also. @asadowaisi @kingarhansheikh,en,"[{'screen_name': 'asadowaisi', 'name': 'asaduddin owaisi', 'id': '336611577'}, {'screen_name': 'kingarhansheikh', 'name': 'sadab sheikh', 'id': '1335137145992880132'}]",['http://Lifted.No'],[],0,0,1,['telangana'],[],https://twitter.com/SAYYADMOHDTAYY1/status/1406277084343783426,False,,0,,India,,,,,,[],,,,
141,1406275685509844994,1406250970925862913,2021-06-19 21:10:25 India Standard Time,2021-06-19,21:10:25,530,227417059,stacypereira89,Stacy Pereira,,Rules applicable in entire State   • Night curfew from 7.00 pm to 5 am  • Weekend curfew from Friday night 7.00 pm to Monday 5.00 am   • Buses can operate with upto  50%  seating  capacity.  #Karnataka #unlock #bengaluru #newguidelines   @WeAreBangalore @WFRising,en,"[{'screen_name': 'wearebangalore', 'name': 'bengaluru', 'id': '1097115182'}, {'screen_name': 'wfrising', 'name': 'whitefield rising', 'id': '2242672866'}]",[],[],0,1,1,"['karnataka', 'unlock', 'bengaluru', 'newguidelines']",[],https://twitter.com/StacyPereira89/status/1406275685509844994,False,,0,,India,,,,,,[],,,,
142,1406273760798248961,1406260928463577092,2021-06-19 21:02:46 India Standard Time,2021-06-19,21:02:46,530,3639269474,lolita_tnie,S. Lalitha,,Weekend curfew will continue. Relaxations in force till July 5. CM appeals to all to take care to observe #Covid_19 precautions,en,[],[],[],2,1,3,['covid_19'],[],https://twitter.com/Lolita_TNIE/status/1406273760798248961,False,,0,,India,,,,,,[],,,,
143,1406273508364099584,1406273508364099584,2021-06-19 21:01:46 India Standard Time,2021-06-19,21:01:46,530,110641520,poojasinghsohal,Pooja Navjot Singh,,Night curfew starts at 8.00 PM and this is at 9.00 PM at Model Town just near Police Station.  @LudhianaDpro @Ludhiana_Police  https://t.co/Lc7pyyKx81,en,"[{'screen_name': 'ludhianadpro', 'name': 'dpro ludhiana', 'id': '955669714134380544'}, {'screen_name': 'ludhiana_police', 'name': 'ludhiana police', 'id': '3288660984'}]",[],['https://pbs.twimg.com/media/E4QWSdzXwAAUOTd.jpg'],0,0,1,[],[],https://twitter.com/PoojaSinghSohal/status/1406273508364099584,False,,1,https://pbs.twimg.com/media/E4QWSdzXwAAUOTd.jpg,India,,,,,,[],,,,
144,1406265601635471360,1406236508592304133,2021-06-19 20:30:21 India Standard Time,2021-06-19,20:30:21,530,3046457748,flyvizag,#FlyVizag (#WearAMask😷),,"@mywaltair RIP 🙏 But when it comes to restrictions govt of India guidelines are based on stats that states give. Today many bussiness suffering due to curfew. Many going through huge financial issues. Lock down or curfew is based on positivity, I think there are central guidelines",en,[],[],[],0,0,0,[],[],https://twitter.com/flyVizag/status/1406265601635471360,False,,0,,India,,,,,,"[{'screen_name': 'mywaltair', 'name': 'Vizag- The beautiful city of destiny', 'id': '926690159264808960'}]",,,,
145,1406263455733014528,1406251441686155267,2021-06-19 20:21:49 India Standard Time,2021-06-19,20:21:49,530,1135078208821272576,wra560027,Wilson Garden RWA (Ward 145),,@CPBlr What about them??? Flower market in Wilson Garden is operating during weekend curfew in violation of Covid rules.  https://t.co/Bu8lWQeKI0,en,[],[],"['https://pbs.twimg.com/media/E4QNKAGVkAEVlhm.jpg', 'https://pbs.twimg.com/media/E4QNKPoUYAMNjv3.jpg']",0,1,0,[],[],https://twitter.com/WRA560027/status/1406263455733014528,False,,1,https://pbs.twimg.com/media/E4QNKAGVkAEVlhm.jpg,India,,,,,,"[{'screen_name': 'CPBlr', 'name': 'Kamal Pant, IPS', 'id': '2687852605'}]",,,,
146,1406255554557665285,1406255554557665285,2021-06-19 19:50:25 India Standard Time,2021-06-19,19:50:25,530,161599081,aksgunjal,Akshay Gunjal,,"Is there any Saturday Sunday curfew in Mumbai??  @MumbaiPolice @CPMumbaiPolice   Brass band party at Grinar Tower,Madhav Prabhu chowk Ambewadi Kalachowki mumbai 33",en,"[{'screen_name': 'mumbaipolice', 'name': 'mumbai police', 'id': '4573405572'}, {'screen_name': 'cpmumbaipolice', 'name': 'cp mumbai police', 'id': '4575856758'}]",[],[],1,0,4,[],[],https://twitter.com/aksgunjal/status/1406255554557665285,False,,0,,India,,,,,,[],,,,
147,1406210925481263105,1403962226168397828,2021-06-19 16:53:05 India Standard Time,2021-06-19,16:53:05,530,1135078208821272576,wra560027,Wilson Garden RWA (Ward 145),,@CPBlr @KamalPantIPS @DCPCentralBCP @acphalasoorgate @BBMPCOMM @BbmpsplHealth @India_NHRC @JanLokayukta @CMofKarnataka Illegal flower market operating inside residential area of Wilson Garden during weekend curfew in violation of disaster management act 2015. Are they above law?  https://t.co/x4tqdzYo0v,en,"[{'screen_name': 'kamalpantips', 'name': 'kamal pant, ips', 'id': '1299050436217864193'}, {'screen_name': 'dcpcentralbcp', 'name': 'dcp, central division', 'id': '2808828342'}, {'screen_name': 'acphalasoorgate', 'name': 'acp halsuru gate', 'id': '4325409316'}, {'screen_name': 'bbmpcomm', 'name': 'gaurav gupta', 'id': '4345658112'}, {'screen_name': 'bbmpsplhealth', 'name': 'special commissioner health, bbmp', 'id': '1313819169830309890'}, {'screen_name': 'india_nhrc', 'name': 'nhrc india', 'id': '1231877652715208705'}, {'screen_name': 'janlokayukta', 'name': 'iac - karnataka', 'id': '246149936'}, {'screen_name': 'cmofkarnataka', 'name': 'cm of karnataka', 'id': '2713703797'}]",[],"['https://pbs.twimg.com/media/E4PdYTfVcAAEnfq.jpg', 'https://pbs.twimg.com/media/E4PdYk3VEAUUCIq.jpg']",0,1,0,[],[],https://twitter.com/WRA560027/status/1406210925481263105,False,,1,https://pbs.twimg.com/media/E4PdYTfVcAAEnfq.jpg,India,,,,,,[],,,,
148,1406202206819393539,1406202206819393539,2021-06-19 16:18:26 India Standard Time,2021-06-19,16:18:26,530,1735348532,maryammuhaini,.,,"I swear curfew is just a joke, this can’t be real. Hospitals can’t take more patients, doctors and their families are paying the price, people are dying and you come suggest a curfew. Unfortunately crisis management is just terrible here",en,[],[],[],1,0,3,[],[],https://twitter.com/MaryamMuhaini/status/1406202206819393539,False,,0,,India,,,,,,[],,,,
149,1406199458447069190,1406199458447069190,2021-06-19 16:07:31 India Standard Time,2021-06-19,16:07:31,530,1205921168,journalistakash,Journalist Akash Agarwal,,"#Telangana cabinet has decided to lift the #lockdown completely, with no night curfew as well following drop in #COVID19 cases. Positivity rate also dropped significantly. Officials have been instructed to lift all restrictions that were in place till date: @TelanganaCMO  https://t.co/RA0Aht5VoN",en,"[{'screen_name': 'telanganacmo', 'name': 'telangana cmo', 'id': '2558684335'}]",[],['https://pbs.twimg.com/media/E4PS8pyUUAMyFtS.jpg'],0,0,3,"['telangana', 'lockdown', 'covid19']",[],https://twitter.com/journalistakash/status/1406199458447069190,False,,1,https://pbs.twimg.com/media/E4PS8pyUUAMyFtS.jpg,India,,,,,,[],,,,
150,1406194605511516160,1406194605511516160,2021-06-19 15:48:14 India Standard Time,2021-06-19,15:48:14,530,1228977981621583873,tanduridilse,Tanduri Dil Se,,"The State cabinet which met here on Saturday, has decided to lift the ongoing lockdown completely commencing from 6 AM on Sunday. There will be no night curfew either.  https://t.co/V2LWNZv5AH",en,[],[],['https://pbs.twimg.com/media/E4POiUDVgAA3r7q.jpg'],0,0,0,[],[],https://twitter.com/TanduriDilSe/status/1406194605511516160,False,,1,https://pbs.twimg.com/media/E4POiUDVgAA3r7q.jpg,India,,,,,,[],,,,
