,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
10,10,@63d235a2bfac484 @KiritSomaiya @BJP4Maharashtra Yes nothing will happen to Fadnavis in remdesivir matter.Anil deshmukh is vasuli matter. And others is other scams. Bjp signed in favour of scamster Ajit pawar to form govt. why Kirit is not questioning Fadnavis too,en,[],"['@63d235a2bfac484', '@KiritSomaiya', '@BJP4Maharashtra']",[],"['63d235a2bfac484', 'KiritSomaiya', 'BJP4Maharashtra', 'Yes', 'nothing', 'will', 'happen', 'to', 'Fadnavis', 'in', 'remdesivir', 'matter.Anil', 'deshmukh', 'is', 'vasuli', 'matter', 'And', 'others', 'is', 'other', 'scams', 'Bjp', 'signed', 'in', 'favour', 'of', 'scamster', 'Ajit', 'pawar', 'to', 'form', 'govt', 'why', 'Kirit', 'is', 'not', 'questioning', 'Fadnavis', 'too']","['happen', 'remdesivir', 'matter.Anil', 'signed', 'deshmukh', 'favour', 'Ajit', 'form', 'Kirit', 'others', 'BJP4Maharashtra', 'Fadnavis', '63d235a2bfac484', 'And', 'scamster', 'scams', 'Bjp', 'questioning', 'matter', 'govt', 'pawar', 'Yes', 'nothing', 'vasuli', 'KiritSomaiya']", Yes nothing will happen to Fadnavis in remdesivir matterAnil deshmukh is vasuli matter And others is other scams Bjp signed in favour of scamster Ajit pawar to form govt why Kirit is not questioning Fadnavis too,[]
11,11,"We COOL people always fill your lungs, clear your mind. To breathe, we do not only need air and lungs, we need freedom. #COVID19 #kitajagakita #kementeriankesihatanmalaysi  https://t.co/cv0zzuiiXe",en,"['#COVID19', '#kitajagakita', '#kementeriankesihatanmalaysi']",[],['https://t.co/cv0zzuiiXe'],"['We', 'COOL', 'people', 'always', 'fill', 'your', 'lungs', 'clear', 'your', 'mind', 'To', 'breathe', 'we', 'do', 'not', 'only', 'need', 'air', 'and', 'lungs', 'we', 'need', 'freedom', 'COVID19', 'kitajagakita', 'kementeriankesihatanmalaysi', 'https', 't.co/cv0zzuiiXe']","['To', 'kementeriankesihatanmalaysi', 'always', 'COOL', 't.co/cv0zzuiiXe', 'clear', 'air', 'We', 'https', 'lungs', 'COVID19', 'kitajagakita', 'need', 'breathe', 'people', 'freedom', 'mind', 'fill']",We COOL people always fill your lungs clear your mind To breathe we do not only need air and lungs we need freedom ,[]
12,12,@jayesh_ranjan I hope you and your family is safe from covid 19 . please ask your family and Yourself to travel in public bus/train and public transport for 1 month .this will help us believe that covid protocol are strong.,en,[],['@jayesh_ranjan'],[],"['jayesh_ranjan', 'I', 'hope', 'you', 'and', 'your', 'family', 'is', 'safe', 'from', 'covid', '19', 'please', 'ask', 'your', 'family', 'and', 'Yourself', 'to', 'travel', 'in', 'public', 'bus/train', 'and', 'public', 'transport', 'for', '1', 'month', 'this', 'will', 'help', 'us', 'believe', 'that', 'covid', 'protocol', 'are', 'strong']","['hope', 'public', 'believe', 'please', 'jayesh_ranjan', 'ask', '19', 'bus/train', 'us', 'travel', 'month', 'Yourself', '1', 'transport', 'safe', 'strong', 'covid', 'help', 'protocol', 'I', 'family']", I hope you and your family is safe from covid 19  please ask your family and Yourself to travel in public bus/train and public transport for 1 month this will help us believe that covid protocol are strong,[]
13,13,"For the time being, continuing to  mask up, as well as  other simple precautions such as physical distancing, hand hygiene, avoid crowded and confined places as much as possible. As the saying goes,  ""sediakan payung sebelum hujan"".  #MaskUp #COVID19 #StaySafe",en,"['#MaskUp', '#COVID19', '#StaySafe']",[],[],"['For', 'the', 'time', 'being', 'continuing', 'to', 'mask', 'up', 'as', 'well', 'as', 'other', 'simple', 'precautions', 'such', 'as', 'physical', 'distancing', 'hand', 'hygiene', 'avoid', 'crowded', 'and', 'confined', 'places', 'as', 'much', 'as', 'possible', 'As', 'the', 'saying', 'goes', 'sediakan', 'payung', 'sebelum', 'hujan', 'MaskUp', 'COVID19', 'StaySafe']","['For', 'MaskUp', 'much', 'distancing', 'payung', 'hujan', 'StaySafe', 'avoid', 'As', 'hand', 'possible', 'precautions', 'sediakan', 'crowded', 'simple', 'continuing', 'goes', 'mask', 'saying', 'confined', 'places', 'sebelum', 'physical', 'time', 'well', 'COVID19', 'hygiene']",For the time being continuing to mask up as well as other simple precautions such as physical distancing hand hygiene avoid crowded and confined places as much as possible As the saying goes sediakan payung sebelum hujan ,[]
14,14,"Ex CM of Sindh nd our Honourable Saeen Qaim Ali shah positive for COVID-19 , prayers for speedy and complete recovery from Covid19.   May Allah bless him with healthy and long life amen sum ameeen  @ShahNafisa  https://t.co/zwEapjL4kF",en,[],['@ShahNafisa'],['https://t.co/zwEapjL4kF'],"['Ex', 'CM', 'of', 'Sindh', 'nd', 'our', 'Honourable', 'Saeen', 'Qaim', 'Ali', 'shah', 'positive', 'for', 'COVID-19', 'prayers', 'for', 'speedy', 'and', 'complete', 'recovery', 'from', 'Covid19', 'May', 'Allah', 'bless', 'him', 'with', 'healthy', 'and', 'long', 'life', 'amen', 'sum', 'ameeen', 'ShahNafisa', 'https', 't.co/zwEapjL4kF']","['positive', 'long', 'Allah', 'Qaim', 'Ex', 'recovery', 'speedy', 't.co/zwEapjL4kF', 'ShahNafisa', 'amen', 'life', 'healthy', 'ameeen', 'https', 'Covid19', 'Sindh', 'Ali', 'bless', 'sum', 'prayers', 'Honourable', 'shah', 'complete', 'COVID-19', 'Saeen', 'CM', 'May', 'nd']",Ex CM of Sindh nd our Honourable Saeen Qaim Ali shah positive for COVID19  prayers for speedy and complete recovery from Covid19 May Allah bless him with healthy and long life amen sum ameeen ,[]
15,15,HPM #SheikhHasina-led @albd1971 Govt. plans to vaccinate approx. 10 million people Vs #COVID19 in a week starting Aug 8 when ongoing mass #vaccination drive is extended to the grassroots union level.  #VaccineForAll #VaccineEquity @CEPIvaccines @gavi    https://t.co/QK7CYMcKIg,en,"['#SheikhHasina-led', '#COVID19', '#vaccination', '#VaccineForAll', '#VaccineEquity']","['@albd1971', '@CEPIvaccines', '@gavi']",['https://t.co/QK7CYMcKIg'],"['HPM', 'SheikhHasina-led', 'albd1971', 'Govt', 'plans', 'to', 'vaccinate', 'approx', '10', 'million', 'people', 'Vs', 'COVID19', 'in', 'a', 'week', 'starting', 'Aug', '8', 'when', 'ongoing', 'mass', 'vaccination', 'drive', 'is', 'extended', 'to', 'the', 'grassroots', 'union', 'level', 'VaccineForAll', 'VaccineEquity', 'CEPIvaccines', 'gavi', 'https', 't.co/QK7CYMcKIg']","['plans', '10', 'gavi', '8', 'Govt', 'albd1971', 'people', 'million', 'VaccineForAll', 'SheikhHasina-led', 'level', 'ongoing', 't.co/QK7CYMcKIg', 'week', 'https', 'Vs', 'extended', 'starting', 'drive', 'approx', 'Aug', 'CEPIvaccines', 'HPM', 'mass', 'grassroots', 'union', 'vaccination', 'vaccinate', 'COVID19', 'VaccineEquity']",HPM Govt plans to vaccinate approx 10 million people Vs in a week starting Aug 8 when ongoing mass drive is extended to the grassroots union level ,[]
16,16,Saravanan: Employers must pay for Covid-19 screening tests for employees | New Straits Times  https://t.co/6s2SxB0zT4,en,[],[],['https://t.co/6s2SxB0zT4'],"['Saravanan', 'Employers', 'must', 'pay', 'for', 'Covid-19', 'screening', 'tests', 'for', 'employees', 'New', 'Straits', 'Times', 'https', 't.co/6s2SxB0zT4']","['Covid-19', 'screening', 'Straits', 'Times', 'New', 'must', 't.co/6s2SxB0zT4', 'pay', 'employees', 'https', 'Saravanan', 'tests', 'Employers']",Saravanan: Employers must pay for Covid19 screening tests for employees | New Straits Times ,[]
17,17,Day after day covid-19 took someone precious away from people’s life 💔,en,[],[],[],"['Day', 'after', 'day', 'covid-19', 'took', 'someone', 'precious', 'away', 'from', 'people', '’', 's', 'life', '💔']","['someone', '💔', 'day', '’', 'covid-19', 'precious', 'Day', 'life', 'away', 'people', 'took']",Day after day covid19 took someone precious away from people’s life 💔,['💔']
18,18,Happy Birthday with good wishes for His Healthy &amp; Happy Life ❤️  Thanks! 🇮🇳  https://t.co/ClzWihOkie 🇮🇳 Sincerely Public Apriciated website for Doctors support to Nation People in Covid-19.,en,[],[],['https://t.co/ClzWihOkie'],"['Happy', 'Birthday', 'with', 'good', 'wishes', 'for', 'His', 'Healthy', 'amp', 'Happy', 'Life', '❤️', 'Thanks', '🇮🇳', 'https', 't.co/ClzWihOkie', '🇮🇳', 'Sincerely', 'Public', 'Apriciated', 'website', 'for', 'Doctors', 'support', 'to', 'Nation', 'People', 'in', 'Covid-19']","['website', 'Thanks', '🇮🇳', '❤️', 'Happy', 'Nation', 'Sincerely', 'good', 'His', 'Life', 'amp', 'support', 'Doctors', 'https', 'Public', 't.co/ClzWihOkie', 'Apriciated', 'Birthday', 'wishes', 'Covid-19', 'Healthy', 'People']",Happy Birthday with good wishes for His Healthy amp Happy Life ❤️ Thanks 🇮🇳  🇮🇳 Sincerely Public Apriciated website for Doctors support to Nation People in Covid19,"['❤️', '🇮🇳', '🇮🇳']"
19,19,If I was @Neeraj_chopra1 @BajrangPunia @ravikumardhaiya @LovlinaBorgohai or Olympic contingent  came from #Tokyo2020 today would have asked fans not to gather  welcoming them &amp; #maintainsocialdistance considering that #COVID19 3rd wave is just around &amp; We may face 1 more disaster,en,"['#Tokyo2020', '#maintainsocialdistance', '#COVID19']","['@Neeraj_chopra1', '@BajrangPunia', '@ravikumardhaiya', '@LovlinaBorgohai']",[],"['If', 'I', 'was', 'Neeraj_chopra1', 'BajrangPunia', 'ravikumardhaiya', 'LovlinaBorgohai', 'or', 'Olympic', 'contingent', 'came', 'from', 'Tokyo2020', 'today', 'would', 'have', 'asked', 'fans', 'not', 'to', 'gather', 'welcoming', 'them', 'amp', 'maintainsocialdistance', 'considering', 'that', 'COVID19', '3rd', 'wave', 'is', 'just', 'around', 'amp', 'We', 'may', 'face', '1', 'more', 'disaster']","['disaster', 'face', 'maintainsocialdistance', 'Tokyo2020', 'LovlinaBorgohai', 'If', 'contingent', 'would', 'BajrangPunia', 'Neeraj_chopra1', 'amp', '1', 'Olympic', 'welcoming', 'may', 'ravikumardhaiya', 'asked', '3rd', 'wave', 'today', 'considering', 'came', 'We', 'fans', 'COVID19', 'I', 'gather', 'around']",If I was or Olympic contingent came from today would have asked fans not to gather welcoming them amp considering that 3rd wave is just around amp We may face 1 more disaster,[]
