,username,created_at,replies_count,retweets_count,likes_count,tweet,language
55,Sk Nadir Ali,2021-06-18T19:23:54.000Z,0.0,0.0,0,"Our Heartfelt Condolences 
Honorary Captain Padma Shri Milkha Singh (Flying Sikh) Succumbs to Covid-19 today following his wife Nirmal Kaur died on 13th june. Will be remembered fondly in recognition of his sporting achievements. ऊँ शांति 
#MilkhaSingh #Flyingsikh",en
68,PRO Defence Tezpur (Assam/Arunachal Pradesh),2021-06-16T03:21:23.000Z,0.0,4.0,14,"#HarKaamDeshKeNaam
#IndianArmyPeoplesArmy 
The team provided medicines & COVID-19 essentials. The Camp aided 277 locals incl 127 women & 56 children. The villagers thanked #IndianArmy for the #MedicalCamp.

@official_dgar
 
@easterncomd
 

@PemaKhanduBJP
 
@SpokespersonMoD
 
@Spearcorps",en
69,Avik Saha,2021-06-15T14:34:00.000Z,0.0,6.0,10,"Central was trying to hide its incompetence and mishandling of the second wave of covid-19 while denying the actual death toll from the pandemic. Narendra Modi - led government has lost it connect with reality and was absolutely aloof. 

#ModiResign 
#Covid_19",en
76,ramen aditya,2021-06-15T03:01:11.000Z,0.0,0.0,0,"W Bengal govt has extended the Covid-19 induced lockdown till July 1.Govt has allowed govt and private offices to function with 25 % workforce from June16. But without  bus & train, it will cause hardship for the people.Why bus & train are also not allowed with half capacity?",en
77,Suvrajit Dhar,2021-06-14T13:35:42.000Z,0.0,1.0,2,"New lockdown rules will be implemented from 16th June 2021
#CoronaSecondWave #Corona #COVID19 
#WestBengal #westbengallockdown",en
78,Sourav_Raj_d ,2021-06-14T07:47:26.000Z,0.0,1.0,6,"The Gov.of WB on Sunday appointed 10 Sr. bureaucrats as nodal officers in 10 Dist. to control & fight the spread of #coronavirus.

Officers hv been asked to inspect designated Dist. & guide the Dist. administration on the management of the #Covid_19 #pendemic.

#didifightcorona",en
81,Amit Mukherjee,2021-06-13T17:26:07.000Z,0.0,0.0,0,"Replying to 
@ushapadhee1996",en
84,RamKoner,2021-06-13T06:16:52.000Z,0.0,0.0,0,"Replying to 
@KrisNair1",en
90,Mohit Saluja,2021-06-12T07:57:48.000Z,0.0,0.0,0,"Replying to 
@FinMinIndia
 
@nsitharaman
 and 11 others",en
91,Mohit Saluja,2021-06-12T07:57:38.000Z,0.0,0.0,0,"Replying to 
@FinMinIndia
 
@nsitharaman
 and 11 others",en
92,Jothi SJ2,2021-06-12T07:57:01.000Z,0.0,2.0,2,"Very sad the maximum death In the working group.. Covid-19: Indian Jesuits suffered worst despite precautions | Matters India https://mattersindia.com/2021/06/covid-19-indian-jesuits-suffered-worst-despite-precautions/…

@romereports
 
@isibengaluru
 
@oss_romano
 
@JCSADelhi
 
@americamag
 
@sijisj
 
@Pontifex
 
@vaticannews_es
 
@jesaminfo",en
96,Mohit Saluja,2021-06-11T16:25:05.000Z,0.0,0.0,0,"Replying to 
@mygovindia
 
@MoHFW_INDIA
 and 6 others",en
