,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
751,751,"Heartfelt Condolences 🙏🙏  Flying Sikh Milkha Singh ji wife Nirmal Kaur (former captain of India’s National Women’s Volleyball team) lost battle to Covid19.  🙏 #MilkhaSingh Ji also get infected by Corona &amp; admitted in ICU at PGIMER Chandigarh, We pray for his speedy recovery.  https://t.co/qpuJSmzq0N",en,['#MilkhaSingh'],[],['https://t.co/qpuJSmzq0N'],"['Heartfelt', 'Condolences', '🙏🙏', 'Flying', 'Sikh', 'Milkha', 'Singh', 'ji', 'wife', 'Nirmal', 'Kaur', 'former', 'captain', 'of', 'India', '’', 's', 'National', 'Women', '’', 's', 'Volleyball', 'team', 'lost', 'battle', 'to', 'Covid19', '🙏', 'MilkhaSingh', 'Ji', 'also', 'get', 'infected', 'by', 'Corona', 'amp', 'admitted', 'in', 'ICU', 'at', 'PGIMER', 'Chandigarh', 'We', 'pray', 'for', 'his', 'speedy', 'recovery', 'https', 't.co/qpuJSmzq0N']",,Heartfelt Condolences 🙏🙏 Flying Sikh Milkha Singh ji wife Nirmal Kaur (former captain of India’s National Women’s Volleyball team) lost battle to Covid19 🙏 Ji also get infected by Corona amp admitted in ICU at PGIMER Chandigarh We pray for his speedy recovery ,"['🙏', '🙏', '🙏']"
752,752,Full Video Link Here 😄🙌🏻 Will Be Helpful For You 🤗 If You Like The Video &amp; Subscribe - it would be helpful 🤗  https://t.co/zZ4t62OaRP 🔝🔝🔝🔝🔝 #youtube #homeworkout #corona  #LockDown #Covid_19 #fitathome #exercises #QuarantineLife #workout #ContentCreator  https://t.co/Mj7dUwheu7,en,"['#youtube', '#homeworkout', '#corona', '#LockDown', '#Covid_19', '#fitathome', '#exercises', '#QuarantineLife', '#workout', '#ContentCreator']",[],"['https://t.co/zZ4t62OaRP', 'https://t.co/Mj7dUwheu7']","['Full', 'Video', 'Link', 'Here', '😄🙌🏻', 'Will', 'Be', 'Helpful', 'For', 'You', '🤗', 'If', 'You', 'Like', 'The', 'Video', 'amp', 'Subscribe', 'it', 'would', 'be', 'helpful', '🤗', 'https', 't.co/zZ4t62OaRP', '🔝🔝🔝🔝🔝', 'youtube', 'homeworkout', 'corona', 'LockDown', 'Covid_19', 'fitathome', 'exercises', 'QuarantineLife', 'workout', 'ContentCreator', 'https', 't.co/Mj7dUwheu7']",,Full Video Link Here 😄🙌🏻 Will Be Helpful For You 🤗 If You Like The Video amp Subscribe  it would be helpful 🤗  🔝🔝🔝🔝🔝 ,"['😄', '🙌🏻', '🤗', '🤗', '🔝', '🔝', '🔝', '🔝', '🔝']"
753,753,coffee with corona virus time  https://t.co/ZAM7ujCffu,en,[],[],['https://t.co/ZAM7ujCffu'],"['coffee', 'with', 'corona', 'virus', 'time', 'https', 't.co/ZAM7ujCffu']",,coffee with corona virus time ,[]
754,754,"#RamMandirScam AAP is completely exposed in corona they were not able to provide anything to dehlites,they want divert the attention from their failure.Kujiwal and his chamcha will give written apologies in this case as in case of Jaitely and Gadkari.",en,['#RamMandirScam'],[],[],"['RamMandirScam', 'AAP', 'is', 'completely', 'exposed', 'in', 'corona', 'they', 'were', 'not', 'able', 'to', 'provide', 'anything', 'to', 'dehlites', 'they', 'want', 'divert', 'the', 'attention', 'from', 'their', 'failure.Kujiwal', 'and', 'his', 'chamcha', 'will', 'give', 'written', 'apologies', 'in', 'this', 'case', 'as', 'in', 'case', 'of', 'Jaitely', 'and', 'Gadkari']",, AAP is completely exposed in corona they were not able to provide anything to dehlitesthey want divert the attention from their failureKujiwal and his chamcha will give written apologies in this case as in case of Jaitely and Gadkari,[]
755,755,"IDFC FIRST Bank offers 4x annual CTC, salary continuation for 2 years to corona affected employees#39; families: MD Vaidyanathan  https://t.co/ux9ls9xyma #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/ux9ls9xyma'],"['IDFC', 'FIRST', 'Bank', 'offers', '4x', 'annual', 'CTC', 'salary', 'continuation', 'for', '2', 'years', 'to', 'corona', 'affected', 'employees', '39', 'families', 'MD', 'Vaidyanathan', 'https', 't.co/ux9ls9xyma', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']",,IDFC FIRST Bank offers 4x annual CTC salary continuation for 2 years to corona affected employees families: MD Vaidyanathan  ,[]
756,756,"Today,corona epidemic has created a furore in field of education,for uplift't of students in this critical time,a platform(@PragyanClasses)has been created by me,on which various and intellectual teachers of India are present,fees are very low as well demo class's are available.  https://t.co/fPVSePIhYW",en,[],[],['https://t.co/fPVSePIhYW'],"['Today', 'corona', 'epidemic', 'has', 'created', 'a', 'furore', 'in', 'field', 'of', 'education', 'for', ""uplift't"", 'of', 'students', 'in', 'this', 'critical', 'time', 'a', 'platform', 'PragyanClasses', 'has', 'been', 'created', 'by', 'me', 'on', 'which', 'various', 'and', 'intellectual', 'teachers', 'of', 'India', 'are', 'present', 'fees', 'are', 'very', 'low', 'as', 'well', 'demo', 'class', ""'s"", 'are', 'available', 'https', 't.co/fPVSePIhYW']",,Todaycorona epidemic has created a furore in field of educationfor upliftt of students in this critical timea platform( been created by meon which various and intellectual teachers of India are presentfees are very low as well demo classs are available ,[]
757,757,"Flying sikh just defeated corona, but its sad that corona caught his life partner 😭",en,[],[],[],"['Flying', 'sikh', 'just', 'defeated', 'corona', 'but', 'its', 'sad', 'that', 'corona', 'caught', 'his', 'life', 'partner', '😭']",,Flying sikh just defeated corona but its sad that corona caught his life partner 😭,['😭']
758,758,Everyone are waiting for this lockdown to open........ Even corona virus waiting for the same.....,en,[],[],[],"['Everyone', 'are', 'waiting', 'for', 'this', 'lockdown', 'to', 'open', 'Even', 'corona', 'virus', 'waiting', 'for', 'the', 'same']",,Everyone are waiting for this lockdown to open Even corona virus waiting for the same,[]
759,759,Today's Corona News Statistics of Surat and Bardoli ..  #bardoli #bardolinagar #surat #suratcity #covid_19 #sardarnagribardoli #CoronaVirus #COVID19 #stayhomestaysafe #coronaupdates #coronapositive #bardoliguide  https://t.co/HviHSHBzBd,en,"['#bardoli', '#bardolinagar', '#surat', '#suratcity', '#covid_19', '#sardarnagribardoli', '#CoronaVirus', '#COVID19', '#stayhomestaysafe', '#coronaupdates', '#coronapositive', '#bardoliguide']",[],['https://t.co/HviHSHBzBd'],"['Today', ""'s"", 'Corona', 'News', 'Statistics', 'of', 'Surat', 'and', 'Bardoli', 'bardoli', 'bardolinagar', 'surat', 'suratcity', 'covid_19', 'sardarnagribardoli', 'CoronaVirus', 'COVID19', 'stayhomestaysafe', 'coronaupdates', 'coronapositive', 'bardoliguide', 'https', 't.co/HviHSHBzBd']",,Todays Corona News Statistics of Surat and Bardoli  ,[]
760,760,"Heartfelt Condolences 🙏🙏 Flying Sikh Milkha Singh ji wife Nirmal Kaur lost battle to Covid19, May Waheguru ji bless her soul &amp; rest in peace 🙏 #MilkhaSingh Ji also get infected by Corona &amp; admitted in ICU at PGIMER Chandigarh, We pray for his speedy recovery. @JeevMilkhaSingh  https://t.co/ODVsJNIU0w",en,['#MilkhaSingh'],['@JeevMilkhaSingh'],['https://t.co/ODVsJNIU0w'],"['Heartfelt', 'Condolences', '🙏🙏', 'Flying', 'Sikh', 'Milkha', 'Singh', 'ji', 'wife', 'Nirmal', 'Kaur', 'lost', 'battle', 'to', 'Covid19', 'May', 'Waheguru', 'ji', 'bless', 'her', 'soul', 'amp', 'rest', 'in', 'peace', '🙏', 'MilkhaSingh', 'Ji', 'also', 'get', 'infected', 'by', 'Corona', 'amp', 'admitted', 'in', 'ICU', 'at', 'PGIMER', 'Chandigarh', 'We', 'pray', 'for', 'his', 'speedy', 'recovery', 'JeevMilkhaSingh', 'https', 't.co/ODVsJNIU0w']",,Heartfelt Condolences 🙏🙏 Flying Sikh Milkha Singh ji wife Nirmal Kaur lost battle to Covid19 May Waheguru ji bless her soul amp rest in peace 🙏 Ji also get infected by Corona amp admitted in ICU at PGIMER Chandigarh We pray for his speedy recovery ,"['🙏', '🙏', '🙏']"
