,created_at,username,tweet,language,replies_count,retweets_count,likes_count
51,2021-03-02 20:52:36 India Standard Time,naxih,@Riyazuddin555 @amjedmbt @sushilrTOI @PramodChturvedi @guest_res @visitmaldives @PoliceMv @HPA_MV Hotel received this 2 Notice from HPA. Please contact HPA for COVID19 reports. Hotel is following the order or Notice from HPA.  https://t.co/rhueY52qU7,en,0,0,1
56,2021-03-05 01:05:28 India Standard Time,ansariinsh,#covidguidelines this is how Covid19 precautions are taken care @OfficeofUT late night harrassment to local residents due to ongoing shooting since 2 days  https://t.co/gVJOyPlYC0,en,0,1,1
57,2021-03-05 01:04:12 India Standard Time,safikhanmagical,@DrTedros @WHO Quite effective project to defeat #COVID19,en,0,0,0
63,2021-03-04 22:49:41 India Standard Time,rameeskazmi,Fuck off🙄 #Covid_19  https://t.co/rAvrXd9QFp,en,0,0,1
66,2021-03-04 22:18:15 India Standard Time,ihcdhaka,"EAM @DrSJaishankar concluded day-long visit to #Dhaka &amp;  • Reaffirmed the robust 🇮🇳-🇧🇩 partnership  • Stressed on greater Connectivity as the key gamechanger, bilaterally &amp; regionally • Prepared ground for the first international visit of PM @narendramodi since #COVID19 set in  https://t.co/tmCyWFGvlH",en,0,20,72
68,2021-03-04 21:30:21 India Standard Time,jee25x,Covid-19,en,0,0,0
70,2021-03-04 21:11:16 India Standard Time,dprosirmaur,"*Sirmaur Corona Sample Details*   RTPCR pending 20, positive 4  RTPCR New 531, positive 0, Inprocess 48  Trunat 0  Sai hospital TNC 1, positive 0  Sai hospital RAT 0, Positive 0  RAT 147, positive 4  Total sample 679, Positive 8  Recovered 6  Active 38  #COVID19 #7pmmediabulletin  https://t.co/mXJPOraTk3",en,0,0,2
79,2021-03-08 01:01:10 India Standard Time,kkpereraonline,"How to order !  Dear customers , Online services start &amp; Covid-19 virus situation temporary customers visiting services closed @ Head Office &amp; Special request for any customer can visit before verifying our director or customer service unit .",en,1,0,0
80,2021-03-08 00:14:42 India Standard Time,ishtiapil,"UN Women announces the theme for International Women’s Day, 8 March 2021 (IWD 2021) as, “Women in leadership: Achieving an equal future in a COVID-19 world.”",en,0,0,0
82,2021-03-07 23:29:10 India Standard Time,jnuabhishek,"The rollout of the #COVID19 vaccines by India in collaboration with leading global institutions has ""rescued the world"" from the deadly coronavirus and the contributions by the country must not be underestimated,American scientist has said. #VaccineMaitri   https://t.co/PhiKbCHWu6",en,0,2,4
