,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
170,170,"Second cousins of mine, fully vaccinated with Chinese vaccines, are down with covid &amp; in pretty bad shape. Not hospitalized but not that mild either. This Delta variant is pretty scary",en,[],[],[],"['Second', 'cousins', 'of', 'mine', 'fully', 'vaccinated', 'with', 'Chinese', 'vaccines', 'are', 'down', 'with', 'covid', 'amp', 'in', 'pretty', 'bad', 'shape', 'Not', 'hospitalized', 'but', 'not', 'that', 'mild', 'either', 'This', 'Delta', 'variant', 'is', 'pretty', 'scary']","['Chinese', 'mine', 'covid', 'hospitalized', 'Not', 'either', 'amp', 'pretty', 'Second', 'This', 'vaccinated', 'vaccines', 'mild', 'variant', 'Delta', 'bad', 'scary', 'fully', 'shape', 'cousins']",Second cousins of mine fully vaccinated with Chinese vaccines are down with covid amp in pretty bad shape Not hospitalized but not that mild either This Delta variant is pretty scary,[]
171,171,2 defeat delta variant 2nd dose done 🦠🧬💉💉✅  #MrBlessed is now #MrBlessedProMax 🤣😇🤩😇 #IamBlessed to be #FullyVaccinated  Practice #Inhaleसब्र (#Patience) #Exhaleशुक् ( #ThankYou) #Meditation along with #Medication🧘🏻‍♂️  #WearAMask #GetVaccinated #Covid19Vaccination #Covid  https://t.co/09y5EGdeBO,en,"['#MrBlessed', '#MrBlessedProMax', '#IamBlessed', '#FullyVaccinated', '#Inhaleसब्र', '#Exhaleशुक्', '#ThankYou)', '#Meditation', '#Medication🧘🏻\u200d♂️', '#WearAMask', '#GetVaccinated', '#Covid19Vaccination', '#Covid']",[],['https://t.co/09y5EGdeBO'],"['2', 'defeat', 'delta', 'variant', '2nd', 'dose', 'done', '🦠🧬💉💉✅', 'MrBlessed', 'is', 'now', 'MrBlessedProMax', '🤣😇🤩😇', 'IamBlessed', 'to', 'be', 'FullyVaccinated', 'Practice', 'Inhaleसब्र', 'Patience', 'Exhaleशुक्', 'ThankYou', 'Meditation', 'along', 'with', 'Medication🧘🏻\u200d♂️', 'WearAMask', 'GetVaccinated', 'Covid19Vaccination', 'Covid', 'https', 't.co/09y5EGdeBO']","['delta', 'IamBlessed', 'Covid19Vaccination', 'Patience', 'along', '🦠🧬💉💉✅', 'MrBlessedProMax', '2', '🤣😇🤩😇', 'Inhaleसब्र', '2nd', 'Exhaleशुक्', 'defeat', 'WearAMask', 'Medication🧘🏻\u200d♂️', 'dose', 'ThankYou', 'Covid', 'MrBlessed', 'Practice', 'Meditation', 'FullyVaccinated', 'done', 'https', 'variant', 'GetVaccinated', 't.co/09y5EGdeBO']",2 defeat delta variant 2nd dose done  is now  to be Practice ( ( along with ,"['🦠', '🧬', '💉', '💉', '✅', '🤣', '😇', '🤩', '😇']"
172,172,"@EasternRailway Sir, travelling in covid special Dated:18.07.21,train no.03153 from SDAH to MLDT, coach:B2 seat no.47,59.The ac is not working for the entire compartment and as per train superintendent this is usual thing due to power supply disruption in neutral zone however ac.  https://t.co/pOFOBaa7OY",en,[],['@EasternRailway'],['https://t.co/pOFOBaa7OY'],"['EasternRailway', 'Sir', 'travelling', 'in', 'covid', 'special', 'Dated:18.07.21', 'train', 'no.03153', 'from', 'SDAH', 'to', 'MLDT', 'coach', 'B2', 'seat', 'no.47,59.The', 'ac', 'is', 'not', 'working', 'for', 'the', 'entire', 'compartment', 'and', 'as', 'per', 'train', 'superintendent', 'this', 'is', 'usual', 'thing', 'due', 'to', 'power', 'supply', 'disruption', 'in', 'neutral', 'zone', 'however', 'ac', 'https', 't.co/pOFOBaa7OY']","['SDAH', 'entire', 'seat', 'disruption', 'Dated:18.07.21', 'covid', 'superintendent', 'travelling', 'working', 'compartment', 'coach', 'Sir', 'special', 'thing', 'ac', 'power', 'MLDT', 'EasternRailway', 'no.47,59.The', 'however', 'per', 'usual', 'zone', 't.co/pOFOBaa7OY', 'train', 'https', 'due', 'no.03153', 'B2', 'neutral', 'supply']", Sir travelling in covid special Dated:180721train no03153 from SDAH to MLDT coach:B2 seat no4759The ac is not working for the entire compartment and as per train superintendent this is usual thing due to power supply disruption in neutral zone however ac ,[]
173,173,"Feeling grateful to be honoured by Delhi Police Special Commissioner, Sh. Robin Hibu Ji for offering distinguished services provide aid to the people who were affected by COVID-19 during these difficult circumstances. #DelhiPolice #delhipolicespecialcommissioner  https://t.co/OpxlIHOj3H",en,"['#DelhiPolice', '#delhipolicespecialcommissioner']",[],['https://t.co/OpxlIHOj3H'],"['Feeling', 'grateful', 'to', 'be', 'honoured', 'by', 'Delhi', 'Police', 'Special', 'Commissioner', 'Sh', 'Robin', 'Hibu', 'Ji', 'for', 'offering', 'distinguished', 'services', 'provide', 'aid', 'to', 'the', 'people', 'who', 'were', 'affected', 'by', 'COVID-19', 'during', 'these', 'difficult', 'circumstances', 'DelhiPolice', 'delhipolicespecialcommissioner', 'https', 't.co/OpxlIHOj3H']","['affected', 'Commissioner', 'Special', 'honoured', 'services', 'aid', 'delhipolicespecialcommissioner', 'DelhiPolice', 'distinguished', 'Sh', 'people', 'difficult', 'Ji', 'Feeling', 'Police', 'Robin', 'Delhi', 'Hibu', 'offering', 'provide', 'COVID-19', 'circumstances', 'https', 't.co/OpxlIHOj3H', 'grateful']",Feeling grateful to be honoured by Delhi Police Special Commissioner Sh Robin Hibu Ji for offering distinguished services provide aid to the people who were affected by COVID19 during these difficult circumstances ,[]
174,174,"@EasternRailway  Sir, travelling in GOUR SPECIAL covid special Dated:18.07.21,train no.03153 from SDAH to MLDT, coach:B2.The ac is not working for the entire compartment and as per train superintendent this is usual thing due to power supply disruption in neutral zone however ac.",en,[],['@EasternRailway'],[],"['EasternRailway', 'Sir', 'travelling', 'in', 'GOUR', 'SPECIAL', 'covid', 'special', 'Dated:18.07.21', 'train', 'no.03153', 'from', 'SDAH', 'to', 'MLDT', 'coach', 'B2.The', 'ac', 'is', 'not', 'working', 'for', 'the', 'entire', 'compartment', 'and', 'as', 'per', 'train', 'superintendent', 'this', 'is', 'usual', 'thing', 'due', 'to', 'power', 'supply', 'disruption', 'in', 'neutral', 'zone', 'however', 'ac']","['SDAH', 'entire', 'disruption', 'Dated:18.07.21', 'SPECIAL', 'B2.The', 'covid', 'superintendent', 'travelling', 'working', 'compartment', 'coach', 'Sir', 'special', 'thing', 'ac', 'power', 'MLDT', 'EasternRailway', 'however', 'GOUR', 'per', 'usual', 'zone', 'train', 'due', 'no.03153', 'neutral', 'supply']", Sir travelling in GOUR SPECIAL covid special Dated:180721train no03153 from SDAH to MLDT coach:B2The ac is not working for the entire compartment and as per train superintendent this is usual thing due to power supply disruption in neutral zone however ac,[]
175,175,Aku supposedly dapat AZ first batch but sadly +covid and second batch pon tak lepas nak dapatkan slot 😭,en,[],[],[],"['Aku', 'supposedly', 'dapat', 'AZ', 'first', 'batch', 'but', 'sadly', 'covid', 'and', 'second', 'batch', 'pon', 'tak', 'lepas', 'nak', 'dapatkan', 'slot', '😭']","['sadly', 'second', 'Aku', 'slot', 'dapatkan', 'first', 'supposedly', 'dapat', '😭', 'AZ', 'tak', 'covid', 'nak', 'batch', 'pon', 'lepas']",Aku supposedly dapat AZ first batch but sadly +covid and second batch pon tak lepas nak dapatkan slot ,['😭']
176,176,Covid-19 2nd Dose Vaccination Campaign Info for Thimphu Dzongkhag.   It’s our Responsibility to Come Forward and Get Vaccinated to Save Ourself and Others.   Stay Safe 🙏 @ BMT Happiness House  https://t.co/diSPOzPTxE,en,[],['@'],['https://t.co/diSPOzPTxE'],"['Covid-19', '2nd', 'Dose', 'Vaccination', 'Campaign', 'Info', 'for', 'Thimphu', 'Dzongkhag', 'It', '’', 's', 'our', 'Responsibility', 'to', 'Come', 'Forward', 'and', 'Get', 'Vaccinated', 'to', 'Save', 'Ourself', 'and', 'Others', 'Stay', 'Safe', '🙏', 'BMT', 'Happiness', 'House', 'https', 't.co/diSPOzPTxE']","['Covid-19', 'BMT', 'Dose', 'Vaccination', 'House', 'Responsibility', '🙏', '’', '2nd', 'Happiness', 'Vaccinated', 'Others', 'Come', 'Thimphu', 'Safe', 'Dzongkhag', 'Ourself', 'Save', 'https', 'Forward', 't.co/diSPOzPTxE', 'Campaign', 'Info', 'Get', 'Stay', 'It']",Covid19 2nd Dose Vaccination Campaign Info for Thimphu Dzongkhag It’s our Responsibility to Come Forward and Get Vaccinated to Save Ourself and Others Stay Safe  @ BMT Happiness House ,['🙏']
177,177,Delhi Jamia Millia Kabristan ka scene..Last rites of recently departed #DanishSiddique  What happened to Covid guidelines??  https://t.co/NPft2WMjEy,en,['#DanishSiddique'],[],['https://t.co/NPft2WMjEy'],"['Delhi', 'Jamia', 'Millia', 'Kabristan', 'ka', 'scene', 'Last', 'rites', 'of', 'recently', 'departed', 'DanishSiddique', 'What', 'happened', 'to', 'Covid', 'guidelines', 'https', 't.co/NPft2WMjEy']","['DanishSiddique', 'recently', 'https', 'Delhi', 'Kabristan', 'What', 'scene', 'departed', 'Last', 't.co/NPft2WMjEy', 'ka', 'rites', 'Covid', 'happened', 'Jamia', 'Millia', 'guidelines']",Delhi Jamia Millia Kabristan ka sceneLast rites of recently departed What happened to Covid guidelines ,[]
178,178,"Gujarat reports 33 Covid-19 cases, 1 death, 71 recoveries.",en,[],[],[],"['Gujarat', 'reports', '33', 'Covid-19', 'cases', '1', 'death', '71', 'recoveries']","['Covid-19', 'death', 'recoveries', 'cases', '33', 'Gujarat', '71', 'reports', '1']",Gujarat reports 33 Covid19 cases 1 death 71 recoveries,[]
179,179,"Line BTWN Violence &amp; Non-violence : The Farmers, Ram Vriksh &amp; the FARIDABAD reserved forest occupier--belong to same type of PPL. In fact the farmers are more privileged by GOVT'S implied consent to exempt them from Covid protocol. They r an unhealthy example",en,[],[],[],"['Line', 'BTWN', 'Violence', 'amp', 'Non-violence', 'The', 'Farmers', 'Ram', 'Vriksh', 'amp', 'the', 'FARIDABAD', 'reserved', 'forest', 'occupier', 'belong', 'to', 'same', 'type', 'of', 'PPL', 'In', 'fact', 'the', 'farmers', 'are', 'more', 'privileged', 'by', 'GOVT', ""'S"", 'implied', 'consent', 'to', 'exempt', 'them', 'from', 'Covid', 'protocol', 'They', 'r', 'an', 'unhealthy', 'example']","['unhealthy', 'belong', 'Non-violence', 'Ram', 'They', 'exempt', 'PPL', 'implied', 'Violence', 'reserved', 'farmers', 'Line', 'protocol', 'consent', 'r', 'Vriksh', 'FARIDABAD', 'occupier', 'forest', 'example', 'fact', 'amp', 'In', 'type', 'Covid', ""'S"", 'The', 'Farmers', 'privileged', 'GOVT', 'BTWN']",Line BTWN Violence amp Nonviolence : The Farmers Ram Vriksh amp the FARIDABAD reserved forest occupierbelong to same type of PPL In fact the farmers are more privileged by GOVTS implied consent to exempt them from Covid protocol They r an unhealthy example,[]
