Username,Userhandle,Time,comments,retweets,likes,Tweet
Rajesh Saha,@RajeshS32370756,2021-07-02T02:25:31.000Z,1,1,1,3 te sit thake 38% koto boro achievement jano ??? R covid-19 jonnow 41% lok vote dayniee dilee 50% par hoto ..
Asim Maiti,@AsimMaiti15,2021-07-09T07:56:17.000Z,,,,pm Modi congratulations for taking initiatives in RAPID  vaccination against COVID 19 for RAPID Vaccnation for the helpless people of the Nation in stake and protecting the Nation from the catastrophic explains of NOVEL CORONA  VIRUS. Dr Asim Maiti from Kolkata .No LOCKDOWN pl.
Amitava Das,@iamamitavabhi,2021-07-22T00:45:36.000Z,1,,,"Hi 
@UberINSupport
 
@Uber_India
 i use 10M21V promo code for COVID-19 Vaccination but did work the promo code and i have been changed of Rs 96.63 for Trip I have attached screenshot for your reference also i am contact via uber app in help section but still no response your team"
Vishal,@vishalpatwaria,2021-07-03T04:57:41.000Z,,,,"Is that being a middle class person with a pvt. Job is a crime?
Y we are not allowed to make a pass on railwy to reach the office with ease ?
Is that our work is nt contributing in India's growth  in this difficlt Covid-19 situation ?
#piyushgoyal #railway #COVID19India #COVID19"
Nayan Basu,@NayanBasuu,2021-07-18T06:07:25.000Z,,,4,Zero deaths due to COVID-19 in Kolkata in the last 24 hours — hope this becomes the 'new normal' in the days to come. 
The Era,@TheEraVlog,2021-07-26T06:05:05.000Z,,,,"""COVID-19 in India"" #coronavirus"
Rajesh Saha,@RajeshS32370756,2021-07-07T10:29:16.000Z,,,,FROM 3 SIT'S TO 77 SIT'S ACHIEVEMENT IS 1500% ABOVE && 41% PEOPLE'S COULDN'T GAVE VOTE'S FOR COVID-19 OTHERWISE #BJP 50% PAAAR .
Tirthadeep K,@TirthadeepK,2021-07-13T08:41:59.000Z,,,,"Job openings for permanent staffers to be adversely affected due to 2nd wave of COVID-19: Survey - ET https://m.economictimes.com/jobs/job-openings-for-permanent-staffers-to-be-adversely-affected-due-to-2nd-wave-of-covid-19-survey/articleshow/84171272.cms?utm_source=twitter_pwa&utm_medium=social&utm_campaign=socialsharebuttons… via 
@economictimes"
Dr.Suman K Prusty,@sumankumarprust,2021-07-30T05:54:38.000Z,,,1,"Israel authorized the use of a booster shot of Pfizer’s Covid-19 vaccine for people aged 60 and over, after early data in the country suggested vaccine protection against severe illness has waned."
ishtiyaque ahmed,@ishtiapil,2021-07-12T19:48:06.000Z,,,1,"West Bengal reports 885 COVID-19 cases, 11 fatalities. Infection tally rises to 15,13,014, death toll 17,927. The state now has 14,531 active cases of the disease."
Susanta Das,@Susanta52294337,2021-07-01T02:50:02.000Z,,,,"Replying to 
@rashtrapatibhvn"
Susanta Das,@Susanta52294337,2021-07-01T02:49:56.000Z,,,,"Replying to 
@rashtrapatibhvn"
ANIL  LALWANI,@AnilLalwani69,2021-07-17T12:15:31.000Z,,,,"Give Rs 1 crore to each Covid 19 died in Delhi , First from Party Funds , Ask your funders to fund your this gesture."
Indranil Majumdar,@majumdarindra,2021-07-14T05:53:51.000Z,,,,Some valid points raised as to the origin of Covid-19.
Shanawaz Mohammed,@san5807,2021-07-17T09:36:57.000Z,,,,"Covid-19: No application received for Covishield approval, says EU drug regulator https://scroll.in/latest/1000429/covid-19-no-application-received-for-covishield-approval-says-eu-drug-regulator… via 
@scroll_in"
Human & Environment Alliance League,@Healplanet2016,2021-07-21T11:08:17.000Z,,1,3,"Our President 
@sarkar_arka
 in conversation with Ms. Richa Aniruddh, India Ahead News on World Environment Day, 2021. He spoke about the conservation work done by HEAL & the impact of Covid 19 in Sundarbans [the main interview starts at 20:46 min]"
pritammukherjee,@pmukherjee68,2021-07-16T18:49:12.000Z,,,,"Replying to 
@pmukherjee68
 
@PMOIndia
 and 4 others"
Abhishek chourasia,@abhi_220200,2021-07-09T14:19:04.000Z,,,4,"I will lead the charge in curbing the spread of COVID-19 in India. I pledge to be a #YoungWarrior! 

@HQ_DG_NCC
 
@nccwbskm
 
@UNICEFIndia
 
@YuWaahIndia"
Bhaskar Basu,@bhaskarnews4,2021-07-12T13:29:02.000Z,,,3,"The #NEETUG2021 will be held on 12th September 2021 across the country following COVID-19 protocols. The application process will begin from 5 pm tomorrow through the 
@DG_NTA
 website.  


@BanglaRepublic
 
@mayukhrghosh"
Asish,@ProfessorBose,2021-07-30T07:18:54.000Z,,,1,"@SonuSood
 Happy Birthday! Thank you for proving to a country full of youngsters that with the right mindset and a strong determination, a person can become as powerful and productive as a government. To a large number of us, you’re our best response to Covid 19. Lots of hugs! "
Joyjeet Paul,@johnypaul12,2021-07-16T11:24:20.000Z,,,,"FDA-authorized mRNA COVID-19 vaccines, BNT162b2 (Pfizer) and mRNA-1273 (Moderna), have demonstrated high efficacies in large Phase 3 randomized clinical trials. It is important to assess their effectiveness in a real-world setting. https://cell.com/med/fulltext/S2666-6340(21)00238-5… https://cell.com/med/fulltext/S2666-6340(21)00238-5#relatedArticles…"
Dr.Sujib Kar,@SujibDr,2021-07-01T19:50:26.000Z,,,,"Replying to 
@MamataOfficial"
Czarsportz - Global Associate Cricket World,@Emerging_94,2021-07-29T20:00:33.000Z,,2,5,"Very unfortunate for 
@Cricket_Espana
 to have withdrawn due to COVID-19 pandemic related factors, with the event now effectively a Tri-series between 
@norskcricket
 , 
@francecricket
 and the host's, #GER"
Shanawaz Mohammed,@san5807,2021-07-17T09:40:28.000Z,,,,"@seruminstindia
 CEO 
@adarpoonawalla
 playing with the innocent citizens of india. Covid-19: No application received for Covishield approval, says EU drug regulator https://scroll.in/latest/1000429/covid-19-no-application-received-for-covishield-approval-says-eu-drug-regulator… via 
@scroll_in"
Dr.Sujib Kar,@SujibDr,2021-07-01T20:02:07.000Z,,,,"Replying to 
@narendramodi"
Ashim Kumar Ghosh,@AshimKu91990763,2021-07-21T15:02:23.000Z,,,,"Replying to 
@narendramodi
 and 
@mansukhmandviya"
Anwesha,@Anwesha2019,2021-07-17T12:11:25.000Z,,,,"Replying to 
@saketjaiswal_sj
 
@rakhitripathi
 and 
@narendramodi"
Joyjeet Paul,@johnypaul12,2021-07-13T07:47:01.000Z,,,,"J&J’s Covid-19 vaccine may trigger neurological condition in rare cases, FDA says.Reports says inoculations and Guillain-Barré syndrome, a form of progressive paralysis that is generally reversible, the FDA said in a statement. https://statnews.com/2021/07/12/jjs-covid-19-vaccine-may-trigger-neurological-condition-in-rare-cases-fda-says/… via 
@statnews
 #DHPSP #health"
Debraj Majumdar,@debraj_m,2021-07-03T05:00:59.000Z,,,2,"Proud of Bharat Biotech for Covaxin - Made in India Vaccine with unparalleled Safety from Covid’19... Jai Hind thank you 
@narendramodi
 ji... Its all your encouragement... Special thanks to all the members of 
@BharatBiotech
... Your enormous efforts made us safe "
Shailesh,@skvn10,2021-07-21T11:36:19.000Z,,,,"Replying to 
@RahulGandhi"
Sayan Dey,@sayan_dey,2021-07-16T15:23:52.000Z,,,,"Replying to 
@movementEB
 
@sc_eastbengal
 and 9 others"
Abesh Bhar আবেশ ভড়,@abeshbhar2015,2021-07-27T13:23:18.000Z,,,,"Replying to 
@abeshbhar2015
 
@digvijaay46
 and 3 others"
Nick Adams,@NickAdamsinUSA,2021-07-30T23:41:29.000Z,61,489,1.8K,BREAKING NEWS: Anyone who is still afraid of COVID-19 has the right to stay home while wearing a mask and being vaccinated.
Meaghan Kall,@kallmemeg,2021-07-30T23:49:14.000Z,32,81,307,"It’s astonishing that after only 18 months the UK has reached a place where

 — whether through success or folly or combination of the two — 

9 out of 10 adults have COVID-19 antibodies and herd immunity is a tangible possibility. 
#VaccinesWork "
"FNU College of Medicine, Nursing and Health Sci",@FNUFijiMedical,2021-07-30T23:39:34.000Z,1,4,17,"EXPLAIN THE SCIENCE 12

This is the 12th in our series of “EXPLAIN THE SCIENCE” panel discussions.

This panel is intended to address the many concerns that are being raised about pregnancy and breastfeeding, in relation to COVID-19 and vaccination."
Greg Fish,@GregAFish,2021-07-30T23:53:48.000Z,4,37,42,Translation: one COVID-19 Delta infection becomes eight or nine left unchecked. That’s four times worse than the Spanish Flu and nearly twice as bad as smallpox. Run the numbers on the worst case scenario for unvaccinated Americans in six months and the result is utter carnage.
CNN,@CNN,2021-07-30T23:54:39.000Z,88,148,725,"As the US faces a surge in Covid-19 cases, Disney and Walmart have moved to require certain employees be vaccinated"
Robson Fletcher,@CBCFletch,2021-07-30T23:52:32.000Z,4,28,63,"Bleep blop this is Robson's bot with the latest COVID-19 data for Alberta:
    
• 199 new cases yesterday. (This may vary from the adjusted 'net' new cases. More on why here: https://cbc.ca/news/canada/calgary/alberta-covid-19-data-statistics-numbers-cases-hospitalizations-1.5514947…)
• 1655 active
• 90 in hospital w/19 in ICU
• Total deaths up 3 to 2328"
春 ねむり HARU NEMURI,@haru_nemuri,2021-07-30T23:38:45.000Z,,7,108,"Tokyo reported more 3000 new COVID-19 cases daily in recent days

The governor of Tokyo said : “Think a house lived alone as a sickbed”
The prime minister of Japan said : “I don’t have anything to talk”

Why do I need to be worried about my tour schedule due to their stupidness??"
Cleavon MD ,@Cleavon_MD,2021-07-30T23:32:49.000Z,2,17,59,"During July 2021, 469 cases of COVID-19 associated with multiple summer events and large public gatherings in a town in Barnstable County, Massachusetts, were identified among Massachusetts residents; vaccination coverage among eligible Massachusetts residents was 69%. 2/15"
𝕆𝕟𝕖 𝕋𝕚𝕣𝕖𝕕 𝕄𝕒𝕞𝕒,@onetiredmama98,2021-07-30T23:38:41.000Z,6,44,191,"Yes, you can still get/carry covid-19 even if vaccinated, but you are way less likely to have severe symptoms from the virus if you have the vaccine. This has literally been said since this started so idky everyone is acting surprised and being ""haha"" 

"
Dr. Theresa Tam,@CPHO_Canada,2021-07-30T23:58:20.000Z,14,22,42,"NEW – For the latest detailed #epidemiology of #COVID19 in Canada with highlights, trends and analysis see #PHAC’s COVID-19 WEEKLY EPIDEMIOLOGY REPORT for July 18-24, 2021 https://canada.ca/content/dam/phac-aspc/documents/services/diseases/2019-novel-coronavirus-infection/surv-covid19-weekly-epi-update-20210730-en.pdf…"
KB,@halftwottered,2021-07-30T23:58:52.000Z,25,57,277,"I watch very little TV but it just told me again that covid-19 only affects the unvaccinated.

It was from a government run channel (RTE) that recently spent millions on an all platform ""you can trust us"" PR campaign.

Is there any point complaining about this obvious lie?"
"Yael Moussadji, MD, FRCPC",@erdocmom,2021-07-30T23:47:50.000Z,6,83,418,"I cannot imagine that there is a single public health physician in the world who would condone 
@CMOH_Alberta
’s approach to decreased testing and allowing those with COVID-19 to move freely within the community. Three months. That’s likely all we would need to immunize our kids."
Nepean Blue Mts LHD,@NBMLHD,2021-07-30T23:35:37.000Z,2,8,5,"Venue in Penrith has been visited by a confirmed case of COVID 19. Anyone who attended Officeworks, 273 High Street Penrith on Mon 26 July 12pm-5pm is a casual contact who must immediately get tested and isolate until a negative result is received. 1/2"
David Charns,@davidcharns,2021-07-30T23:26:23.000Z,34,97,381,"#BREAKING: Starting Aug. 15, unvaccinated Nevada state employees will be required to test for COVID-19 every week. #8NN"
The Associated Press,@AP,2021-07-30T23:51:04.000Z,47,224,451,"Two leading obstetricians’ groups are recommending COVID-19 shots for all pregnant women, citing concerns over rising cases and low vaccination rates."
UArizona Sarver Heart Center,@UAZHeart,2021-07-30T23:27:29.000Z,,7,15,"Vaxed up to protect patients. Will you do your part? Read about COVID-19 and heart patients plus recommendations on vaccinations and when to mask up. Read more in our e-newsletter:
https://conta.cc/3zTbwm5"
Jeff Slack,@Jeffslack660,2021-07-30T23:57:54.000Z,1,13,6,"Latest COVID-19 numbers for Alberta:

- 187 new cases
- 1,655 active cases
- 8,285 tests competed (PR: 2.2 per cent)
- Three new deaths
- 90 in hospital, 20 in the ICU"
Princeton Mutual Aid,@PrincetonAid,2021-07-30T23:32:48.000Z,,2,5,"FREE COVID-19 Vaccine Clinics in Princeton and Mercer County

All of these locations are ready for walk ins – no appointments needed! You can be vaccinated regardless of your health insurance status or citizenship! 

Let's keep our communities safe this summer "
Chase Thomason,@ChaseThomason,2021-07-30T23:48:27.000Z,16,22,104,My mom manages a COVID-19 floor at a Salt Lake County hospital. She only had two covid patients a month ago. She now has over 20. 
ABS-CBN News,@ABSCBNNews,2021-07-30T23:46:07.000Z,3,18,43,"Friday's additional COVID-19 infections highest in more than 2 months; Metro Manila to return to ECQ

DAY 504. Here are the stories you need to watch out for today, July 31, 2021, amid the #COVID19 pandemic:"
AFP News Agency,@AFP,2021-07-30T23:44:00.000Z,2,60,56,"Hundreds of thousands of people in China are in lockdown as the country battles its worst Covid-19 outbreak in months, while Japan -- a week into the Olympics -- extended its state of emergency due to surging infections http://u.afp.com/UR6S"
CNN,@CNN,2021-07-30T23:35:32.000Z,72,206,318,A children's hospital in Louisiana is experiencing a wave of Covid-19 hospitalizations as the Delta variant pervades the region
Crikey,@crikey_news,2021-07-30T23:35:04.000Z,2,32,50,"The PM has continued to lie about issues relating to the COVID-19 vaccine rollout. We're tracking his lies – going all the way back to 2019. See them all here 
#auspol #scottmorrison #scomo #covid19nsw #sydneylockdown 
https://crikey.com.au/dossier-of-lies-and-falsehoods/…"
