,words,scores
464,higher,12
465,mental,12
466,listen,12
467,covishield,12
468,national,12
469,infrastructure,12
470,count,12
471,credit,12
472,rtpcr,12
473,youre,12
474,prevent,12
475,jai,12
476,currently,12
477,authority,12
478,arrange,12
479,quarantine,12
480,minor,12
481,impact,12
482,response,12
483,ad,12
484,strictly,12
485,complex,12
486,shop,12
487,related,12
488,attack,12
489,touch,12
490,hand,12
491,urge,12
492,healthy,12
493,stand,12
494,thousand,12
495,chief,12
496,border,12
497,cdc,12
498,fail,12
499,muslim,12
500,phase,12
501,expert,12
502,usually,12
503,retweet,12
504,johnson,12
505,amidst,11
506,put,11
507,detail,11
508,bring,11
509,future,11
510,college,11
511,recently,11
512,left,11
513,collect,11
514,shut,11
515,charge,11
516,form,11
517,return,11
518,flight,11
519,lab,11
520,suspend,11
521,keep,11
522,rest,11
523,tweet,11
524,behaviour,11
525,financial,11
526,outside,11
527,food,11
528,inform,11
529,failure,11
530,street,11
531,war,11
532,honourable,11
533,pas,11
534,clear,11
535,essential,11
536,pass,11
537,ill,11
538,immediate,11
539,fire,11
540,direct,11
541,member,11
542,spend,11
543,photo,11
544,court,11
545,forget,11
546,ramadan,11
547,link,11
548,list,11
549,shah,11
550,resource,11
551,imam,11
552,nasser,11
553,alyemeni,11
554,rajab,11
555,karnataka,11
556,chor,11
557,cbse,11
558,approve,11
559,ground,11
560,capacity,11
561,park,11
562,socialdistancing,11
563,document,11
564,speak,11
565,civilian,11
566,teacher,10
567,survive,10
568,tough,10
569,shift,10
570,card,10
571,here,10
572,restaurant,10
573,so,10
574,comment,10
575,aware,10
576,examination,10
577,book,10
578,told,10
579,defeat,10
580,green,10
581,word,10
582,management,10
583,cross,10
584,severe,10
585,actually,10
586,happy,10
587,individual,10
588,lucknow,10
589,carry,10
590,join,10
591,loss,10
592,learn,10
593,sputnik,10
594,late,10
595,economic,10
596,usa,10
597,narendra,10
598,effective,10
599,railway,10
600,develop,10
601,declare,10
602,hindu,10
603,mind,10
604,benefit,10
605,civil,10
606,bus,10
607,inspite,10
608,fund,10
609,feb,10
610,relative,10
611,raid,10
612,game,10
613,middle,10
614,consider,10
615,pharmaceutical,10
616,administration,9
617,opening,9
618,fully,9
619,option,9
620,fever,9
621,deadly,9
622,helpline,9
623,enter,9
624,everyday,9
625,twitter,9
626,passenger,9
627,period,9
628,pic,9
629,mention,9
630,hind,9
631,held,9
632,child,9
633,violate,9
634,key,9
635,film,9
636,trial,9
637,remove,9
638,fake,9
639,hello,9
640,wonder,9
641,limited,9
642,scar,9
643,little,9
644,punjab,9
645,contain,9
646,guide,9
647,pharma,9
648,nature,9
649,afraid,9
650,earn,9
651,extremely,9
652,modiji,9
653,suggestion,9
654,base,9
655,migrant,9
656,virtually,9
657,eye,9
658,mom,9
659,guy,9
660,earth,9
661,hain,9
662,drop,9
663,couldnt,9
664,air,9
665,relief,9
666,collapse,9
667,brother,9
668,resident,9
669,difficult,9
670,sant,9
671,battle,9
672,kumar,9
673,location,9
674,hey,9
675,kanpur,9
676,useful,9
677,asap,9
678,town,9
679,peak,9
680,movement,9
681,stage,9
682,upto,9
683,nhi,9
684,appeal,9
685,growth,9
686,standard,9
687,present,9
688,crematorium,9
689,american,9
690,expose,8
691,pathetic,8
692,personal,8
693,nahi,8
694,task,8
695,chance,8
696,immune,8
697,leadership,8
698,small,8
699,past,8
700,minute,8
701,availability,8
702,metro,8
703,prescribed,8
704,responsibility,8
705,payment,8
706,remember,8
707,organise,8
708,eligible,8
709,zero,8
710,jab,8
711,trump,8
712,young,8
713,saw,8
714,gon,8
715,biden,8
716,norm,8
717,yr,8
718,covaxin,8
719,necessary,8
720,sad,8
721,leave,8
722,activity,8
723,registration,8
724,launch,8
725,manage,8
726,discharge,8
727,manufacturing,8
728,proud,8
729,useless,8
730,president,8
731,needy,8
732,bharat,8
733,commissioner,8
734,totally,8
735,agree,8
736,whats,8
737,positivity,8
738,different,8
739,diabetes,8
740,isolation,8
741,theyre,8
742,lift,8
743,aur,8
744,pause,8
745,badly,8
746,pm,8
747,sab,8
748,seat,8
749,scientist,8
750,picture,8
751,focus,8
752,disaster,8
753,whatsapp,8
754,finally,8
755,half,8
756,speed,8
757,yogi,8
758,notice,8
759,water,8
760,marketing,8
761,filter,8
762,block,8
763,ji,8
764,khan,8
765,logic,8
766,draw,8
767,car,8
768,congress,8
769,assembly,8
770,asharamji,8
771,bapu,8
772,platform,8
773,junta,8
774,nug,8
775,diagnose,7
776,self,7
777,development,7
778,properly,7
779,search,7
780,answer,7
781,wuhan,7
782,produce,7
783,curb,7
784,advice,7
785,story,7
786,non,7
787,ive,7
788,attend,7
789,nearly,7
790,union,7
791,appreciate,7
792,marriage,7
793,plus,7
794,happiness,7
795,peace,7
796,cancellation,7
797,ministry,7
798,arent,7
799,stadium,7
800,early,7
801,type,7
802,apply,7
803,south,7
804,paid,7
805,status,7
806,discus,7
807,certificate,7
808,seriously,7
809,absolutely,7
810,beat,7
811,bihar,7
812,clinical,7
813,unnecessary,7
814,likely,7
815,delay,7
816,pfizer,7
817,concern,7
818,digital,7
819,wedding,7
820,connect,7
821,nagar,7
822,decide,7
823,ahead,7
824,delivery,7
825,camp,7
826,push,7
827,namo,7
828,site,7
829,holy,7
830,simply,7
831,sorry,7
832,suppose,7
833,uncle,7
834,hon,7
835,son,7
836,mubarak,7
837,mela,7
838,clot,7
839,kar,7
840,governor,7
841,russian,7
842,coach,7
843,bank,7
844,rahul,7
845,max,7
846,head,7
847,decrease,7
848,pain,7
849,extra,7
850,gandhi,7
851,idea,7
852,convert,7
853,tha,7
854,prescription,7
855,limit,7
856,score,7
857,donor,7
858,longer,7
859,battling,7
860,heal,7
861,sit,7
862,log,7
863,cell,7
864,politics,7
865,appropriate,7
866,june,7
867,dis,7
868,nautankibaaz,7
869,hitler,7
870,lower,7
871,ram,7
872,madam,7
873,institute,7
874,arrest,7
875,servantsplumberspolicemenampetc,7
876,poorampneedy,7
877,quest,7
878,wage,7
879,claim,7
880,imposes,7
881,station,7
882,sai,7
883,acute,7
884,aark,7
885,floor,7
886,uphar,7
887,ext,7
888,pradesh,7
889,space,7
890,condolence,7
891,internet,7
892,disabled,7
893,wifi,7
894,wireless,7
895,broadband,7
896,terrorist,7
897,ceo,6
898,immediately,6
899,teach,6
900,special,6
901,hard,6
902,temporarily,6
903,rapidly,6
904,worry,6
905,thankful,6
906,route,6
907,honorable,6
908,brazil,6
909,explain,6
910,transmission,6
911,boy,6
912,entry,6
913,fool,6
914,write,6
915,shoot,6
916,shock,6
917,trailer,6
918,youll,6
919,pressure,6
920,dy,6
921,movie,6
922,sake,6
923,law,6
924,specially,6
925,ride,6
926,inside,6
927,procure,6
928,hype,6
929,lung,6
930,land,6
931,term,6
932,damage,6
933,voter,6
934,commission,6
935,north,6
936,institution,6
937,lock,6
938,channel,6
939,distribute,6
940,motivate,6
