,words,scores
464,prime,12
465,channel,12
466,word,12
467,sunday,12
468,period,12
469,tomorrow,12
470,morning,12
471,actual,12
472,despite,12
473,injection,12
474,shortage,12
475,ventilator,12
476,appointment,12
477,fee,12
478,peace,12
479,rice,12
480,namo,12
481,guide,12
482,usa,12
483,condition,11
484,direct,11
485,pray,11
486,completely,11
487,nagar,11
488,origin,11
489,there,11
490,innocent,11
491,saturday,11
492,cluster,11
493,move,11
494,current,11
495,appropriate,11
496,sure,11
497,write,11
498,reality,11
499,instead,11
500,capacity,11
501,offer,11
502,door,11
503,lung,11
504,central,11
505,higher,11
506,talk,11
507,register,11
508,prevent,11
509,campaign,11
510,aid,11
511,jun,11
512,planning,11
513,fill,11
514,ground,11
515,violation,11
516,act,11
517,focus,11
518,guy,11
519,response,11
520,duty,11
521,ago,11
522,mass,11
523,adult,11
524,role,11
525,brother,11
526,eat,11
527,needy,11
528,frontline,11
529,march,11
530,bless,11
531,oil,11
532,sport,11
533,dy,11
534,half,11
535,living,11
536,bangladesh,11
537,accord,10
538,official,10
539,doesnt,10
540,congratulation,10
541,contract,10
542,outbreak,10
543,protection,10
544,unlock,10
545,clear,10
546,chennai,10
547,donation,10
548,confirm,10
549,download,10
550,ready,10
551,low,10
552,husband,10
553,whats,10
554,beat,10
555,bulletin,10
556,production,10
557,billion,10
558,toll,10
559,yesterday,10
560,blood,10
561,guwahati,10
562,couldnt,10
563,fine,10
564,positivity,10
565,icmr,10
566,message,10
567,card,10
568,serve,10
569,information,10
570,deal,10
571,general,10
572,timing,10
573,april,10
574,implement,10
575,manage,10
576,launch,10
577,press,10
578,leadership,10
579,failure,10
580,salute,10
581,form,10
582,game,10
583,experience,10
584,refer,10
585,sprinter,10
586,audit,10
587,notice,9
588,humanity,9
589,coffee,9
590,responsibility,9
591,wuhan,9
592,amid,9
593,probe,9
594,r,9
595,division,9
596,kashmir,9
597,fatality,9
598,scientist,9
599,doubt,9
600,damage,9
601,crowd,9
602,worldwide,9
603,join,9
604,critical,9
605,cure,9
606,late,9
607,united,9
608,baby,9
609,break,9
610,precious,9
611,trust,9
612,light,9
613,regular,9
614,view,9
615,award,9
616,dangerous,9
617,earlier,9
618,thought,9
619,highest,9
620,tourist,9
621,near,9
622,meal,9
623,restaurant,9
624,major,9
625,conduct,9
626,surge,9
627,successfully,9
628,tribal,9
629,emergency,9
630,vehicle,9
631,maintain,9
632,train,9
633,authority,9
634,point,9
635,festival,9
636,flower,9
637,passport,9
638,opening,9
639,secretary,9
640,source,9
641,rip,9
642,stupid,9
643,malaysia,9
644,key,9
645,sister,9
646,wish,9
647,development,9
648,success,9
649,foundation,9
650,tweet,9
651,mata,9
652,captain,9
653,admit,9
654,salary,9
655,platform,9
656,local,9
657,nearly,9
658,leak,9
659,orphan,9
660,organize,9
661,interest,9
662,council,9
663,recent,9
664,src,9
665,olympic,9
666,incredible,9
667,scam,9
668,sector,8
669,hello,8
670,hell,8
671,attack,8
672,compare,8
673,deep,8
674,lanka,8
675,rtpcr,8
676,novel,8
677,pregnant,8
678,similar,8
679,totally,8
680,blame,8
681,mistake,8
682,nature,8
683,union,8
684,daughter,8
685,hear,8
686,read,8
687,ministry,8
688,natural,8
689,list,8
690,express,8
691,history,8
692,firm,8
693,prove,8
694,destination,8
695,sonu,8
696,labour,8
697,hero,8
698,air,8
699,court,8
700,challenge,8
701,tough,8
702,force,8
703,victim,8
704,chief,8
705,metro,8
706,simple,8
707,enter,8
708,club,8
709,park,8
710,track,8
711,department,8
712,document,8
713,affect,8
714,wrong,8
715,concerned,8
716,shall,8
717,bear,8
718,hundred,8
719,option,8
720,youth,8
721,town,8
722,extension,8
723,left,8
724,wont,8
725,difference,8
726,upto,8
727,suggest,8
728,ppl,8
729,ind,8
730,return,8
731,send,8
732,gratitude,8
733,registration,8
734,rahul,8
735,railway,8
736,dedicate,8
737,atleast,8
738,definitely,8
739,defeat,8
740,kya,8
741,combat,8
742,zoo,8
743,villager,8
744,bank,8
745,pic,8
746,shimla,8
747,marketing,8
748,ward,8
749,initiative,8
750,mental,8
751,quote,8
752,prepare,8
753,urge,8
754,mandatory,8
755,item,8
756,successful,8
757,portal,8
758,strengthen,8
759,dry,8
760,cylinder,8
761,youtube,8
762,tech,8
763,strong,7
764,statistic,7
765,young,7
766,ill,7
767,uttar,7
768,being,7
769,ambulance,7
770,modiji,7
771,law,7
772,globally,7
773,witness,7
774,tally,7
775,latest,7
776,handle,7
777,lock,7
778,brand,7
779,search,7
780,proof,7
781,zone,7
782,jampk,7
783,immunity,7
784,necessary,7
785,click,7
786,hat,7
787,leave,7
788,currently,7
789,animal,7
790,friday,7
791,claim,7
792,immediately,7
793,auto,7
794,non,7
795,improves,7
796,accept,7
797,educational,7
798,highly,7
799,implementation,7
800,expose,7
801,observe,7
802,maharashtra,7
803,export,7
804,constituency,7
805,properly,7
806,sorry,7
807,rural,7
808,approve,7
809,forest,7
810,pcr,7
811,type,7
812,probably,7
813,university,7
814,committee,7
815,add,7
816,goa,7
817,permission,7
818,fire,7
819,enforce,7
820,decrease,7
821,beautiful,7
822,telangana,7
823,learn,7
824,walk,7
825,apply,7
826,visa,7
827,movement,7
828,middle,7
829,avoid,7
830,biggest,7
831,oman,7
832,seat,7
833,occupancy,7
834,sewa,7
835,administers,7
836,safely,7
837,image,7
838,boost,7
839,asap,7
840,research,7
841,version,7
842,schedule,7
843,likely,7
844,governance,7
845,arm,7
846,fact,7
847,recently,7
848,vial,7
849,program,7
850,hesitancy,7
851,limit,7
852,appreciation,7
853,put,7
854,product,7
855,honble,7
856,shame,7
857,contribution,7
858,doc,7
859,battling,7
860,epidemic,7
861,preparation,7
862,little,7
863,lion,7
864,kaur,7
865,aap,7
866,opportunity,7
867,strategy,7
868,honourable,7
869,birthday,7
870,mla,7
871,airline,7
872,shock,7
873,graph,7
874,wake,7
875,excite,7
876,era,7
877,whatsapp,7
878,equipment,7
879,finance,7
880,legendary,7
881,spirit,7
882,overcome,7
883,carry,7
884,uncertainty,7
885,fuel,7
886,max,7
887,knew,7
888,bro,7
889,sanitizer,7
890,yearold,7
891,detailed,7
892,cheat,7
893,organization,6
894,dream,6
895,allah,6
896,training,6
897,worry,6
898,kanpur,6
899,surat,6
900,found,6
901,fauci,6
902,financial,6
903,forward,6
904,advise,6
905,undergo,6
906,sleep,6
907,valuable,6
908,average,6
909,account,6
910,earn,6
911,note,6
912,bigger,6
913,goon,6
914,produce,6
915,estimate,6
916,govts,6
917,educate,6
918,course,6
919,bcoz,6
920,discover,6
921,mam,6
922,odisha,6
923,construction,6
924,decade,6
925,push,6
926,flat,6
927,chance,6
928,flood,6
929,temple,6
930,fungus,6
931,violator,6
932,log,6
933,double,6
934,eye,6
935,expect,6
936,thailand,6
937,page,6
938,result,6
939,hunger,6
940,ignore,6
941,joke,6
942,here,6
943,efficacy,6
944,tour,6
945,cycle,6
946,introduce,6
947,bhi,6
948,largest,6
949,owner,6
950,struggle,6
951,broke,6
952,partner,6
953,proper,6
954,candidate,6
955,norm,6
956,arrest,6
957,bombay,6
958,transport,6
959,vegetable,6
960,limited,6
961,entry,6
962,violate,6
963,stock,6
964,infrastructure,6
965,spike,6
966,function,6
967,havent,6
968,advice,6
969,extends,6
970,precaution,6
971,field,6
972,customer,6
973,delighted,6
974,da,6
975,electricity,6
976,large,6
977,waste,6
978,grand,6
979,politician,6
980,unlike,6
981,onlywhen,6
982,mention,6
983,yadav,6
984,sit,6
985,urban,6
986,finally,6
987,institute,6
988,organise,6
989,blessing,6
990,voice,6
991,repeat,6
992,helpless,6
993,invite,6
994,inspire,6
995,gdp,6
996,petrol,6
997,volleyball,6
998,subscribe,6
999,kumar,6
1000,welcome,6
1001,severe,6
1002,seriously,6
1003,host,6
1004,lioness,6
1005,expire,6
1006,score,6
1007,slowly,6
1008,ive,6
1009,professional,6
1010,strain,6
1011,steroid,6
1012,hospitality,6
1013,hospitalisation,6
1014,reduction,6
1015,september,6
1016,sale,6
1017,gujarat,6
1018,chadwick,6
1019,postcovid,6
1020,river,6
1021,passing,6
1022,interview,6
1023,investigation,6
1024,anymore,6
1025,sign,6
1026,absolutely,6
1027,badly,6
1028,procure,6
1029,zeeshan,6
1030,asks,6
1031,mamata,6
1032,snapshot,6
1033,relevant,6
1034,acknowledges,6
1035,physical,5
1036,session,5
1037,continuously,5
1038,bardoli,5
1039,terrorist,5
1040,especially,5
1041,board,5
1042,scar,5
1043,yogi,5
1044,cover,5
1045,destroyed,5
1046,muslim,5
1047,vote,5
1048,appear,5
1049,fuck,5
1050,defense,5
1051,mutation,5
1052,unable,5
1053,heavy,5
1054,head,5
1055,mulund,5
1056,anti,5
1057,status,5
1058,hold,5
1059,rally,5
1060,cooperation,5
1061,earth,5
1062,lowest,5
1063,environment,5
1064,space,5
1065,recognise,5
1066,respiratory,5
1067,kept,5
1068,possibility,5
1069,lower,5
1070,ahead,5
1071,cleanliness,5
1072,story,5
1073,budget,5
1074,goi,5
1075,legend,5
1076,sputnik,5
1077,manufacturer,5
1078,bapu,5
1079,army,5
1080,taiwan,5
1081,threat,5
1082,mount,5
1083,count,5
1084,lac,5
1085,pvt,5
1086,sood,5
1087,preservation,5
1088,healthcare,5
1089,relax,5
1090,illegal,5
1091,institution,5
1092,stats,5
1093,equal,5
1094,contain,5
1095,realise,5
1096,project,5
1097,amaze,5
1098,task,5
1099,ratio,5
1100,cross,5
1101,warn,5
1102,slow,5
1103,poison,5
1104,culprit,5
1105,present,5
1106,asia,5
