,created_at,username,tweet,language,replies_count,retweets_count,likes_count
171,2021-07-19 01:57:30 India Standard Time,gibbokok,Let's be careful out there...  #COVID19 #Covid19UK #Covid_19 #COVIDVaccination #Bangkok  #COVIDisAirborne  https://t.co/3w8Gyci0XX,en,0,0,0
175,2021-07-19 01:13:43 India Standard Time,imdps_,#Casualty and #COVID19 is a never ending love story.,en,0,0,4
176,2021-07-19 01:03:57 India Standard Time,maria_hunzai,Seems like #GilgitBaltistan gov is still not serious about the #COVID19 4th wave. Kar lo tourism logon k sehat k sath khel k. All of us know there is hardly any check system in place &amp; no one is bothered tbh.  https://t.co/3x2620yNln,en,1,2,16
180,2021-07-19 00:57:09 India Standard Time,mindkrraft,"""COVID-19: Updates for the US"" #covid19  https://t.co/QCapGqCrm8",en,0,0,0
186,2021-07-19 00:13:38 India Standard Time,sec_thoddoo,✳️ COVID-19 Live Updates: 18/07/2021  @thoddoo_hc  https://t.co/Vlfc6MoIPk,en,0,0,0
187,2021-07-19 00:12:58 India Standard Time,___manish___05,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp #stayaway #everyone if you #love him or her,en,0,0,0
195,2021-07-18 23:27:57 India Standard Time,drmurukadas,18.07.2021 In India #Covid_19 +ve cases surged fastly to414554 during 2nd wave.Then stared falling&amp; in last24hrs rise in fresh cases i41157-slightly higher than y'day 38079. Total cases so far is 31143563;recovery- 30269796(97.31%);fatalities- 413609(1.33%)&amp;active- 422660(1.39%).,en,0,0,1
201,2021-07-18 23:00:25 India Standard Time,paritush_assam,"#COVID19 Summary of Assam on 18/07/2021 Positive (1329 cases out of 71,546 test) =1.86% Kamrup(M)179 Death -15 Recovery rate- 95.83% #CoronavirusIndia",en,0,1,0
206,2021-07-18 22:41:09 India Standard Time,rmantha2,"Medical doctors are heroes,just like jawans protecting our borders. But that does not mean public policy on vaccines or public health can be made by them,in the same way that diplomacy and war plans are made by policy experts and not jawans. It is folly to do otherwise. #COVID19",en,0,1,10
207,2021-07-18 22:36:26 India Standard Time,drmurukadas,"17.07.2021 Today,TamilNadu witnessed further dip in fresh #Covid_19 +ve cases(2205);fatalities stood at 43.Chennai recorded fewer cases-137; marginal dip in Kovai-241. Total cases in TN is2533323; in Chennai- 536039. Total discharged- 2471038;fatalities-33695&amp; active cases-28590",en,0,0,1
208,2021-07-18 22:34:11 India Standard Time,neelnayan7,#Big_Question The slow pace of vaccination has welcomed the third wave of the Covid-19. The government should discharge its responsibilities.  https://t.co/SUpWeyJzwV,en,0,0,1
214,2021-07-18 22:15:38 India Standard Time,abhishekiaf1,"@DefenceMinIndia @Prodef_blr @Voesm1 @adgpi Being an ex service man I need to get vaccinated for COVID-19. No info on vaccination from ECHS Jalahalli, Bengaluru. No slots available on cowin. Please help.",en,0,0,0
216,2021-07-18 22:08:40 India Standard Time,jayanta13998620,"60 new locally transmitted COVID-19 cases in Singapore, Chong Boon market closed for 2 weeks  https://t.co/G7KawdOrRw",en,0,0,0
217,2021-07-18 22:04:57 India Standard Time,smgrajgarhalwar,#DeraSachaSauda NGO created an online help centre for #COVID19. Many people has got benefit from the same.  #DSSCovidHelp #CovidWelfareByVolunteers  #SaluteToCoronaWarriors #CoronaWarriors #DeraSachaSauda #SaintDrMSG #SaintDrGurmeetRamRahimSinghJi  https://t.co/FEx7BA1EVK,en,0,0,0
237,2021-07-23 03:46:29 India Standard Time,doc_storyteller,My Mami gifted me a Pulse Oximeter - that's Today's version of saying - Take care - I love you. Rishta Vahi Soch Nayi #medtwitter  #medmeme  #COVID19 #COVID19India  https://t.co/8jVEcoD42B,en,0,0,2
242,2021-07-23 01:20:47 India Standard Time,jeffreysoh,Self-Quarantine Procedures for COVID-19 at Home #Covid_19 #Thailand  https://t.co/MZ4uEPbiMJ,en,0,0,0
244,2021-07-23 00:43:00 India Standard Time,xoognation,Heard COVID-19 in the US making a comeback..damn…sucks for y’all,en,0,0,1
245,2021-07-23 00:34:56 India Standard Time,brik2020,@SpokespersonCHN Covid-19 was already widespread in the USA long before Dec 2019 . In USA the Covid 19 was mistakenly thought to be the common influenza which went undetected during 2019.,en,1,0,0
247,2021-07-23 00:31:08 India Standard Time,_rodahidup,162 new locally transmitted COVID-19 cases in Singapore; Boon Lay Place Food Village closed after 7 infections found   https://t.co/gIvzXu4HY2,en,0,0,1
248,2021-07-23 00:21:04 India Standard Time,a_m_wegner,Four reasons why even those lucky enough to have been vaccinated should consider masking up again. #GlobalHealth #PublicHealth #COVID19 @KatherineJWu  https://t.co/F8sx8FM5OI,en,0,0,0
262,2021-07-24 02:34:01 India Standard Time,hr_mancalar,"Hello everybody , are okey ? 😆   #COVID19 #2021年自分が選ぶ今年上半期の4枚 #malaysiabebascovid19  https://t.co/uLHfVrpWGa",en,0,0,0
266,2021-07-24 01:19:22 India Standard Time,dsbvirtualworld,@DadaSahebPhalkeIconAwardFilms - DPIAF   Present Covid 19 Yodha Award Supported by @MaharashtraBazaarPeth  &amp; Virtual Partner @dsbVirtualWorld Private Limited  https://t.co/AyfFUMEupN,en,0,0,0
267,2021-07-26 05:12:52 India Standard Time,werenphan2008,"Hang in there, we will be ok #1million #kitajagakita #涂鸦本色 #storm #COVID19  https://t.co/efiMMZo10x",en,0,2,3
280,2021-07-26 03:16:14 India Standard Time,raghu_swag,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp #COVISHIELD #CovishieldVaccine   #ThalaAjith #Valimai,en,0,0,0
281,2021-07-26 02:42:59 India Standard Time,suhanmia10,Market is an arrangement to provide an opportunity to exchange goods!  Marketing is sum total of all those activities that are related to flow of goods from production to consumption.   #MarketingTwitter #Marketer #Markets #staysafestayhome #business #COVID19,en,0,1,0
289,2021-07-26 00:32:07 India Standard Time,hood420mercy,Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India ⬇️ #Covid19IndiaHelp,en,0,0,0
293,2021-07-26 00:20:15 India Standard Time,ho_adison,Please get yourself with your family to be vaccinated.  #COVID19 #LindungDiriLindungSemua #KitaMestiMenang #MenangBersama #SimeDarbyPlantation,en,0,0,0
294,2021-07-26 00:20:14 India Standard Time,ho_adison,"I have been fully vaccinated with the 2nd Dose of Sinovac COVID-19 Vaccination on the 22nd July 2021 (Thursday) at PPV Pandu Lalu OKU Sentral @ Sime Darby Plantation, Ara Damansara.  I have no symptoms within 24 Hours after i get the vaccination.  https://t.co/PTLJy7Lvbd",en,1,0,0
295,2021-07-26 00:16:45 India Standard Time,drmehru1,Lower your risk from COVID-19 by combining these 5 precautions: 1. Wear a mask  2. Clean your 👐 3. Keep physical distance 4. Cough/sneeze away into your elbow 5. Open windows as much as possible.  #StayHomeStaySafe,en,0,1,14
300,2021-07-25 23:56:28 India Standard Time,anilroyal1980,@CMO_Odisha sir plz try to availability paid Covid-19 vaccines in Angul district also regards Angul peoples 💯🚑  https://t.co/aZwLRUvAac,en,0,0,1
309,2021-07-28 05:02:50 India Standard Time,devibajaj,Thank you @NBTWORLDNews for this helpful info. #covid19 #Thailand,en,0,0,1
312,2021-07-28 04:36:24 India Standard Time,shkkhuzaima,@Shafqat_Mahmood Asslam-O-Alaikum! You keep the school closed all year because of COVID-19.The students did not read anything because of you.What is the fault of the students in all this?Please do samothing.Please do not force students to commit suicide😭 #CancelExamSaveStudents  https://t.co/KHTQwkvQV1,en,1,0,2
318,2021-07-28 02:13:12 India Standard Time,drewinseasia,Australia really does not treat covid seriously here law states that anybody causing transmission of Covid-19 to others faces jail from two to five years while anyone who causes serious harm to public health faces two to five years in prison  #auspol   https://t.co/5YCg7Nlv8q,en,0,0,0
326,2021-07-31 04:55:03 India Standard Time,bhuiya_atiq,Covid-19 Test for Free in Bangladesh.  https://t.co/JY6XopKl5S via @YouTube,en,0,0,0
329,2021-07-31 04:26:23 India Standard Time,javedmir16,The US is doing everything to make and spread lies about COVID-19 - People's Daily Online -- Such lies just normal with the American policy makers!  https://t.co/VgNdR0P3Rk,en,0,0,0
330,2021-07-31 04:01:35 India Standard Time,dalu_22,"I'm at COVID-19 Vaccine Center in Dammam, Ash Sharqiyah  https://t.co/4YVLlRSpyj",en,0,0,0
331,2021-07-31 03:49:44 India Standard Time,najwaaa98_,"I'm at COVID-19 Vaccine Center in Dammam, Ash Sharqiyah  https://t.co/OFpeFAvgoT",en,0,0,0
332,2021-07-31 03:47:16 India Standard Time,bhatiaglobal,"Walk in vaccination   Vaccination provides protection against Covid-19 hospitalisations. Covishield vaccination is available for all the adults above 18 years of age at Bhatia Global Hospital &amp; Endosurgery Institute,Ambika Vihar,New Delhi. Cost: 780/- Timing: 9.00am-5.00pm  https://t.co/UgB9YvsWSK",en,0,0,1
333,2021-07-31 03:23:21 India Standard Time,drjamalul,Is Vaccination The Only Factor Behind Labuan’s Declining Covid-19 Outbreak?  https://t.co/S8FxjSCGkh,en,0,0,0
