,words,scores
459,deadli,9
460,secur,9
461,loss,9
462,polici,9
463,claim,9
464,return,9
465,essenti,9
466,border,9
467,aameen,9
468,internet,9
469,bed,8
470,ventil,8
471,namo,8
472,healthi,8
473,point,8
474,proud,8
475,concern,8
476,direct,8
477,massiv,8
478,inject,8
479,urg,8
480,difficult,8
481,bangladesh,8
482,shame,8
483,worst,8
484,railway,8
485,cancel,8
486,norm,8
487,send,8
488,photo,8
489,congratul,8
490,drop,8
491,exist,8
492,sever,8
493,near,8
494,rais,8
495,hit,8
496,ill,8
497,walk,8
498,actual,8
499,requir,8
500,present,8
501,share,8
502,theatr,8
503,forget,8
504,mean,8
505,fear,8
506,show,8
507,includ,8
508,miss,8
509,term,8
510,campaign,8
511,research,8
512,fail,8
513,sunday,8
514,success,8
515,abl,8
516,mother,8
517,parent,8
518,read,8
519,futur,8
520,corpor,8
521,submit,8
522,listen,8
523,type,8
524,found,8
525,film,8
526,industri,8
527,juli,8
528,power,8
529,outsid,8
530,sit,8
531,instruct,8
532,intellig,8
533,usual,8
534,privat,8
535,clinic,8
536,carri,8
537,latest,8
538,ground,8
539,johnson,8
540,chief,8
541,qualifi,8
542,fli,8
543,wrath,8
544,islandwid,8
545,medicin,7
546,stock,7
547,card,7
548,muslim,7
549,sad,7
550,unfortun,7
551,suppli,7
552,past,7
553,your,7
554,what,7
555,lab,7
556,passeng,7
557,tuesday,7
558,facil,7
559,entri,7
560,associ,7
561,arriv,7
562,isnt,7
563,heart,7
564,wont,7
565,wuhan,7
566,fee,7
567,wife,7
568,deal,7
569,declar,7
570,south,7
571,usa,7
572,speak,7
573,common,7
574,zone,7
575,resid,7
576,jai,7
577,hind,7
578,bengal,7
579,zealand,7
580,insid,7
581,afghan,7
582,forward,7
583,incred,7
584,financi,7
585,earlier,7
586,doubl,7
587,outbreak,7
588,player,7
589,senior,7
590,ppl,7
591,differ,7
592,learn,7
593,readi,7
594,colleg,7
595,decid,7
596,cinema,7
597,hero,7
598,treat,7
599,yesterday,7
600,slot,7
601,document,7
602,sant,7
603,rampal,7
604,maharaj,7
605,stress,7
606,cure,7
607,especi,7
608,sourc,7
609,expect,7
610,march,7
611,sector,7
612,immedi,7
613,buy,7
614,mobil,7
615,reopen,7
616,militari,7
617,half,7
618,contain,7
619,recruit,7
620,kolkata,7
621,antibodi,6
622,bjp,6
623,compens,6
624,capac,6
625,remov,6
626,matter,6
627,lung,6
628,transport,6
629,union,6
630,employe,6
631,welcom,6
632,member,6
633,predict,6
634,commit,6
635,detail,6
636,tourist,6
637,play,6
638,morocco,6
639,dark,6
640,farmer,6
641,moh,6
642,stage,6
643,push,6
644,confus,6
645,mayb,6
646,parti,6
647,pre,6
648,touch,6
649,portal,6
650,rain,6
651,pregnant,6
652,chanc,6
653,link,6
654,yday,6
655,islamabad,6
656,vietnam,6
657,pain,6
658,reject,6
659,judgement,6
660,pledg,6
661,amid,6
662,muharram,6
663,peak,6
664,bhi,6
665,healthcar,6
666,east,6
667,award,6
668,beauti,6
669,goa,6
670,politician,6
671,highli,6
672,moment,6
673,experi,6
674,beach,6
675,keep,6
676,middl,6
677,stori,6
678,construct,6
679,mightiest,6
680,match,6
681,attend,6
682,function,6
683,car,6
684,everyday,6
685,model,6
686,sampl,6
687,inf,6
688,actv,6
689,sanit,6
690,act,6
691,restaur,6
692,tax,6
693,surviv,6
694,worth,6
695,statement,6
696,water,6
697,damag,6
698,cast,6
699,neem,6
700,thousand,6
701,graph,6
702,valid,6
703,ticket,6
704,mandat,6
705,onward,6
706,ramadan,6
707,sell,6
708,implement,6
709,launch,6
710,hello,6
711,glad,6
712,florida,6
713,particip,6
714,offer,6
715,neg,6
716,blood,6
717,uae,6
718,histor,6
719,career,6
720,refer,6
721,fine,6
722,origin,6
723,templ,5
724,contact,5
725,instead,5
726,mass,5
727,websit,5
728,probabl,5
729,municip,5
730,shower,5
731,merci,5
732,depart,5
733,account,5
734,access,5
735,iran,5
736,cope,5
737,sick,5
738,indoor,5
739,assur,5
740,properli,5
741,lower,5
742,battl,5
743,profit,5
744,choos,5
745,credit,5
746,base,5
747,saw,5
748,atleast,5
749,boost,5
750,drug,5
751,publish,5
752,progress,5
753,uttar,5
754,smart,5
755,victim,5
756,rush,5
757,hard,5
758,gold,5
759,grand,5
760,spokesperson,5
761,establish,5
762,discharg,5
763,anti,5
764,din,5
765,told,5
766,fresh,5
767,light,5
768,gov,5
769,rag,5
770,exempt,5
771,deliv,5
772,suggest,5
773,sacrific,5
774,flightpasseng,5
775,arr,5
776,dep,5
777,recommend,5
778,lock,5
779,peac,5
780,regist,5
781,main,5
782,passport,5
783,ban,5
784,apart,5
785,practic,5
786,behaviour,5
787,hundr,5
788,spoke,5
789,programm,5
790,financ,5
791,ash,5
792,onam,5
793,bhopal,5
794,singapor,5
795,word,5
796,mandatori,5
797,vacat,5
798,zero,5
799,eat,5
800,uncl,5
801,corrupt,5
802,observ,5
803,lie,5
804,stat,5
805,pune,5
806,limit,5
807,fire,5
808,serious,5
809,bmc,5
810,pvt,5
811,plu,5
812,higher,5
813,saudi,5
814,deliveri,5
815,win,5
816,repent,5
817,hall,5
818,seat,5
819,censu,5
820,minut,5
821,festiv,5
822,extrem,5
823,truth,5
824,dead,5
825,hurdl,5
826,recent,5
827,harass,5
828,rani,5
829,salari,5
830,sinovac,5
831,brought,5
832,expert,5
833,wit,5
834,larg,5
835,feder,5
836,inspector,5
837,propaganda,5
838,promot,5
839,duti,5
840,rest,5
841,enjoy,5
842,station,5
843,upcom,5
844,role,5
845,tourism,5
846,organ,5
847,whatsapp,5
848,alert,5
849,teacher,5
850,mahdi,5
851,bit,5
852,beg,5
853,note,5
854,wrong,5
855,perform,5
856,phase,5
857,terror,5
858,suspend,5
859,explain,5
860,postpon,5
861,kept,5
862,minh,5
863,amaz,5
864,cluster,5
865,potenti,5
866,disappoint,5
867,press,5
868,space,5
869,specialist,5
870,law,5
871,detect,5
872,guess,5
873,coz,5
874,emir,5
875,explanatorystat,5
876,karachit,5
877,zycovd,5
878,ivermectin,4
879,urgent,4
880,export,4
881,breath,4
882,ali,4
883,shah,4
884,screen,4
885,birthday,4
886,earli,4
887,wik,4
888,bengaluru,4
889,room,4
890,fall,4
891,more,4
892,maldiv,4
893,rightli,4
894,scale,4
895,discrimin,4
896,useless,4
897,loan,4
898,pfizer,4
899,laboratori,4
900,imagin,4
901,produc,4
902,opposit,4
903,violat,4
904,frontlin,4
905,leadership,4
906,strengthen,4
907,beat,4
908,moderna,4
909,cdc,4
910,ministri,4
911,welfar,4
912,junta,4
913,weapon,4
914,theyr,4
915,inocul,4
916,red,4
917,competit,4
918,driver,4
919,insur,4
920,with,4
921,solv,4
922,karachi,4
923,slight,4
924,prioriti,4
925,humbl,4
926,delay,4
927,natur,4
928,earn,4
929,struggl,4
930,oil,4
931,log,4
932,becas,4
933,encourag,4
934,mess,4
935,isol,4
936,suprem,4
937,maintain,4
938,seawood,4
939,custom,4
940,blind,4
941,rout,4
942,cooper,4
943,nahi,4
944,nearli,4
945,grow,4
946,who,4
947,pictur,4
948,unemploy,4
949,billion,4
950,vigil,4
951,packag,4
952,shameless,4
953,select,4
954,name,4
955,dhaka,4
956,sharqiyah,4
957,shortag,4
958,dna,4
959,cadila,4
960,cultur,4
961,build,4
962,critic,4
963,decemb,4
964,discuss,4
965,addit,4
966,bhai,4
967,remind,4
968,cloth,4
969,elig,4
970,target,4
971,villag,4
972,sundarban,4
973,forest,4
974,neglig,4
975,repeat,4
976,loud,4
977,coach,4
978,gon,4
979,short,4
980,sec,4
981,self,4
982,clean,4
983,vendor,4
984,add,4
985,church,4
986,tha,4
987,biden,4
988,court,4
989,korea,4
990,helpless,4
991,dengu,4
992,malaria,4
993,turkey,4
994,game,4
995,petrol,4
996,largest,4
997,fastest,4
998,pollut,4
999,logic,4
1000,symptom,4
1001,execut,4
1002,children,4
1003,spent,4
1004,kuch,4
1005,subway,4
1006,paid,4
1007,depress,4
1008,societi,4
1009,satbhakti,4
1010,benefit,4
1011,wednesday,4
1012,procedur,4
1013,loom,4
1014,loot,4
1015,region,4
1016,bear,4
1017,pace,4
1018,admin,4
1019,pic,4
1020,felicit,4
1021,covishield,4
1022,nagar,4
1023,interest,4
1024,sangh,4
1025,discov,4
1026,block,4
1027,ago,4
1028,punjab,4
1029,biggest,4
1030,climat,4
1031,answer,4
1032,littl,4
1033,gotten,4
1034,alandur,4
1035,sanitari,4
1036,divyaa,4
1037,expos,4
1038,rac,4
1039,remark,4
1040,trade,4
1041,arabia,4
1042,rahul,4
1043,fever,4
1044,fast,4
1045,scheme,4
1046,bread,4
1047,northern,4
1048,nonvaccin,4
1049,inspir,4
1050,photograph,4
1051,white,4
1052,door,4
1053,andaman,4
1054,lift,4
1055,bihar,4
1056,speed,4
1057,express,4
1058,trump,4
1059,equal,4
1060,messag,4
1061,forgotten,4
1062,chi,4
1063,surpris,4
1064,shall,4
1065,suspect,4
1066,kudo,4
1067,men,4
1068,mahathir,4
1069,afford,4
1070,malaysian,4
1071,fals,4
1072,univers,4
1073,destroy,4
1074,coupl,4
1075,super,4
1076,dueto,4
1077,madhyapradesh,4
1078,aro,4
1079,jawan,4
1080,meu,4
1081,spreader,4
1082,janssen,4
1083,netherland,4
1084,twitter,4
1085,investig,4
1086,traffic,4
1087,averag,4
1088,salut,4
1089,rtpcr,4
1090,locat,4
1091,prez,4
1092,caseload,4
1093,vehicl,4
1094,islam,4
1095,zardari,4
1096,igp,4
1097,kodagu,4
1098,stone,4
1099,sep,4
1100,prevail,4
1101,sahab,4
1102,versu,3
1103,product,3
1104,june,3
1105,novemb,3
1106,kya,3
1107,mind,3
1108,speedi,3
1109,ongo,3
1110,employ,3
1111,sincer,3
1112,aprici,3
1113,olymp,3
1114,disast,3
1115,europ,3
1116,metro,3
1117,aluva,3
1118,sent,3
1119,diff,3
1120,part,3
1121,rat,3
1122,hotel,3
1123,permiss,3
1124,transmiss,3
1125,quick,3
1126,qualiti,3
1127,refund,3
1128,chain,3
1129,bhubaneswar,3
1130,switch,3
1131,folk,3
1132,king,3
1133,relationship,3
1134,newspap,3
1135,virtual,3
1136,alleg,3
1137,soldier,3
1138,put,3
1139,contract,3
1140,bangkok,3
1141,strain,3
1142,discu,3
1143,vax,3
1144,divid,3
1145,trigger,3
1146,behavior,3
1147,opinion,3
1148,babi,3
1149,event,3
1150,shi,3
1151,director,3
1152,brace,3
1153,narendra,3
1154,move,3
1155,tho,3
1156,truli,3
1157,saturday,3
1158,lasthr,3
1159,slide,3
1160,chennai,3
1161,tofrom,3
1162,inchennai,3
1163,fatalitiesampact,3
1164,singaporean,3
1165,southern,3
1166,arsen,3
1167,tabl,3
1168,gift,3
1169,ignor,3
1170,necess,3
1171,determin,3
1172,hasnt,3
1173,asymptomat,3
1174,ganga,3
1175,jldi,3
1176,australian,3
1177,commerci,3
1178,sudden,3
1179,fighter,3
1180,birth,3
1181,nnmc,3
1182,appropri,3
1183,profession,3
1184,asan,3
1185,burdwan,3
1186,kiss,3
1187,complex,3
1188,fool,3
1189,rid,3
1190,ceo,3
1191,sale,3
1192,project,3
1193,innov,3
1194,globe,3
1195,adult,3
1196,scrap,3
1197,section,3
1198,digit,3
1199,factor,3
1200,key,3
1201,spot,3
1202,havoc,3
1203,correct,3
1204,stupid,3
1205,secret,3
1206,husband,3
1207,worship,3
1208,retir,3
1209,finish,3
1210,cut,3
1211,aspect,3
1212,maha,3
1213,riski,3
1214,mangrov,3
1215,vulner,3
1216,kit,3
1217,threat,3
1218,opportun,3
1219,tackl,3
1220,presidenti,3
1221,okay,3
1222,exercis,3
1223,bcoz,3
1224,stall,3
1225,mira,3
1226,basi,3
1227,prophet,3
1228,yahweh,3
1229,earth,3
1230,heaven,3
1231,bangalor,3
1232,profil,3
1233,rent,3
1234,cummul,3
1235,rcvrd,3
1236,grwth,3
1237,dbling,3
1238,gym,3
1239,mein,3
1240,joe,3
1241,journalist,3
1242,head,3
1243,boy,3
1244,ettayapuram,3
1245,wash,3
1246,inconveni,3
1247,remot,3
1248,prepared,3
1249,honor,3
1250,basic,3
1251,shit,3
1252,worldwid,3
1253,foreign,3
1254,cowin,3
1255,cours,3
1256,unbeliev,3
1257,kumar,3
1258,cricket,3
1259,kar,3
1260,knowledg,3
1261,kabir,3
1262,atmospher,3
1263,covaxin,3
1264,fraud,3
1265,mourn,3
1266,held,3
1267,standard,3
1268,pass,3
1269,imag,3
1270,dread,3
1271,careless,3
1272,slow,3
1273,erad,3
1274,magic,3
1275,ceremoni,3
1276,funni,3
1277,click,3
1278,brain,3
1279,itll,3
1280,leav,3
1281,dung,3
1282,oppos,3
1283,lectur,3
1284,articl,3
1285,comment,3
1286,overcom,3
1287,incom,3
1288,later,3
1289,tune,3
1290,sigh,3
1291,advis,3
1292,stipul,3
1293,consign,3
1294,superior,3
1295,aur,3
1296,frequent,3
1297,met,3
1298,baad,3
1299,transfer,3
1300,definit,3
1301,shock,3
1302,devast,3
1303,green,3
1304,signific,3
1305,gandhi,3
1306,wage,3
1307,persist,3
1308,viral,3
1309,needi,3
1310,meal,3
1311,pcr,3
1312,reserv,3
1313,mai,3
1314,corporat,3
1315,bar,3
1316,shortli,3
1317,jamia,3
1318,masjid,3
1319,session,3
1320,fun,3
1321,black,3
1322,admit,3
1323,young,3
1324,circul,3
1325,israel,3
1326,rapid,3
1327,spore,3
1328,couldnt,3
1329,juhu,3
1330,kuwait,3
1331,airlin,3
1332,collabor,3
1333,born,3
1334,mbb,3
1335,angri,3
1336,strict,3
1337,introduc,3
1338,funer,3
1339,recipi,3
1340,invit,3
