,words,scores
462,railway,8
463,inform,8
464,norm,8
465,photo,8
466,congratulation,8
467,drop,8
468,raise,8
469,hit,8
470,walk,8
471,protection,8
472,share,8
473,theatre,8
474,forget,8
475,operation,8
476,fear,8
477,show,8
478,worry,8
479,include,8
480,miss,8
481,term,8
482,campaign,8
483,sunday,8
484,able,8
485,mother,8
486,parent,8
487,future,8
488,submit,8
489,listen,8
490,type,8
491,found,8
492,film,8
493,industry,8
494,july,8
495,notice,8
496,mental,8
497,create,8
498,loss,8
499,sit,8
500,usual,8
501,claim,8
502,private,8
503,carry,8
504,latest,8
505,ground,8
506,johnson,8
507,chief,8
508,fly,8
509,wrath,8
510,islandwide,8
511,ventilator,7
512,medicine,7
513,stock,7
514,card,7
515,muslim,7
516,supply,7
517,fatality,7
518,past,7
519,youre,7
520,whats,7
521,achieve,7
522,lab,7
523,meet,7
524,cancel,7
525,bus,7
526,passenger,7
527,tuesday,7
528,facility,7
529,entry,7
530,severe,7
531,isnt,7
532,near,7
533,wont,7
534,wuhan,7
535,fee,7
536,wife,7
537,deal,7
538,actually,7
539,require,7
540,present,7
541,celebrate,7
542,south,7
543,usa,7
544,mean,7
545,speak,7
546,zone,7
547,jai,7
548,hind,7
549,bengal,7
550,zealand,7
551,inside,7
552,afghan,7
553,forward,7
554,appreciate,7
555,fail,7
556,earlier,7
557,double,7
558,outbreak,7
559,player,7
560,institution,7
561,senior,7
562,management,7
563,ppl,7
564,donate,7
565,read,7
566,park,7
567,corporation,7
568,busy,7
569,learn,7
570,ready,7
571,college,7
572,cinema,7
573,hero,7
574,treat,7
575,yesterday,7
576,slot,7
577,sant,7
578,rampal,7
579,maharaj,7
580,stress,7
581,sure,7
582,cure,7
583,power,7
584,security,7
585,outside,7
586,especially,7
587,source,7
588,march,7
589,sector,7
590,send,7
591,reopen,7
592,military,7
593,half,7
594,united,7
595,recruitment,7
596,kolkata,7
597,intelligence,7
598,antibody,6
599,capacity,6
600,prepare,6
601,remove,6
602,matter,6
603,lung,6
604,union,6
605,employee,6
606,welcome,6
607,member,6
608,sad,6
