,words,scores
464,doesnt,9
465,tourist,9
466,restaurant,9
467,opportunity,9
468,worst,9
469,room,9
470,one,9
471,pray,9
472,point,9
473,likely,9
474,physical,9
475,march,9
476,norm,9
477,water,9
478,border,9
479,rapid,9
480,forward,9
481,treat,9
482,picture,9
483,list,9
484,information,9
485,talk,9
486,ad,9
487,fresh,9
488,leadership,9
489,flu,9
490,tomorrow,9
491,chennai,9
492,reduce,9
493,hotel,9
494,didnt,9
495,sunday,9
496,policy,9
497,turn,9
498,origin,9
499,early,9
500,sarscov,9
501,zero,9
502,lakh,9
503,board,9
504,industry,9
505,father,9
506,drink,9
507,kashmir,9
508,attend,8
509,pfizer,8
510,info,8
511,bring,8
512,expert,8
513,visa,8
514,prime,8
515,series,8
516,clean,8
517,pass,8
518,especially,8
519,husband,8
520,company,8
521,note,8
522,isolation,8
523,ward,8
524,told,8
525,bus,8
526,lab,8
527,ministry,8
528,cluster,8
529,jai,8
530,fatality,8
531,damage,8
532,decision,8
533,eat,8
534,karachi,8
535,education,8
536,tough,8
537,rtpcr,8
538,farmer,8
539,capacity,8
540,literally,8
541,morning,8
542,real,8
543,send,8
544,defeat,8
545,politician,8
546,ago,8
547,strong,8
548,main,8
549,level,8
550,singh,8
551,keep,8
552,initiative,8
553,isnt,8
554,victim,8
555,limited,8
556,source,8
557,silent,8
558,sindh,8
559,inform,8
560,movement,8
561,volunteer,8
562,ill,8
563,leader,8
564,telangana,8
565,survive,8
566,huge,8
567,tourism,8
568,technology,8
569,base,8
570,decide,8
571,add,8
572,scientist,8
573,salute,8
574,kumar,8
575,decrease,8
576,forget,8
577,declare,8
578,antibody,8
579,regard,8
580,administer,8
581,experience,8
582,explain,8
583,bhi,8
584,climate,8
585,intensify,8
586,imam,8
587,mahdi,8
588,nasser,8
589,mohammad,8
590,alyemeni,8
591,ramadan,8
592,blame,8
593,large,8
594,japan,8
595,relaxation,8
596,province,8
597,allah,7
598,black,7
599,type,7
600,notice,7
601,listen,7
602,whats,7
603,relief,7
604,billion,7
605,welcome,7
606,youre,7
607,advise,7
608,apply,7
609,heart,7
610,role,7
611,off,7
612,protest,7
613,manage,7
614,kindly,7
615,matter,7
616,seat,7
617,website,7
618,buy,7
619,recommend,7
620,hind,7
621,pas,7
622,ash,7
623,sharqiyah,7
624,witness,7
625,street,7
626,distribute,7
627,nahi,7
628,remember,7
629,damn,7
630,saw,7
631,birthday,7
632,careful,7
633,university,7
634,pvt,7
635,odisha,7
636,higher,7
637,inside,7
638,constituency,7
639,appreciate,7
640,able,7
641,educational,7
642,institution,7
643,mom,7
644,expect,7
645,discussion,7
646,journalist,7
647,investigation,7
648,instead,7
649,common,7
650,dip,7
651,individual,7
652,virtual,7
653,myanmar,7
654,frm,7
655,hundred,7
656,blood,7
657,plus,7
658,contract,7
659,term,7
660,click,7
