tweet,clean_tweet,hastags,attherate,urls,emojis
HPM #SheikhHasina-led @albd1971 Govt. plans to vaccinate approx. 10 million people Vs #COVID19 in a week starting Aug 8 when ongoing mass #vaccination drive is extended to the grassroots union level.  #VaccineForAll #VaccineEquity @CEPIvaccines @gavi    https://t.co/QK7CYMcKIg,HPM Govt plans to vaccinate approx 10 million people Vs in a week starting Aug 8 when ongoing mass drive is extended to the grassroots union level ,"['#SheikhHasina-led', '#COVID19', '#vaccination', '#VaccineForAll', '#VaccineEquity']","['@albd1971', '@CEPIvaccines', '@gavi']",['https://t.co/QK7CYMcKIg'],[]
Saravanan: Employers must pay for Covid-19 screening tests for employees | New Straits Times  https://t.co/6s2SxB0zT4,Saravanan: Employers must pay for Covid19 screening tests for employees | New Straits Times ,[],[],['https://t.co/6s2SxB0zT4'],[]
Day after day covid-19 took someone precious away from people’s life 💔,Day after day covid19 took someone precious away from people’s life ,[],[],[],['💔']
Happy Birthday with good wishes for His Healthy &amp; Happy Life ❤️  Thanks! 🇮🇳  https://t.co/ClzWihOkie 🇮🇳 Sincerely Public Apriciated website for Doctors support to Nation People in Covid-19.,Happy Birthday with good wishes for His Healthy amp Happy Life  Thanks    Sincerely Public Apriciated website for Doctors support to Nation People in Covid19,[],[],['https://t.co/ClzWihOkie'],"['❤️', '🇮🇳', '🇮🇳']"
If I was @Neeraj_chopra1 @BajrangPunia @ravikumardhaiya @LovlinaBorgohai or Olympic contingent  came from #Tokyo2020 today would have asked fans not to gather  welcoming them &amp; #maintainsocialdistance considering that #COVID19 3rd wave is just around &amp; We may face 1 more disaster,If I was or Olympic contingent came from today would have asked fans not to gather welcoming them amp considering that 3rd wave is just around amp We may face 1 more disaster,"['#Tokyo2020', '#maintainsocialdistance', '#COVID19']","['@Neeraj_chopra1', '@BajrangPunia', '@ravikumardhaiya', '@LovlinaBorgohai']",[],[]
"Sincerely Publicly Apriciated website for Doctors supports to Nation People in Covid-19.  Made in India 🇮🇳 Made for World !  Please like, Rt in favor of Nation love ❤️  https://t.co/txCA8pgMTM",Sincerely Publicly Apriciated website for Doctors supports to Nation People in Covid19 Made in India  Made for World  Please like Rt in favor of Nation love  ,[],[],['https://t.co/txCA8pgMTM'],"['🇮🇳', '❤️']"
The Council of Europe and UNHCR support Member States in bringing refugee health workers into the COVID-19 response:  https://t.co/DI2HlX02mv via @refugees,The Council of Europe and UNHCR support Member States in bringing refugee health workers into the COVID19 response:  via ,[],['@refugees'],['https://t.co/DI2HlX02mv'],[]
"At that time i didnt know i am a Positive  Covid-19. But now Alhamdullillah i think ive already recover. And tmrw my quarantine, probably will be over after swab test. And getting my 2nd dose.",At that time i didnt know i am a Positive Covid19 But now Alhamdullillah i think ive already recover And tmrw my quarantine probably will be over after swab test And getting my 2nd dose,[],[],[],[]
"Don't need rocket-science to predict that this was always on the cards, given the US administration had asked the citizens to come out without masks on, after vaccination, as I had pointed out back in May. That was just a blatant error! #COVID19 #USA   https://t.co/2dr2S1kkpH",Dont need rocketscience to predict that this was always on the cards given the US administration had asked the citizens to come out without masks on after vaccination as I had pointed out back in May That was just a blatant error ,"['#COVID19', '#USA']",[],['https://t.co/2dr2S1kkpH'],[]
When we will get freedom from mask 😷   #COVID19,When we will get freedom from mask  ,['#COVID19'],[],[],['😷']
"@ATULBORA2 Sir,…Pray for your early &amp; speedy recovery from Covid-19. Recovery", Sir…Pray for your early amp speedy recovery from Covid19 Recovery,[],['@ATULBORA2'],[],[]
"1,40,454 tests were conducted in #Assam on August 9 of which 1120 have tested positive for #COVID19.   197 of these cases were from Kamrup Metro. The positivity rate is at 0.80%  #AssamCovidUpdate #Guwahati #CoronavirusPandemic  https://t.co/qL17Jo1jSb",140454 tests were conducted in on August 9 of which 1120 have tested positive for 197 of these cases were from Kamrup Metro The positivity rate is at 080% ,"['#Assam', '#COVID19.', '#AssamCovidUpdate', '#Guwahati', '#CoronavirusPandemic']",[],['https://t.co/qL17Jo1jSb'],[]
