,created_at,username,tweet,language,replies_count,retweets_count,likes_count
61,2021-07-07 19:26:16 India Standard Time,shubham_vanmali,"Congratulations, respectable Hon. Union Minister Shri Kapilji Patil @KapilPatilMP . And thank you for accepting and appreciating our book ""Mala Laat Vhayachay"" &amp; ""Oceans Calling"". #politics #india #news #election #covid #vote #political #love #coronavirus  #government #bhiwandi  https://t.co/JBUYjqFwkG",en,0,0,0
63,2021-07-07 19:08:40 India Standard Time,trikutanews,"07 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 280 new positive cases, 309973 recovered so far  https://t.co/oaa0ZvFsBS",en,0,2,0
65,2021-07-07 18:09:04 India Standard Time,singhswaiman,Vaccine campaign on.  5 Rivers Heart Association.  #vaccinated #VACCINE #farmer #coronavirus #DoctorsDay2021    promises made promises deivered.  https://t.co/iBRbR3ozm0,en,1,41,167
72,2021-07-07 17:10:29 India Standard Time,iwm_india,"Doctors became our shield against the Coronavirus during this ongoing pandemic. It's time for us to show some support, love, care and gratitude towards them.   Team IWM salutes Doctors on National Doctors Day!  #NationalDoctorsDay #DoctorsDay #HappyDoctorsDay #IWM #Indore  https://t.co/HSOt5zCqnp",en,0,0,0
78,2021-07-07 14:10:09 India Standard Time,miistri1,Explain co-vid ?   A learning process which never ends   #coronavirus  https://t.co/DHHfuGnMAL,en,0,0,0
79,2021-07-07 14:05:18 India Standard Time,hifmradio,"If you missed it last night there’s some BIG changes to the rules in Oman, including an update about Eid:  https://t.co/pgzLTOXsJe… #coronavirus #oman",en,0,0,0
87,2021-07-07 11:53:20 India Standard Time,aligarhfob,Corona virus updates  https://t.co/J8YsDGnmIC,en,0,2,0
88,2021-07-07 11:45:21 India Standard Time,aligarhfob,Corona virus update  https://t.co/H26H6RLPBF,en,0,2,0
94,2021-07-08 23:21:17 India Standard Time,maraiiyaniirmal,"After seeing more craze for #ZikaVirus among humans from today, Corona Virus rn :  https://t.co/LbLk23dsIo",en,0,1,5
95,2021-07-08 22:58:07 India Standard Time,dhubribuzz,#COVID19 | | Cabinet approves second COVID-19 emergency response package  To know more check out our website  https://t.co/GxfqMFAEU9   #Cabinet #India #coronavirus #Relief #Assam #Dhubri #Dhubribuzz  https://t.co/TwGBvyXF8s,en,0,1,7
96,2021-07-08 22:52:12 India Standard Time,rashidhasanuni,"#JapanOlympics Games to be held without spectators due to rising cases of #coronavirus  A state of emergency in Tokyo will run throughout the Games, to combat coronavirus.   https://t.co/F9JsJQcIq4",en,0,0,0
97,2021-07-08 22:30:28 India Standard Time,sauzzers,Don't spread corona further CO-idiots. @sudhirchaudhary @ZeeNews @dna @MoHFW_INDIA #Corona #coronavirus #coidiots,en,0,0,5
102,2021-07-08 21:06:00 India Standard Time,robchandigarh,"#IndiaFightsCorona:  📍Do NOT believe in rumours about any coronavirus variant - Alpha, Beta, Gamma, or Delta.  ➡️Follow A-B-C-D of the fight against infodemic:  ✅A: Advise ✅B: Believe ✅C: Cross-check ✅D: Do NOT promote fear  #Unite2FightCorona #StaySafe #We4Vaccine  https://t.co/U34N0thDJM",en,0,1,1
103,2021-07-08 20:47:45 India Standard Time,vietnewsgateway,Southeast Asian Games in #Vietnam postponed over coronavirus  https://t.co/RSiTVPhgQu,en,0,1,4
104,2021-07-08 20:38:30 India Standard Time,sigmatalala,Hon'ble CM Shri @ArvindKejriwal Ji has inaugurated Covid-19 Genome Sequencing facility at Genetic Laboratory at LNJP Hospital.  This lab will study the mutating Coronavirus &amp; will aid Delhi Government's preparation to tackle the 3rd wave of Covid-19.  https://t.co/OvGxlTzYJ0,en,0,0,0
109,2021-07-08 19:28:15 India Standard Time,k_pundir,"There is no doubt that the delta is a very dangerous form of the corona virus, but we have ways to deal with it. Apart from masks and physical distancing, there are at least five vaccines that are effective against Delta.  https://t.co/KKl1Z5oHta",en,0,1,1
110,2021-07-08 18:43:16 India Standard Time,sudhanshugarg6,@mygovindia @PMOIndia @PIB_India @MIB_India @ianuragthakur @MoHFW_INDIA @mansukhmandviya We should keep our room's Window-pane closed to avoid Entrance of Corona Virus in Our Home. JaiModiRaj 🇮🇳 JaiYogiRaj 🇮🇳 JaiBharatVarsh 🇮🇳 VandeMatram 🇮🇳 #PreventWhatCanBePrevented  #जीतेगा_भारत_हारेगा_कोरोना,en,1,0,0
113,2021-07-08 18:38:43 India Standard Time,isurusameeraisp,Batting coach @grantflower_bat tested positive for Corona Virus #Corona #SLC #SLvIND  https://t.co/vxNlBgH1fL,en,0,0,2
114,2021-07-08 18:27:47 India Standard Time,srilankatweet,So far today 842 Coronavirus cases report in Sri Lanka #LKA,en,2,4,27
117,2021-07-08 17:37:50 India Standard Time,srilankatweet,40 Coronavirus related deaths for 07 July confirmed by DG of Health Services #LKA,en,0,2,39
120,2021-07-08 16:15:13 India Standard Time,commissionerlhr,"#LahoreWearsMasks  Purpose and details of #campaign.  #WeaingMask is a gesture, it's first and solid step to curtail deadly #coronavirus and #save precious lives.  #Lahore #COVID19 #Appeal #MyPeople #MyCity #Together  @OfficialNcoc @Asad_Umar @Dr_YasminRashid @GovtofPunjabPK  https://t.co/PDWr2JjCZM",en,4,5,19
123,2021-07-08 15:15:16 India Standard Time,satyawanbajpai,Japan declared a coronavirus state of emergency for Tokyo that will run through its hosting of the event to curb a new wave of infections,en,0,0,0
124,2021-07-08 14:35:53 India Standard Time,smilefoundation,"The second wave of #coronavirus has started going down. However, it is not over. We must be prepared for a possible rise in cases in the near future. With the predicted fear of #ThirdWave, #SmileOnWheels Team is ensuring #HealthCannotWait  https://t.co/kaCWF1XYI8  https://t.co/WuywGiGNtm",en,0,1,6
131,2021-07-08 12:36:52 India Standard Time,singhswaiman,He got many farmers out of jail but could not find a vaccine for himself in Delhi.  Now our farmers advocate is vaccinated at the protest site by farmers.  @CMODelhi #coronavirus  https://t.co/K70AOALkLb,en,3,32,131
132,2021-07-08 12:14:24 India Standard Time,aligarhfob,Corona virus updates  https://t.co/C4eMCuDXso,en,0,1,0
133,2021-07-08 12:12:47 India Standard Time,almanthria__,"I am not infected with the Corona virus, thank God . 🥺😍🤲🏻 10:40 am #صباح_السعاده  #صباح_الخير",en,0,1,6
135,2021-07-08 11:51:53 India Standard Time,fobsrinagar,Corona virus updates  https://t.co/SDQab39cJZ  https://t.co/f8pwcnJr4X,en,0,0,0
136,2021-07-08 11:35:27 India Standard Time,aligarhfob,Corona virus updates  https://t.co/hmoK3lVbym,en,0,2,1
138,2021-07-08 10:34:24 India Standard Time,ramavenu,"How many businesses , segments need revival ! Sounds tough and challenging .   As Tamil Nadu unlocks, hotels and restaurants in Chennai demand financial assistance - Coronavirus Outbreak News  https://t.co/sLbgpiZWXy",en,1,0,4
139,2021-07-08 10:18:36 India Standard Time,aligarhfob,Corona virus updates  https://t.co/wKDrgnXDBN,en,0,0,0
141,2021-07-08 09:05:50 India Standard Time,mkeducationsoc,MP RAVANT REDDY KI RALLY - COVID PROTOCOLS KE ULANGHANO KE SAAT. #Telangana #covid #coronavirus #COVID19 #Covid19India #CoronavirusPandemic   MP RAVANT REDDY RALLY - WITH DISOBEY COVID PROTOCOLS.  Is Political Rallies or Gathering are free from Corona.,en,0,2,0
146,2021-07-10 00:26:59 India Standard Time,rotaryyelahanka,"Are you ready for vaccination? Get your shot, it's important to fight with #coronavirus.  #vaccination #rby #Rotary #vaccineforall #rotarybangaloreyelahanka  https://t.co/gGE3B2m2mf",en,0,0,0
