Username,Userhandle,Time,Comments,retweets,likes,Tweet
Dr.Suman K Prusty,@sumankumarprust,2021-07-19T12:22:19.000Z,,,,"WASHINGTON, July 18 -2021  - U.S. Surgeon General Vivek Murthy stood by federal guidance that those fully vaccinated against COVID-19 no longer needed to wear masks, while blaming social media companies for fueling vaccine misinformation.

 #healthcare #covid #health"
@Ramen Chowdhury ,@RamenChowdhur11,2021-07-19T08:25:51.000Z,,1,,"Over 40 crore people have become Baahubali in the fight against Covid-19 by taking the vaccine: 
@PM"
Dr.Indranil Khan ডাঃ ইন্দ্রনীল খাঁন,@IndranilKhan,2021-07-19T06:14:42.000Z,2,3,26,"Isn’t it time 
@WHO
 considers single dose of #Covid vaccine in previously infected individuals as equivalent to double vaccination in others? 

That will free up millions of vaccine doses to those in greater need while preventing further toxicities to an immunised individual."
ramen aditya,@AdityaRamen,2021-07-18T14:42:04.000Z,,,,"Indian Medical Association asked Kerala govt to withdraw its decision to ease COVID-19 restrictions ahead of Bakri-Eid, terming it ""unwarranted and inappropriate"" at a time of a medical emergency.
It would knock the doors of the Supreme Court if Kerala govt denies to withdraw."
Yash Artsy!,@YashArtsy,2021-07-18T12:25:40.000Z,,1,2,"New Concept :- ""Pros and cons of Lockdown""
_
_
_
 #Art #myart #lockdown #illustration #drawing #draw #picture #artist #sketch #sketchbook #paper #pen #pencil #artsy #instagood #gallery #creative #photooftheday #instaartist #graphic #digital #stress #family #covid #corona"
Nayan Basu,@NayanBasuu,2021-07-18T06:07:25.000Z,,,4,Zero deaths due to COVID-19 in Kolkata in the last 24 hours — hope this becomes the 'new normal' in the days to come. 
Shahnaz P Mahrose شہناز,@Shahnazsays,2021-07-17T18:03:43.000Z,1,2,17,"Really Good News for #Kolkata! 

Today no #Corona death cases records in Kolkata.
#COVID19India"
Tirthankar Das,@tirthaMirrorNow,2021-07-17T16:35:57.000Z,14,5,3,"Huge Crowd Throng Local Market In Kolkata, Covid Norms Violated

#Kolkata #WestBengal #Newmarket #Esplanade #Corona #coronavirus #COVID19"
Megha Kejriwal,@Megha_journo,2021-07-17T16:17:13.000Z,,,,"#GoodNews| Kolkata reports zero COVID-19 deaths in last 24-hour period for the first time since March 2021 on Saturday. 
#Kolkata #westbengal"
RamKoner,@ramkoner,2021-07-17T14:11:12.000Z,,,,"Replying to 
@DeepikaSRajawat"
ANIL  LALWANI,@AnilLalwani69,2021-07-17T12:15:31.000Z,,,,"Give Rs 1 crore to each Covid 19 died in Delhi , First from Party Funds , Ask your funders to fund your this gesture."
Anwesha,@Anwesha2019,2021-07-17T12:11:25.000Z,,,,"Replying to 
@saketjaiswal_sj
 
@rakhitripathi
 and 
@narendramodi"
Shanawaz Mohammed,@san5807,2021-07-17T09:40:28.000Z,,,,"@seruminstindia
 CEO 
@adarpoonawalla
 playing with the innocent citizens of india. Covid-19: No application received for Covishield approval, says EU drug regulator https://scroll.in/latest/1000429/covid-19-no-application-received-for-covishield-approval-says-eu-drug-regulator… via 
@scroll_in"
Shanawaz Mohammed,@san5807,2021-07-17T09:39:33.000Z,,,,"@seruminstindia
 CEO 
@adarpoonawalla
 liar. Covid-19: No application received for Covishield approval, says EU drug regulator https://scroll.in/latest/1000429/covid-19-no-application-received-for-covishield-approval-says-eu-drug-regulator… via 
@scroll_in"
Shanawaz Mohammed,@san5807,2021-07-17T09:36:57.000Z,,,,"Covid-19: No application received for Covishield approval, says EU drug regulator https://scroll.in/latest/1000429/covid-19-no-application-received-for-covishield-approval-says-eu-drug-regulator… via 
@scroll_in"
Mahesh Saharia,@iamamkay,2021-07-17T04:08:15.000Z,1,,1,"Not only in Numbers of live cases, deaths but origins & speed in both counts #Kerala & #Maharashtra are leaders in India & need to take firm steps to #combat #Corona. HCM #UddhavThackery 
@CMOMaharashtra
 
@vijayanpinarayi
 
@CMOKerala
 Please take action for sake of Country"
ramen aditya,@AdityaRamen,2021-07-17T02:51:08.000Z,,,,"Those wanting to visit West Bengal for tourism purposes will have to carry their COVID-19 RT-PCR negative reports, or COVID-19 vaccine certificates. The authorities have made it mandatory for all the popular destinations in Bengal, including Digha and Mandarmani."
Dr. Shipra Kumari PT,@Drshipraphysio,2021-07-16T23:08:03.000Z,,,3,"Were you infected from Covid 19?
Share your post covid complications with our specialist

Physiotherapy has greater role to play in bouncing you back in life post covid.
Call Now
8777694040
#covid #COVID19 #postcovid19 #complications #jointpain #backpain #neckpain #spondylitis"
pritammukherjee,@pmukherjee68,2021-07-16T19:13:53.000Z,,,,"Replying to 
@PMOIndia
 and 
@narendramodi"
pritammukherjee,@pmukherjee68,2021-07-16T18:49:12.000Z,,,,"Replying to 
@pmukherjee68
 
@PMOIndia
 and 4 others"
Sayan Dey,@sayan_dey,2021-07-16T15:23:52.000Z,,,,"Replying to 
@movementEB
 
@sc_eastbengal
 and 9 others"
Prof.(Dr)Danish zafar,@dzafar32,2021-07-16T14:43:52.000Z,4,8,15,"SUCCESSFUL CME ON USEFULNESS OF HAMDARD MEDICINE IN COVID 19 FOR PREVENTION MANAGEMENT AND POST COVID TREATMENT۔ at Hotel Siamton inn.on dated 15 th july 2021.
#unanisystemofmedicine  #unanimedicine"
Joyjeet Paul,@johnypaul12,2021-07-16T11:24:20.000Z,,,,"FDA-authorized mRNA COVID-19 vaccines, BNT162b2 (Pfizer) and mRNA-1273 (Moderna), have demonstrated high efficacies in large Phase 3 randomized clinical trials. It is important to assess their effectiveness in a real-world setting. https://cell.com/med/fulltext/S2666-6340(21)00238-5… https://cell.com/med/fulltext/S2666-6340(21)00238-5#relatedArticles…"
Sayan Hazra ,@SayanH1997,2021-07-16T06:37:38.000Z,,,,"Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India 
#Covid19IndiaHelp"
Tanuj Majumdar,@tanujmajumdar,2021-07-16T04:46:13.000Z,,1,2,"Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India 
#Covid19IndiaHelp"
ramen aditya,@AdityaRamen,2021-07-16T03:12:06.000Z,,,,"DIRTY POLITICS
WB CM Mamata Banerjee said her Govt informed the Election Comm that the state was prepared to hold the by-elections to seven assembly seats as COVID-19 situation is these areas are largely under control.
But BJP is opposing to trouble Mamata from her being elected."
Saps,@sxptxrshi_xoxo,2021-07-16T01:43:20.000Z,,,,"Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India 
#Covid19IndiaHelp"
Subhodeep Mukherjee,@twubhodeep,2021-07-16T01:26:11.000Z,,,,"Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India 
#Covid19IndiaHelp"
Rtn. Tanu Roy,@amtanuroy,2021-07-16T00:41:38.000Z,,,,"Every contribution counts. Find out how you can also help these organisations fight COVID-19 in India 
#Covid19IndiaHelp"
Cricket Ki Kahani,@CricketKK_,2021-07-15T09:07:52.000Z,,1,7,"● A BCCI source has confirmed that India’s wicketkeeper-batsman Rishabh Pant has tested positive for COVID-19 and is in home isolation for the past eight days. 

#CricketWithCKK | #RishabhPant"
Turfa,@Turfa23272667,2021-07-14T16:53:13.000Z,,,,"Taken at around 10 PM this evening. This comes under the jurisdiction of Rabindranagar Police station, Maheshtala Municipality. So much for social distancing during #Covid_19, right? Go Corona Go. Literally. #Coronaindia

@MamataOfficial
 
@kmc_kolkata
 
@KolkataPolice
 
@CMOfficeWB"
Megha Kejriwal,@Megha_journo,2021-07-14T16:17:54.000Z,,,1,"#BreakingNews| To contain the spread of #COVID-19, Darjeeling and Jalpaiguri District Administration issues tourist protocols.
 
#WestBengal"
