,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken
10,There's a less chance for Hasan Ali to play tomorrow because he's not fully fit after Covid-19!! 😢 #PAKvSA #SAvPAK,en,"['#PAKvSA', '#SAvPAK']",[],[],"['There', ""'s"", 'a', 'less', 'chance', 'for', 'Hasan', 'Ali', 'to', 'play', 'tomorrow', 'because', 'he', ""'s"", 'not', 'fully', 'fit', 'after', 'Covid-19', '😢', 'PAKvSA', 'SAvPAK']","['fully', 'tomorrow', 'There', 'Hasan', 'less', 'Covid-19', '😢', 'chance', 'play', 'PAKvSA', 'Ali', ""'s"", 'SAvPAK', 'fit']"
11,: Compass CEO Robert Reffkin: COVID created a ‘permanent shift’ in real-estate demand  https://t.co/6jRoyLe93D #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/6jRoyLe93D'],"['Compass', 'CEO', 'Robert', 'Reffkin', 'COVID', 'created', 'a', '‘', 'permanent', 'shift', '’', 'in', 'real-estate', 'demand', 'https', 't.co/6jRoyLe93D', 'Nifty', 'Sipgrab', 'UnitingPeopleWithThePossibilities']","['Reffkin', '’', 'created', 'real-estate', 'COVID', 'https', 'Compass', '‘', 'UnitingPeopleWithThePossibilities', 't.co/6jRoyLe93D', 'CEO', 'Robert', 'permanent', 'demand', 'Sipgrab', 'shift', 'Nifty']"
12,Modi has sufficient time to blame others but not for his audience to be save from covid   by using mask and distance.,en,[],[],[],"['Modi', 'has', 'sufficient', 'time', 'to', 'blame', 'others', 'but', 'not', 'for', 'his', 'audience', 'to', 'be', 'save', 'from', 'covid', 'by', 'using', 'mask', 'and', 'distance']","['save', 'Modi', 'distance', 'using', 'others', 'blame', 'time', 'covid', 'audience', 'sufficient', 'mask']"
13,"Respected education Minister, This message is in regard of the students of MNIT Jaipur.  When all other NITs are functioning online then why MNIT jaipur is putting the students life at risk amidst the rising number of covid cases.  @PrakashJavdekar @AmitShah  @narendramodi",en,[],"['@PrakashJavdekar', '@AmitShah', '@narendramodi']",[],"['Respected', 'education', 'Minister', 'This', 'message', 'is', 'in', 'regard', 'of', 'the', 'students', 'of', 'MNIT', 'Jaipur', 'When', 'all', 'other', 'NITs', 'are', 'functioning', 'online', 'then', 'why', 'MNIT', 'jaipur', 'is', 'putting', 'the', 'students', 'life', 'at', 'risk', 'amidst', 'the', 'rising', 'number', 'of', 'covid', 'cases', 'PrakashJavdekar', 'AmitShah', 'narendramodi']","['MNIT', 'This', 'students', 'jaipur', 'life', 'regard', 'online', 'cases', 'number', 'AmitShah', 'functioning', 'amidst', 'covid', 'risk', 'Jaipur', 'message', 'Respected', 'PrakashJavdekar', 'NITs', 'When', 'education', 'narendramodi', 'putting', 'Minister', 'rising']"
14,@EssexPR Those who got admitted in hospital with other reasons and caught covid there in hospitals.,en,[],['@EssexPR'],[],"['EssexPR', 'Those', 'who', 'got', 'admitted', 'in', 'hospital', 'with', 'other', 'reasons', 'and', 'caught', 'covid', 'there', 'in', 'hospitals']","['got', 'Those', 'covid', 'hospital', 'admitted', 'reasons', 'caught', 'hospitals', 'EssexPR']"
15,"Alhamdollilah, Allah gave them complete health wich are effected with Covid-19. And stay blessed",en,[],[],[],"['Alhamdollilah', 'Allah', 'gave', 'them', 'complete', 'health', 'wich', 'are', 'effected', 'with', 'Covid-19', 'And', 'stay', 'blessed']","['stay', 'Allah', 'effected', 'blessed', 'Covid-19', 'health', 'complete', 'gave', 'Alhamdollilah', 'And', 'wich']"
16,"@abhymurarka @dakuwithchaku Hinduja Hospital - 9969201003. They'll register details &amp; allocate bed as soon as its available.   But If patient is not having any breathing issue, then covid center at Nesco, Parasdham Ghatkopar or BKC is anytime better options to opt immediately. Take care.",en,[],"['@abhymurarka', '@dakuwithchaku']",[],"['abhymurarka', 'dakuwithchaku', 'Hinduja', 'Hospital', '9969201003', 'They', ""'ll"", 'register', 'details', 'amp', 'allocate', 'bed', 'as', 'soon', 'as', 'its', 'available', 'But', 'If', 'patient', 'is', 'not', 'having', 'any', 'breathing', 'issue', 'then', 'covid', 'center', 'at', 'Nesco', 'Parasdham', 'Ghatkopar', 'or', 'BKC', 'is', 'anytime', 'better', 'options', 'to', 'opt', 'immediately', 'Take', 'care']","['Nesco', 'breathing', 'issue', 'register', 'patient', 'BKC', 'details', 'But', 'bed', 'dakuwithchaku', 'soon', 'covid', 'better', 'center', 'Take', ""'ll"", 'available', 'options', 'care', 'allocate', 'Hospital', 'amp', 'If', 'anytime', 'opt', 'Ghatkopar', 'Hinduja', 'They', '9969201003', 'abhymurarka', 'Parasdham', 'immediately']"
17,People with disabilities should be prioritized &amp; get vaccinated soon. I teach at a special school &amp; I know that immune system of our kids is weak.The new British variant of Covid is dangerous &amp; hard on kids.Government should  make vaccine available and accessible for PWD #COVID,en,['#COVID'],[],[],"['People', 'with', 'disabilities', 'should', 'be', 'prioritized', 'amp', 'get', 'vaccinated', 'soon', 'I', 'teach', 'at', 'a', 'special', 'school', 'amp', 'I', 'know', 'that', 'immune', 'system', 'of', 'our', 'kids', 'is', 'weak.The', 'new', 'British', 'variant', 'of', 'Covid', 'is', 'dangerous', 'amp', 'hard', 'on', 'kids.Government', 'should', 'make', 'vaccine', 'available', 'and', 'accessible', 'for', 'PWD', 'COVID']","['vaccinated', 'kids', 'PWD', 'hard', 'COVID', 'soon', 'know', 'system', 'disabilities', 'special', 'People', 'British', 'make', 'I', 'school', 'available', 'dangerous', 'amp', 'immune', 'get', 'Covid', 'accessible', 'teach', 'weak.The', 'variant', 'kids.Government', 'prioritized', 'new', 'vaccine']"
18,#AmitShah #NarendraModi  &amp; senior leadership of #BJP is doing election campaigns in #tn #WestBengal &amp; Assam. These senior responsible leaders are kicking the Covid Rules that we all are followin religiously for us and our family and to be saved from Cash Challans.  Is this right?  https://t.co/1LxwJMnF3o,en,"['#AmitShah', '#NarendraModi', '#BJP', '#tn', '#WestBengal']",[],['https://t.co/1LxwJMnF3o'],"['AmitShah', 'NarendraModi', 'amp', 'senior', 'leadership', 'of', 'BJP', 'is', 'doing', 'election', 'campaigns', 'in', 'tn', 'WestBengal', 'amp', 'Assam', 'These', 'senior', 'responsible', 'leaders', 'are', 'kicking', 'the', 'Covid', 'Rules', 'that', 'we', 'all', 'are', 'followin', 'religiously', 'for', 'us', 'and', 'our', 'family', 'and', 'to', 'be', 'saved', 'from', 'Cash', 'Challans', 'Is', 'this', 'right', 'https', 't.co/1LxwJMnF3o']","['leaders', 'AmitShah', 'https', 'us', 'Assam', 'Challans', 'Cash', 'BJP', 'kicking', 'leadership', 'religiously', 'NarendraModi', 'amp', 'right', 'Rules', 'saved', 'Covid', 'responsible', 'campaigns', 'senior', 'tn', 'These', 'Is', 'followin', 'family', 'election', 't.co/1LxwJMnF3o', 'WestBengal']"
19,I everyone I am journalist I hope everyone also fine but I asked everyone covid 9 (corona) was very spread in India then everyone use mask and take care your self 🙏🏻 I hopI will try my best to bring you the accumulated strength of the case in a positive way #jornalist  #Covid_19  https://t.co/cO1IMzN4SF,en,"['#jornalist', '#Covid_19']",[],['https://t.co/cO1IMzN4SF'],"['I', 'everyone', 'I', 'am', 'journalist', 'I', 'hope', 'everyone', 'also', 'fine', 'but', 'I', 'asked', 'everyone', 'covid', '9', 'corona', 'was', 'very', 'spread', 'in', 'India', 'then', 'everyone', 'use', 'mask', 'and', 'take', 'care', 'your', 'self', '🙏🏻', 'I', 'hopI', 'will', 'try', 'my', 'best', 'to', 'bring', 'you', 'the', 'accumulated', 'strength', 'of', 'the', 'case', 'in', 'a', 'positive', 'way', 'jornalist', 'Covid_19', 'https', 't.co/cO1IMzN4SF']","['try', 'hope', '🙏🏻', 'take', 'India', 't.co/cO1IMzN4SF', 'Covid_19', 'fine', 'journalist', 'accumulated', 'asked', 'self', 'spread', 'use', 'hopI', 'https', 'covid', 'mask', 'strength', 'I', 'everyone', 'care', 'bring', 'also', 'best', 'way', 'jornalist', 'corona', 'positive', 'case', '9']"
