tweet,clean_tweet,hastags,attherate,urls,emojis
People with disabilities should be prioritized &amp; get vaccinated soon. I teach at a special school &amp; I know that immune system of our kids is weak.The new British variant of Covid is dangerous &amp; hard on kids.Government should  make vaccine available and accessible for PWD #COVID,People with disabilities should be prioritized amp get vaccinated soon I teach at a special school amp I know that immune system of our kids is weakThe new British variant of Covid is dangerous amp hard on kidsGovernment should make vaccine available and accessible for PWD ,['#COVID'],[],[],[]
#AmitShah #NarendraModi  &amp; senior leadership of #BJP is doing election campaigns in #tn #WestBengal &amp; Assam. These senior responsible leaders are kicking the Covid Rules that we all are followin religiously for us and our family and to be saved from Cash Challans.  Is this right?  https://t.co/1LxwJMnF3o, amp senior leadership of is doing election campaigns in amp Assam These senior responsible leaders are kicking the Covid Rules that we all are followin religiously for us and our family and to be saved from Cash Challans Is this right ,"['#AmitShah', '#NarendraModi', '#BJP', '#tn', '#WestBengal']",[],['https://t.co/1LxwJMnF3o'],[]
I everyone I am journalist I hope everyone also fine but I asked everyone covid 9 (corona) was very spread in India then everyone use mask and take care your self 🙏🏻 I hopI will try my best to bring you the accumulated strength of the case in a positive way #jornalist  #Covid_19  https://t.co/cO1IMzN4SF,I everyone I am journalist I hope everyone also fine but I asked everyone covid 9 (corona) was very spread in India then everyone use mask and take care your self  I hopI will try my best to bring you the accumulated strength of the case in a positive way ,"['#jornalist', '#Covid_19']",[],['https://t.co/cO1IMzN4SF'],['🙏🏻']
Temporarily closed due to pandemic #Covid_19  https://t.co/l71WUDF1WI,Temporarily closed due to pandemic ,['#Covid_19'],[],['https://t.co/l71WUDF1WI'],[]
"🛑🚨some very critical work by my buddy @andrabi_raiees on the #Covid’s, now infamous, spike proteins. He and his team conclude that this work may facilitate the development of new vaccines.",some very critical work by my buddy on the now infamous spike proteins He and his team conclude that this work may facilitate the development of new vaccines,"['#Covid’s,']",['@andrabi_raiees'],[],"['🛑', '🚨']"
B.1.1.7 variant of COVID-19 spreading rapidly in United States  https://t.co/fiwnja3yQt #Nifty #sipgrab,B117 variant of COVID19 spreading rapidly in United States  ,"['#Nifty', '#sipgrab']",[],['https://t.co/fiwnja3yQt'],[]
Request everyone in #Mumbai &amp; #Maharashtra to come forward voluntarily &amp; donate blood. We don’t have the time &amp; we don’t know what future holds for us as far as Covid is concerned. Do it &amp; do it now. @BloodDonorsIn,Request everyone in amp to come forward voluntarily amp donate blood We don’t have the time amp we don’t know what future holds for us as far as Covid is concerned Do it amp do it now ,"['#Mumbai', '#Maharashtra']",['@BloodDonorsIn'],[],[]
"@PMOIndia @narendramodi  @vijayrupanibjp @collectorvalsad  My impression of Government run PHC was not good but change after visiting PHC, ORVAD, UDVADA, DIST. VALSAD, GUJARAT for Covid Vaccine. Very good improvement &amp; staff. Administrative &amp; Medical staff deserve appreciation.", My impression of Government run PHC was not good but change after visiting PHC ORVAD UDVADA DIST VALSAD GUJARAT for Covid Vaccine Very good improvement amp staff Administrative amp Medical staff deserve appreciation,[],"['@PMOIndia', '@narendramodi', '@vijayrupanibjp', '@collectorvalsad']",[],[]
@AUThackeray @mybmc Pls start COVID centers on urgent basis...., Pls start COVID centers on urgent basis,[],"['@AUThackeray', '@mybmc']",[],[]
So LRH new allied building 500 beded is being emptied for covid patients Meaning all services are being withheld for covid pandemic 3rd wave  God bless us all !! #CoronaUpdate #KPKUpdates,So LRH new allied building 500 beded is being emptied for covid patients Meaning all services are being withheld for covid pandemic 3rd wave God bless us all  ,"['#CoronaUpdate', '#KPKUpdates']",[],[],[]
"@A_Troglodyte_ Almost like covid but without sore throat. Headache,weakness,unusual fever.", Almost like covid but without sore throat Headacheweaknessunusual fever,[],['@A_Troglodyte_'],[],[]
