Username,userhandel,Time,comments,retweets,likes,Tweet
Arideep Sengupta,@arideep_sg,2021-08-12T05:55:51.000Z,1,,,"@MyIndianBank
 
@AllahabadBankHO
 To prevent the spread of COVID 19, bank is not allowing more than 4-5 ppl inside the bank. However,they asking to Queue in the stairs for even issues like getting a stamp or Forms. People will die of suffocation, let alone covid. #Covid #indianbank"
Joyjeet Paul,@johnypaul12,2021-08-19T09:54:55.000Z,,,,#COVID-19 vaccines may trigger #superimmunity in people who had #SARS long ago
Rajesh,@ePandu,2021-08-03T04:38:06.000Z,2,,7,I thought things would go back to normal by the end of 2021 now that COVID-19 vaccines are available. How naive I was.
Vinay Kumar Dokania,@VinayDokania,2021-08-21T10:56:37.000Z,,4,10,"PM Modi invented Covid 19 vaccine claims Tripura CM Biplab Kumar Deb..
We completely trust his intelligence .
Did Modi also invent the Corona Virus, is the question.."
Saroop Chattopadhyay (Official) ,@KolleoIsBack,2021-08-23T14:41:47.000Z,3,8,33,"#BreakingNews
----
#3rdWave of #COVID has been postponed as all Media Houses are busy covering #Afganisthan crisis & forgotten about Covid.

New release dates of all varients of Covid will be announced soon.

Inconvenience is regretted.
Stay tuned..
"
Joynarayan saha,@JoynarayanSaha,2021-08-24T02:43:56.000Z,,,,"""COVID-19: Keep up with the latest on safety and vaccine guidance in India"""
Debraj Majumdar,@debraj_m,2021-08-20T17:09:31.000Z,,,,"Wow... What a news... What a relief... Kudos to 
@ZydusUniverse
... Our New India is the saviour to the whole world under the tremendous support and guidance of our beloved 
@narendramodi
 Ji in this Covid'19 global pandemic... Bharat Mata Ki Jai Vande Maãtaram"
Tirthadeep K,@TirthadeepK,2021-08-23T16:46:00.000Z,,,,"COVID-19 is awful. Climate change could be worse. https://gatesnot.es/2Bsqyqq?WT.mc_id=00_00_00_share_tw… via 
@billgates"
Santanu Bhattacharya,@Santanu1999,2021-08-17T17:31:17.000Z,,,,COVID-19 changed the thought processes of individual & world. Now  changed the perspective again. Already initiated to redefining many things...!
Ayan Chatterjee,@iam_achatterjee,2021-08-25T05:23:15.000Z,,,1,"Covid-19: India might be entering the endemic stage, says WHO chief scientist Soumya Swaminathan https://scroll.in/latest/1003650/covid-19-india-might-be-entering-the-endemic-stage-says-who-chief-scientist-soumya-swaminathan… via 
@scroll_in


Hope that is what happens! 

#COVID19"
Avidreepta Gupta,@avidreepta,2021-08-11T16:41:09.000Z,,,,"Only the local trains in #Kolkata have corona left.Less train, but same number of daily passenger. Can you imagine the daily struggle of us? And each and every day new rules of subways. Why? If only one subway is opened, then administration could control COVID-19
#IndianRailways"
Md Islam,@MdIslam41181171,2021-08-04T06:22:11.000Z,,,,"#UAE Flights: New exemptions for stranded resident from 
#india #Pakistan, 4 other Countries. 

Resident Who have received both doses of a covid - 19 vaccine in the UAE are among the new categories that will be allowed into the UAE from August 5."
Czarsportz - Global Associate Cricket World,@Emerging_94,2021-08-25T09:39:59.000Z,1,,13,"Updated schedule announced by 
@ICC
 , as 
@cricketturkey
 have now withdrawn from participating in the qualifiers due to COVID-19 and other documentation factors. Huge disappointment for the players, who have been training for the past couple of months now and were all set for this."
Sheikh Hasnain Ali,@HasnainTweets5,2021-08-12T12:40:26.000Z,1,,,"Today, I took my 1st Dose of #COVISHIELD #COVID19Vaccine at Woodlands Hospital, Kolkata.

I salute to our Doctors and Scientists who have worked in quick time to strengthen the global fight against COVID-19. (1/2)
#GotMy1stDose #Vaccinated_Today"
Czarsportz - Global Associate Cricket World,@Emerging_94,2021-08-30T17:01:20.000Z,2,1,7,Disappointing news coming from Japan Cricket that East Asia-Pacific qualifiers for both Men's and Women's #T20WorldCup have been cancelled now by ICC owing to COVID-19 and related travel issues. Official press release regarding the same not yet published.
Anjishnu Ray,@AR_LifeCoach,2021-08-28T04:12:18.000Z,,,,"https://beswiz.boomer.co/whatsnewdetails/entrepreneurship…

How Entrepreneurship has gained significance in this COVID-19 pandemic? 

- Beswiz Pvt Ltd"
Sagnik Ritam Ghosh,@_SagnikGhosh,2021-08-14T12:48:11.000Z,,2,4,"With all due respect to #AcademicTwitter,  COVID-19, New TVSeries etc,

Please! 
Let's talk #Afghanistan!"
Joyjeet Paul,@johnypaul12,2021-08-18T14:48:25.000Z,,2,1,"@_atanas_
 U.S. health officials recommend booster shots against Covid-19 https://statnews.com/2021/08/18/u-s-health-officials-recommend-booster-shots-against-covid-19/… via 
@statnews"
Subhakanta Nanda,@SubhakantaNanda,2021-08-13T14:47:07.000Z,,,,"Unable to know whether COVID19 is going on or not in Sealdah Koley Market and Sealdah Station. No one is obeying COVID SOP. 
@narendramodi
 
@COVIDNewsByMIB
 #Corona #Covid19IndiaHelp #NarendraModi"
Sayan Dey,@sayan_dey,2021-08-10T12:03:36.000Z,,,,"Just see our ascending graph! This is a curve, we would like to peak ASAP! Enough with the COVID-19 curve!

But seriously, that Semi-Final finish merits only a 1-place jump? That's a bit bewildering!"
Mahesh Saharia,@iamamkay,2021-08-25T15:58:16.000Z,,,,"Israel, once model for beating #COVID-19, faces new surge of infections, Last spring, Israel’s remarkably swift vaccination campaign was seen as a global model. Distancing rules & mask mandates were scrapped 
@MoHFW_INDIA
 see results http://wionews.com https://wionews.com/world/israel-once-the-model-for-beating-covid-19-faces-new-surge-of-infections-408309…"
Shamik Bhattacharyya,@ShamikB15515296,2021-08-26T10:07:33.000Z,,2,1,"Rising #COVID numbers are worrying. Vaccination must pick up pace to avoid serious outcomes in the next wave. 

Please take care of yourselves because GOI is busy with sales.

_ Shree 
@RahulGandhi
 Ji 
#ISupportRahulGandhi #RG_For_PM"
Sheikh Hasnain Ali,@HasnainTweets5,2021-08-12T12:40:27.000Z,,,,"I appeal to all those who are eligible to take the vaccine. Come...Let Us All Get Vaccinated Folks and make our nation free from COVID-19.
Thank You...Jai Hind  
#GotMy1stDose #Vaccinated_Today"
Mahmudur Rahman,@mamoonraman678,2021-08-08T20:18:25.000Z,,,,"Replying to 
@ReutersSports"
মমতাপন্থী শুভঙ্কর,@SUBHANKAR_AITC,2021-08-13T14:36:29.000Z,,,,"Just like Prime Minister 
@narendramodi
’s photo was printed on Covid-19 vaccine certificates, he should now permit his photo to be printed on people’s death certificates, West Bengal chief minister 
@MamataOfficial
 said"
ishtiyaque ahmed,@ishtiapil,2021-08-08T20:20:15.000Z,,,2,"● This vaccine, also called as Janssen COVID-19 vaccine, has been developed by Janssen Vaccines in Leiden, Netherlands."
Sayan Dey,@sayan_dey,2021-08-10T12:03:23.000Z,,,,"Replying to 
@TheHockeyIndia
 
@CMO_Odisha
 and 3 others"
Bhudeb Sengupta,@senguptaspeaks,2021-08-30T02:58:36.000Z,,,,"#englandvsindia #TestCricket 
India desperately need a technically sound no 6 batsman. Pant is as vulnerable as a single dose covid 19 vaccinated person !

@BCCI
 
@imVkohli
 
@RaviShastriOfc"
Ankit Kumar Sonkar,@Ankitsonkar10,2021-08-19T16:30:42.000Z,,,,"Hey guys #YeHaiBadaltaBharat song is related for all our heroes who envolve in Covid 19 pandemic and for our real heroes our Indian Army really a great way to dedicate our heroes....

@Kailashkher

 https://youtu.be/yhBp6YxvAoU

@worldofnourish"
Shailesh,@skvn10,2021-08-11T08:12:20.000Z,,,,"Replying to 
@BhavikaKapoor5"
Mahesh Saharia,@iamamkay,2021-08-08T11:02:27.000Z,,,,"HCM 
@vijayanpinarayi
 Sir, #Kerala has highest literary rate. Yet becoming breeding ground for introducing all #Covid variants in India & at highest rate. Surely you are bothered & initiating action. Respectfully submit please take bold corrective steps to arrest. 
@CMOKerala"
Ruchira Gupta,@Ruchiragupta,2021-08-30T22:14:30.000Z,,1,4,"A moment in our ongoing Covid relief food drive among fishing women in the Sundarbans mangrove forest in India. #covid #1MillionMeals #Food 
@apneaap
 Join us http://ApneAap.org pix by 
@vickyroy87
 @ Sundarban National Park"
Santanu Bhattacharya,@Santanu1999,2021-08-20T10:59:50.000Z,,,,"Replying to 
@Srabant46789518
 
@sailorsalil
 and 2 others"
Mahesh Saharia,@iamamkay,2021-08-22T03:05:14.000Z,,,,"@drharshvardhan
 a fine gentleman managing so well #Covid but ignored preparation for 2nd Wave. Sanctioned #O2 #Projects with funds not implemented. #India paid huge price.
@mansukhmandviya
 
@MoHFW_INDIA
 pls donot be complacent. Need vaccine production boost. 2nd dose huge backlog."
